Assemblage_Name	6779302-4-1529671	3460844-8907253-4	3460844-2-4	1-8833337-4	2907576-9932706-4	2-8432134-2	3906234-4-4	4-2-7467183	3460844-2-6652303	2-9266801-703543	4-1571280-1	1-9932706-4	6779302-5210111-4	3-1423135-4	1-851899-4	1-9932706-6362676	1-9932706-2369939	2-4-4259022	5166944-2-4	4-2-4330192	566605-9932706-4	1-5786127-4	6779302-4-5644916	4-8937439-3	2-4-5093656	1-7821445-4	4-760152-3	1-2019397-4	6068412-4-4	4-2-9501159	2-4-2	2-1400741-2	7644183-9932706-4	2-4-703543	6779302-1707425-4	4-2-3	4-2-1	2-9307250-2	6779302-4-918683	5044815-4-703543	6779302-4-3619123	1-4-4	1-9932706-8482261	3-2-6673817	3460844-7163423-4	8994230-2-4	1-1731124-4	7017116-4-4	6779302-4-4	3-2-4	7123588-2-4	899072-2-4	6779302-5372325-4
assemblage-287-849	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	16	0	0	3	0	0	43	29	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	4
assemblage-271-845	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	11	0	0	0	0	10	341	0	0	0	7
assemblage-131-138	0	0	110	8	0	0	0	0	21	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	71	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	11
assemblage-954-840	0	0	69	0	0	27	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	83	6	0	0	0	17	29	9	0	0	0	0	0	0	0	0	0	0	94	48	0	0	8
assemblage-572-224	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	1
assemblage-855-815	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	24	0	0	0	0	0	30	18	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	8
assemblage-905-827	0	0	89	0	0	0	0	43	0	0	0	104	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	71	0	0	9
assemblage-486-677	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	66	0	0	0	0	0	68	9	0	11
assemblage-926-782	0	0	96	0	0	95	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	6	0	0	0	0	0	6	71	0	0	0	0	0	0	0	0	0	0	0	89	45	0	4	8
assemblage-912-785	0	0	0	0	0	9	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	18	0	0	0	0	116	52	0	0	0	0	0	0	0	0	0	0	0	123	23	0	0	6
assemblage-920-952	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	45	0	0	0	0	0	80	0	0	0	0	0	0	0	0	129	0	62	0	0	0	0	0	0	0	0	0	0	0	0	38	44	0	0	9
assemblage-262-234	0	0	143	0	26	0	0	41	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5
