Assemblage_Name	4-0-415513	1-1-2	4-4467719-2069699	3-3-3	4-1-5977635	4-0-7101265	2-0-1291337	4-2-5742587	3751153-0-8013752	4-1-1	4-2-2	2868091-1-1	4-9207109-2069699	4-1742654-2	9548587-0-3	4-2-1704654	1043932-0-3	2-0-78339	4-0-2069699	2-0-3	6668478-2-2	4-9289896-2	4-1-1518850	2897455-7619540-2	2897455-2-2	4-0-1719307	4-2-5351340	4-0-8883218	8419574-0-2069699	6956857-0-2069699	2-1013432-3
assemblage-180-470	0	22	0	12	0	0	0	0	0	223	53	0	0	0	0	0	0	0	173	15	0	0	0	0	0	0	0	0	0	0	2
assemblage-530-360	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	226	144	0	0	0	0	0	0	0	11	0	0	10
assemblage-855-123	0	0	0	0	0	0	0	0	0	39	195	5	0	0	0	0	0	0	155	74	0	0	18	0	0	0	0	9	0	0	5
assemblage-924-941	0	0	0	0	0	0	0	0	0	2	128	0	0	9	0	4	0	0	177	129	0	0	0	0	0	0	0	49	0	0	2
assemblage-89-798	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	97	242	3	0	0	0	21	0	0	9	0	0	7
assemblage-408-809	0	47	0	0	0	0	0	0	0	116	51	0	0	0	0	0	0	0	237	44	0	0	0	0	0	0	0	0	0	0	5
assemblage-860-563	0	0	0	0	0	0	0	11	0	117	33	0	0	0	0	0	0	0	245	86	0	0	0	0	0	0	0	0	0	0	8
assemblage-968-844	0	16	0	28	0	0	0	0	0	232	65	0	0	0	0	0	0	0	147	11	0	0	0	0	0	0	0	0	0	0	1
assemblage-927-390	0	0	0	0	0	0	0	0	0	16	59	12	0	0	0	0	0	0	260	70	0	0	0	0	72	0	0	0	0	0	11
assemblage-419-432	0	0	0	88	0	0	0	0	0	289	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-937-805	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	25	258	43	0	0	0	0	19	0	0	0	0	0	10
assemblage-141-138	0	0	0	0	3	0	0	0	0	74	92	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	12	0	7
assemblage-777-970	0	0	0	0	0	0	0	0	0	48	168	4	0	0	0	0	0	0	163	70	0	0	30	0	0	0	0	12	0	0	5
assemblage-767-570	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	238	146	0	0	0	0	0	0	0	14	0	0	12
assemblage-428-423	0	0	0	105	0	0	0	0	0	277	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-604-759	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	174	118	0	0	0	0	0	0	0	50	0	0	23
assemblage-687-960	0	43	0	0	0	0	0	0	0	30	203	0	0	0	0	0	0	0	157	63	0	0	0	0	0	0	0	0	0	0	4
assemblage-181-106	0	15	0	0	0	0	0	0	0	129	31	0	0	0	0	0	0	0	183	140	0	0	0	0	0	0	0	0	0	0	2
assemblage-698-797	0	0	0	0	0	0	0	0	0	69	80	0	0	0	0	0	0	0	306	5	0	0	0	0	0	0	0	0	35	0	5
assemblage-906-831	0	90	0	0	0	0	0	0	0	19	103	0	0	0	0	0	0	0	267	21	0	0	0	0	0	0	0	0	0	0	0
assemblage-454-431	0	0	0	106	0	0	0	0	0	274	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-262-925	0	0	0	0	0	0	0	0	0	93	9	0	0	0	0	0	0	0	203	171	0	0	0	0	0	0	0	0	0	0	24
assemblage-848-504	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	38	0	0	0	0	0	0	0	0	0	0	2
assemblage-831-161	0	6	19	0	0	0	0	0	0	61	174	0	0	0	0	0	0	0	133	104	0	0	0	0	0	0	0	0	0	0	3
assemblage-899-926	0	0	0	0	0	0	0	0	0	25	217	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	73	0	0	3
assemblage-756-597	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	37	252	46	0	0	0	0	10	0	0	0	0	0	7
assemblage-971-933	0	0	0	0	0	0	0	0	0	22	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-902-848	0	0	0	0	0	0	0	0	0	108	71	0	0	0	0	0	0	0	303	13	0	0	0	0	0	0	0	0	0	0	5
assemblage-897-916	0	0	0	0	0	0	0	0	0	72	78	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	21	0	15
assemblage-249-243	0	7	25	0	0	0	0	0	0	69	199	0	0	0	0	0	0	0	102	98	0	0	0	0	0	0	0	0	0	0	0
assemblage-572-227	0	0	0	0	0	0	0	0	0	11	94	0	0	0	0	0	0	0	154	88	0	0	0	0	113	35	0	0	0	0	5
assemblage-297-850	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	22	14	0	0	0	0	127	48	0	0	0	0	0
assemblage-280-849	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	163	84	0	0	0	0	19	139	0	0	0	0	6
assemblage-373-790	0	101	0	0	0	0	0	0	0	238	55	0	0	0	0	0	0	0	68	34	0	0	0	0	0	0	0	0	0	0	4
assemblage-292-849	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	23	6	0	0	0	0	136	48	0	0	0	0	7
assemblage-963-933	0	0	0	0	0	0	0	0	0	14	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-130-147	0	0	0	0	0	0	0	0	0	75	73	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	26	0	9
assemblage-990-752	0	15	0	0	0	0	0	0	0	143	30	0	0	0	0	0	0	0	195	117	0	0	0	0	0	0	0	0	0	0	0
assemblage-585-782	0	0	0	0	0	0	0	0	0	4	129	0	0	4	0	0	0	0	171	129	0	0	0	0	0	0	0	54	0	0	9
assemblage-505-367	0	0	0	0	0	0	0	0	0	15	48	9	0	0	0	0	0	0	285	54	0	0	0	0	80	0	0	0	0	0	9
assemblage-828-162	0	6	21	0	0	0	0	0	0	58	164	0	0	0	0	0	0	0	120	130	0	0	0	0	0	0	0	0	0	0	1
assemblage-116-774	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	118	240	0	0	0	0	5	0	0	16	0	0	7
assemblage-612-439	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	110	68	0	0	0	85	65	18	0	0	0	0	11
assemblage-986-762	0	38	0	0	0	0	0	0	0	33	188	0	0	0	0	0	0	0	162	78	0	0	0	0	0	0	0	0	0	0	1
assemblage-842-827	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	21	6	0	0	0	0	166	53	0	0	0	0	4
assemblage-727-310	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	113	240	4	0	0	0	14	0	0	10	0	0	1
assemblage-869-510	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	74	0	0	0	0	0	0	0	0	0	0	0
assemblage-747-973	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	246	53	0	0	0	0	0	0	0	0	0	0	8
assemblage-958-854	0	99	0	0	0	0	0	0	0	194	83	0	0	0	0	0	0	0	89	35	0	0	0	0	0	0	0	0	0	0	0
assemblage-951-364	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	160	124	0	0	0	0	0	0	0	45	0	0	0
assemblage-874-113	0	0	0	0	0	0	0	0	0	9	126	0	0	0	0	4	0	0	182	115	0	0	0	0	0	0	0	45	0	0	19
assemblage-493-666	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	193	0	0	0	0	0	0	0	0	0	0	1
assemblage-618-424	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	21	11	0	0	0	0	145	35	0	0	0	0	3
assemblage-274-943	0	0	0	0	0	0	0	0	0	46	140	0	0	0	0	0	0	0	189	85	0	38	0	0	0	0	0	0	0	0	2
assemblage-532-222	0	0	0	0	0	0	0	0	0	80	72	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	27	0	18
assemblage-946-393	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	154	146	0	0	0	0	0	0	0	48	0	0	2
assemblage-523-779	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	158	97	0	0	0	0	13	127	0	0	0	0	9
assemblage-931-759	0	39	0	0	0	0	0	0	0	21	187	0	0	0	0	0	0	0	197	56	0	0	0	0	0	0	0	0	0	0	0
assemblage-983-911	0	0	0	0	0	0	0	0	0	21	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-495-669	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	186	0	0	0	0	0	0	0	0	0	0	1
assemblage-491-652	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	201	0	0	0	0	0	0	0	0	0	0	1
assemblage-667-963	0	47	0	0	0	0	0	0	0	32	198	0	0	0	0	0	0	0	147	74	0	0	0	0	0	0	0	0	0	0	2
assemblage-134-140	0	0	0	0	0	0	0	0	0	16	268	0	0	0	0	0	0	0	101	107	0	0	0	0	0	0	0	0	0	0	8
assemblage-283-928	0	0	0	0	0	0	0	0	0	42	158	0	0	0	0	0	0	0	186	84	0	28	0	0	0	0	0	0	0	0	2
assemblage-831-823	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	162	97	0	0	0	0	18	137	0	0	0	0	9
assemblage-902-948	26	0	0	0	0	0	10	0	0	7	140	0	0	36	0	0	0	0	199	39	0	0	0	0	22	0	0	10	0	0	11
assemblage-538-778	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	111	51	0	0	0	99	77	13	0	0	0	0	3
assemblage-964-845	0	28	0	0	0	0	0	0	0	18	159	0	0	0	0	0	0	0	237	56	0	0	0	0	0	0	0	0	0	0	2
assemblage-763-598	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	39	247	44	0	0	0	0	0	0	0	0	0	0	6
assemblage-601-779	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	247	36	0	0	0	0	0	0	0	0	0	0	9
assemblage-254-259	0	77	0	0	0	0	0	0	0	7	94	0	0	0	0	0	0	0	298	23	0	0	0	0	0	0	0	0	0	0	1
assemblage-901-846	0	105	0	0	0	0	0	0	0	5	105	0	0	0	0	0	0	0	269	16	0	0	0	0	0	0	0	0	0	0	0
assemblage-494-668	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	223	0	0	0	0	0	0	0	0	0	0	4
assemblage-595-777	21	0	0	0	0	0	10	0	0	0	124	0	0	28	0	0	0	0	208	39	0	0	0	0	38	0	0	18	0	7	7
assemblage-436-415	0	0	0	97	0	0	0	0	0	252	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-945-378	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	9	218	106	0	0	0	0	26	0	0	22	0	0	12
assemblage-771-953	0	0	0	0	0	0	0	0	0	58	214	0	0	0	0	0	0	0	186	42	0	0	0	0	0	0	0	0	0	0	0
assemblage-760-951	0	0	0	0	0	0	0	0	0	56	201	0	0	0	0	0	0	0	213	26	0	0	0	0	0	0	0	0	0	0	4
assemblage-428-409	0	0	0	105	0	0	0	0	0	264	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
