Assemblage_Name	3956710-1-1	1-1-7467948	7009540-1-6719398	1-1-5625061	0-53058-3	1-2-2442104	9565396-2-6857648	2497128-1-7154561	1-1-8433865	1-1083419-1	2394758-1-2238829	1-2940668-1	1-4633346-1	582368-3-3	3402046-1-1	0-9850415-4314672	1923998-9850415-3	2497128-1-2238829	0-9850415-3568492	7145670-3-3	1-5616287-0	2497128-1-6080173	808424-3-1424452	9144912-1-934732	507581-332591-1	5963358-1-1	1-821936-0	1-6871054-1	2497128-1-1643668	3670886-1-2238829	1-1-1	8437898-332591-1	1832766-1-2238829	1-2-6857648	460093-1-1	3-3-3	9748-2-0	1-332591-7227472	1-1-2238829	1616734-1-1	6847719-1-1	0-3-1979207	1-1-6338234	1-332591-2191019	1673030-1-1	1-7188836-0	1883007-332591-1	1-332591-1556678	1-4616764-2238829	6169684-1-1643668	1-7138968-1	0-3-7781404	2497128-1663514-2238829	1-6523665-1536250	1-9529551-5625061	0-3-3	1-8655416-1	0-3914733-3	1-2-0	1-332591-1	1-655140-1	0-3-2931039	2497128-8635287-2238829	1261088-3-3	8115846-1-2238829	0-8799136-3	0-3-8767844	4-6364145-3	0-9027074-3	1-2192239-1	1116231-1-1	0-9850415-3	1-2-4443699	0-7462634-3	1-4736263-0	1-7246413-0	0-3-1424452	2497128-6216657-4602496	1-1783516-1	9144912-1-1	2779310-0-3	8492458-1-1	2860343-3-3	1-2-2947317	1-3656196-0	8304351-6985450-5670119	1-8932505-1	0-3-4743798	2497128-1-4602496	1-2729200-1	7009540-1-7039062	1-1-201412	8369818-1-1	6484943-1-1	1-2461224-1	2497128-4755133-2238829	1-1439609-1	7009540-1-1	6499180-4-1	1-0-2	1-1-5385954	1-332591-5277925	1-6308074-1	0-6344333-3	5358266-8932505-1	9325461-4928634-3	1-3081341-1	2497128-8375776-2238829	5808842-3-3	8304351-6985450-1	4-0-3	2829557-332591-1	2214179-1-1	5328135-3-3	1-332591-4994014	6060983-1-4602496	1-7140409-0	3-3-738661	0-3-158780	1-4164027-1	7009540-1-3681057	3439917-1-1	8304351-1-1	9393928-1-1	1-6523665-1	1-3999061-1	9972467-1-1	502740-1-1	1-1-7817230
assemblage-877-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	80	0	0	57	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	20
assemblage-857-558	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	21	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	21	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	30
assemblage-510-208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	82	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-617-440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	19	121	0	0	0	5	0	0	0	0	0	23	24	0	132	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	29
assemblage-881-672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	11	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	162	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	9
assemblage-573-213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	51	0	0	0	0	0	0	0	0	0	0	7	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	72	0	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-637-432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	107	0	0	0	0	0	0	0	0	0	85	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-698-780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	11	0	0	34	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	11	0	0	203	55	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-863-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	69	0	0	65	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	5
assemblage-871-116	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
