Assemblage_Name	2559871-8952806-1	2-2010276-1	5592634-4-1	2-1890704-1	2-1-5458090	0-9769267-2	3-3179916-821237	5875042-2-226164	3-3179916-0	3-2-226164	7481502-1-1	0-6653765-2	5970712-3179916-0	8180774-2-2	4-4-4	2-1-3285072	0-3-2	0-2-6626474	1358952-4-1	2559871-1-1	3-2-6544721	1256996-2-2	3-5235514-1	2-1-1	3-4-1	9989389-1-1	0-2-2	0-2-138251	3-3179916-9616508
assemblage-156-102	0	0	54	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	50	174	14	0	147	0	6
assemblage-885-841	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	145	0	1
assemblage-505-214	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	217	0	2
assemblage-858-122	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	260	0	3
assemblage-787-946	0	0	38	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	20	188	0	0	166	0	0
assemblage-171-84	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	259	0	10
assemblage-908-840	0	0	19	0	0	0	0	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	0	295	7	0	131	0	0
assemblage-965-927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	25	440	0	0	0	1
assemblage-876-927	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	51	0	0	0	0	0	369	0	0	21	0	3
assemblage-199-476	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0	0	0	0	0	0	0	26	231	99	0	112	0	5
assemblage-504-227	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	161	0	2
assemblage-595-776	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	90	0	7
assemblage-939-116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	117	0	0	336	7	3
assemblage-752-302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	101	0	0	363	5	3
assemblage-195-455	0	0	0	0	0	0	8	0	298	0	0	0	0	0	0	0	25	0	0	0	0	0	91	59	15	0	0	0	4
assemblage-718-296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	146	0	6
assemblage-607-434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	184	0	5
assemblage-859-809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	100	0	0	356	0	8
assemblage-399-803	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0	0	0	0	0	0	0	30	269	68	0	96	0	3
assemblage-397-779	0	0	0	0	0	0	0	0	8	99	0	0	0	0	0	0	0	0	0	0	5	0	7	211	54	0	116	0	0
assemblage-923-779	0	0	0	0	0	0	0	0	9	106	0	0	0	0	0	0	0	0	0	0	0	0	4	209	85	0	81	0	6
assemblage-859-499	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	1
assemblage-731-315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	93	0	0	344	0	6
assemblage-935-118	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	322	0	0	168	0	2
assemblage-567-217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	390	0	2
assemblage-918-961	0	0	0	0	0	17	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	228	0	4
assemblage-929-942	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	96	0	5
assemblage-287-849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	300	0	0	154	0	12
assemblage-271-845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	94	0	0	373	0	3
assemblage-131-138	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	184	0	2
assemblage-954-840	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	33	249	107	0	93	0	4
assemblage-572-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	160	0	2
assemblage-855-815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	244	0	6	198	0	16
assemblage-905-827	0	0	23	0	0	0	0	0	0	38	0	0	0	17	0	0	0	0	0	0	0	0	0	274	14	0	133	0	1
assemblage-486-677	0	0	0	0	0	0	9	0	396	6	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	70	0	9
assemblage-926-782	0	0	0	0	0	0	54	82	30	53	0	0	4	0	0	0	0	0	0	0	0	0	0	64	105	0	101	0	7
assemblage-912-785	0	0	0	0	0	0	0	0	3	111	0	0	0	0	0	0	0	0	0	0	0	0	0	207	67	0	105	0	7
assemblage-920-952	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	0	149	0	0	329	0	3
assemblage-262-234	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	138	0	7
assemblage-779-935	0	0	38	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	6	217	0	0	154	0	1
assemblage-661-958	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	6	330	16	0	47	0	17
assemblage-905-835	0	0	47	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	9	211	0	0	172	0	0
assemblage-243-239	0	0	9	0	0	0	0	0	0	64	0	0	0	14	0	0	0	0	0	0	0	0	0	266	0	0	142	0	5
assemblage-628-437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	275	0	0	173	0	10
assemblage-615-421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	287	0	0	172	0	6
assemblage-844-496	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	3
assemblage-661-956	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	10	239	0	0	229	0	4
assemblage-939-810	0	0	0	0	0	9	0	0	0	32	0	0	0	0	0	0	0	0	0	28	0	0	0	273	0	0	156	0	2
assemblage-928-765	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	35	262	71	0	99	0	6
assemblage-928-796	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	364	0	5
assemblage-768-990	0	0	0	0	0	11	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	238	0	1
assemblage-877-553	0	0	0	0	0	0	0	0	22	95	0	0	0	0	0	0	0	0	0	0	0	0	21	91	25	0	239	0	7
assemblage-255-927	0	0	0	0	0	0	0	0	11	70	0	0	0	0	0	0	0	0	0	0	0	0	19	93	30	0	272	0	5
assemblage-746-583	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	341	0	12
assemblage-507-779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	262	0	0	200	0	10
assemblage-199-466	0	0	0	0	0	0	14	0	294	0	0	0	0	0	0	0	21	0	0	0	0	0	87	64	17	0	0	0	3
assemblage-204-396	0	0	0	0	0	0	0	0	27	85	0	0	0	0	0	0	0	0	0	0	0	0	14	247	11	0	108	0	8
assemblage-94-494	0	0	0	0	0	0	0	0	13	52	0	0	0	0	0	0	0	0	0	0	0	0	12	111	23	0	286	0	3
assemblage-488-381	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	6	0	0	0	341	0	0	129	0	8
assemblage-887-564	0	0	0	0	0	0	0	0	122	33	0	0	0	0	0	0	0	0	0	0	0	0	82	228	0	0	28	0	7
assemblage-502-373	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	333	0	8
assemblage-928-943	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	262	0	3
assemblage-984-775	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	219	0	17
assemblage-896-831	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	126	0	4
assemblage-866-568	0	0	17	0	0	0	14	0	51	70	0	0	0	0	0	0	0	0	0	0	0	0	26	285	20	0	16	0	1
assemblage-190-406	0	0	45	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	72	163	16	0	126	0	14
assemblage-527-780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	109	0	0	341	0	4
