Assemblage_Name	1707976-6342798-3094946	2-6394348-7921657	2-1532495-5626926	2-0-9402122	2-0-5218743	3-3-3094946	2-3-4	2-0-6729584	3-3-1	3925512-0-6188291	2-5593696-5626926	8513935-2-5400278	2-5378508-8183531	2-0-6188291	5106264-0-5626926	2-0-4573056	2-2-5400278	2-859407-7921657	2-3899803-5400278	2-0-5626926	2999562-0-6188291	2-0-1396244	2-5378508-9890389	2-6004169-5020325	2-4624795-7921657	2-0-3081818	2-7999607-0	2-2675213-0	3-3-9740637	2-0-148134	3-6342798-3094946	1707976-6342798-695894	2-0-918885	464337-0-0	8377462-2-5400278	2-7447752-0	8996415-2233769-0	2-4119526-0	2-0-8183531	2-3-9330332	2-0-658366	2-0-7184064	2-6415551-0	7022313-2-5400278	2-230068-0	2-0-0	2-2141472-0	2-0-1269797	8023962-3-1	2-9643104-5218743	2-4751074-5400278	4222552-2-5400278	2-2042764-0	2-0-3923177	2-0-2073679	9977722-2-5400278	2-2260312-7921657	2-0-2893011	2-0-5020325	5765336-0-0	1347321-2-5400278	2-0-7921657	4328439-859407-7921657	2163453-2-5400278	7459091-2-5400278	3-3-5540310
assemblage-905-835	0	0	0	0	0	57	0	10	0	0	0	0	0	0	0	0	40	0	0	44	0	0	0	0	0	0	0	0	0	0	7	0	18	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	60	0	0	64	15
assemblage-243-239	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	35	0	0	0	120	0	0	0	0	0	32	0	0	29	7
assemblage-628-437	0	0	0	0	8	0	0	0	0	0	0	0	0	0	38	0	219	0	0	118	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	40	0	14	0	11
assemblage-615-421	0	0	0	0	12	0	0	0	0	0	0	0	0	0	61	0	235	0	0	104	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	37	0	13	0	7
assemblage-844-496	0	0	0	0	0	27	11	0	255	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-661-956	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	121	0	0	0	35	0	0	0	0	0	10	0	0	0	6
assemblage-939-810	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	48	37	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	124	0	0	29	13
assemblage-928-765	0	0	0	0	0	0	46	0	17	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	13	0	0	0	0	70	0	0	0	0	0	0	0	0	0	44	0	0	0	4
assemblage-928-796	0	0	0	0	135	19	0	0	0	0	0	0	0	0	0	0	72	33	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	43	12
assemblage-768-990	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	117	9	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	15	0	0	44	11
assemblage-877-553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	129	0	0	0	35	0	0	0	0	0	69	0	0	0	19
assemblage-255-927	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	105	0	0	0	31	0	0	0	0	0	102	0	0	0	14
assemblage-746-583	0	0	0	0	157	46	0	0	0	0	0	0	0	0	0	0	66	23	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	39	9
assemblage-507-779	0	0	0	0	7	0	0	0	0	0	0	0	0	0	50	0	282	0	0	64	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	30	0	9	0	12
assemblage-199-466	0	0	0	12	0	0	70	0	0	0	0	0	14	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10
assemblage-204-396	0	0	0	0	0	9	0	31	0	0	0	0	0	0	0	0	93	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	13	5	0	0	10
assemblage-94-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	154	0	0	0	0	0	121	0	0	0	18	0	0	0	0	0	116	0	0	0	8
assemblage-488-381	0	0	0	0	51	5	0	0	0	0	0	0	0	0	0	0	16	110	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	58	8
assemblage-887-564	0	0	0	0	0	110	10	0	0	0	0	0	0	0	0	0	41	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	10
assemblage-502-373	0	0	0	0	144	38	0	0	0	0	0	0	0	0	0	0	61	30	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	45	18
assemblage-928-943	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	121	50	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	9	0	0	0	69	0	0	0	0	0	87	0	0	0	12
