Assemblage_Name	3027240-1-4	3-1411309-4	3-1-6351905	2890116-6714213-2	3-216346-4	1-307611-3509418	8312778-1-4	3-4253318-4	2890116-307611-2	5517934-307611-6912056	1-307611-249597	5406263-1-4	3-1-1	3-1-4	1-307611-3777424	3-9999464-4	5472849-307611-2	7041854-1-4	1-307611-1716953	7226608-1-4	1-307611-1420715	3975334-307611-3896269	1-652784-2	9815453-307611-3896269	3-1-9972908	3-7329479-4	3-1013817-4	5586833-307611-6912056	3148422-1-3338836	3445453-0-4	1-1-3	2952528-7234405-3896269	4840577-1-3338836	2890116-5105498-2	1-6034273-9545084	6625266-307611-2	1-307611-4646548	1482062-307611-3896269	1-307611-2	3-7424961-4	3-1-1610149	1-307611-1080743	3-1-3875312	5406263-1-8753407	1-6034273-2	3-2116349-4	5845587-307611-2	7244294-307611-3896269	3205415-307611-2	7515185-1-3	9488148-307611-2	3-7442538-4	3-1-3338836	1-8129999-3896269	5517934-307611-2	4573597-307611-249597	1-307611-1022070	218516-307611-2	76425-1-4	1-2900849-3896269	735888-307611-3896269	1-2380393-2	8572074-9720291-9842120	1-398548-3896269	1-1328407-3	7041854-1269175-4	1-7889069-2	1-3123713-3896269	1722578-307611-2	3-1-3895799	185893-0-4	1-3979391-1022070	5517934-8916199-2	1-307611-3896269	9166412-307611-2	2952528-307611-3896269	1217736-8129999-3896269	1-9957130-2	1-6643582-2	3-1-8864954	825902-9138815-4	1-307611-8801131	825902-2-4	3-0-2625755	675344-307611-2	3-9332986-4	3-1-6781864	6268656-4-2	1884012-1-3	3904263-1-4	3-0-4	3-9661654-4	3-0-4286410	4972401-307611-2	7515185-1-5058418	1-7295504-3896269	825902-566365-4	1066180-307611-2
assemblage-961-129	0	0	0	0	0	0	0	0	0	0	67	0	0	282	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	6	0	0	0	0	0	0	0	17
assemblage-867-659	0	0	0	0	0	6	0	0	0	0	45	0	0	105	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-908-762	0	0	0	0	0	35	0	0	0	0	19	0	0	42	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	63	0	0	0	0	0	0	0	0	33	0	0	0	0	0	11	0	17	0	0	17	0	0	0	20
assemblage-781-955	0	0	0	0	0	0	0	0	8	0	34	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	20
assemblage-94-496	0	0	0	0	0	11	0	0	0	0	52	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	6	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	13	0	0	0	0	0	0	26
assemblage-816-142	0	0	0	0	0	0	0	0	0	0	16	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	210	0	0	0	0	0	13	0	0	28	0	0	0	0	0	0	25	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-818-149	0	0	0	0	0	0	0	0	28	0	91	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	30	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	43	0	0	33	0	0	0	0	0	0	30	0	0	0	0	0	0	5
assemblage-963-905	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	21
assemblage-844-834	0	0	0	0	0	0	0	0	0	0	0	64	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	21	0	0	79	0	0	0	0	0	0	0	10
assemblage-603-766	0	0	0	0	0	0	0	0	0	0	22	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	19	0	0	0	0	0	0	0	11
