Assemblage_Name	8680643-1-7326663	2-977047-1	8680643-3051886-1	2-2-2843717	2-6970636-1	8680643-1299790-1	8680643-1-3518041	9926351-2-1	8680643-1-4363433	5642818-1-1	0-1-3	1727733-1-2	8680643-3883396-1	8680643-1-6927090	2-8135966-4	2611247-1-1	6199269-1-1	2-2-7489580	2-2-1	2-2-4	8680643-3236979-1	2-2-4911496	3-1-2	8680643-1-191911	2-3604130-1	8691549-1-1	2-3845330-4911496	8680643-1-7897765	3605068-1-1	2-727604-1	2-2-1623867	7860719-1-1	2-2-7309001	6873563-1-2	2-2-8218995	2721792-1-7326663	8680643-3595808-1	8680643-680383-1	2459639-1-1	8680643-2016139-1	8680643-6189373-1	2-2-373908	8680643-8275856-1	6764002-1-2	8680643-2441629-1	3407798-1-1	316124-1-1	4165994-1-1	2-8619619-373908	3-3355095-2	8680643-1-1	8680643-1-3023496
assemblage-810-118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	91	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	329	4
assemblage-815-115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	25	0	242	17
assemblage-726-586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	252	7
assemblage-747-593	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	369	2
assemblage-234-940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	7
assemblage-597-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	15
assemblage-226-489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	17	0	0	69	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	11
assemblage-605-286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	346	10
assemblage-891-868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	29	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	16
assemblage-879-838	48	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	63	0	0	49	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	14
assemblage-896-872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	15	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	362	5
assemblage-347-470	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	20	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	2
assemblage-261-342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	299	19
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	21
assemblage-223-771	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	280	12
assemblage-348-188	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	4
assemblage-340-180	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	19	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	37	0	0	0	0	0	0	0	0	0	0	0	0	273	2
assemblage-583-465	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	5
assemblage-230-174	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	4
assemblage-576-485	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	5
