Assemblage_Name	9694113-3-1631055	4685974-1-4	9694113-3-4404186	1005457-8340283-4	1-4590723-2	1-6883420-2	1005457-1-8350915	3913768-3-2	4-5497222-2	9410385-3-2	8171525-3-4404186	4-3-440452	1-1-0	8295371-1-4	468944-4-1	9694113-7361327-2	0-1-4	5087370-8429014-0	1-4-7498597	1-5753370-1	1-4-6563602	4-5102732-2	2-2-3	9694113-118718-2	0-1-936078	1-4-7682267	1005457-3663525-4	1005457-1-8323998	1-4875244-1	1-4-1088569	3-1-0	5087370-1-0	2485107-3444607-8376142	3709257-1-4	9694113-3-6349458	0-1-8982340	4-3-2	3-1-4517349	6363405-3-2	9694113-4296998-4885903	3-1-5876224	1720433-1-4	1222536-4-1	9694113-9982128-2	9694113-3-2	1-4-6361003	1-9161139-7682267	1-4553972-1	1703551-2-2	9694113-3-6783716	1-4-9997946	7819528-4-1	1-5241753-1	9694113-4616934-2	8990210-1-4	1005457-6000466-4	1005457-7784481-4	1710167-4-1	1-2-2	5790013-4-1	1-4-1	6481076-4-1	9694113-3-1790589	9694113-4296998-2	1-4590723-1796634	2342338-3-4404186	1005457-1-4	9694113-742827-8376142	9694113-6454746-2	9694113-3-8376142	4-343634-2	9694113-3-5582855	9694113-1560876-5582855	2296932-3-2	9694113-6218418-5582855	9694113-3444607-8376142	5087370-139017-0	3769800-1-4
assemblage-212-820	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	311	21	0	33	0	0	0	0	0	42	0	9
assemblage-401-583	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	108	41	0	0	0	7	0	0	0	0	57	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-605-799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	20	0	11	0	0	0	0	0	0	0	0	21	0	0	0	0	137	0	0	0	0	0	179	22	0	0	0	0	0	0	0	28	0	12
assemblage-874-862	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	3	0	0	0	112	0	0	0	0	46	6	0	0	0	0	7
assemblage-755-317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	67	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	6
assemblage-441-260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	153	0	0	0	0	0	42	17	24	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	206	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	13
assemblage-666-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	44	0	0	0	0	61	0	0	0	0	0	0	0	109	0	0	0	16	0	0	0	0	0	0	0	0	0	52	0	107	0	0	0	0	0	7	0	0	0	0	70	0	0	0	0	0	11
assemblage-400-1003	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	17	11	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	68	0	0	0	0	0	132	0	0	0	0	0	0	8	0	0	0	14
assemblage-275-182	0	7	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	292	22	0	44	0	0	0	0	0	14	0	10
assemblage-823-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	67	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	59	0	0	0	0	15	0	109	0	0	0	0	0	149	0	0	5	0	24	0	0	0	0	0	14
assemblage-756-921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	21	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	27	0	0	0	0	72	0	0	0	0	0	21
assemblage-466-841	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	59	0	0	0	6	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	10
assemblage-961-871	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	112	101	0	0	0	0	0	0	0	61	0	22
assemblage-109-487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	75	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	16
assemblage-403-596	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	54	111	44	0	0	0	12	0	0	0	0	44	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8
assemblage-367-419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	119	0	0	0	0	0	41	33	34	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	213	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	5
assemblage-843-848	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	65	0	0	0	0	0	52	0	145	0	0	0	14	0	0	0	0	0	0	0	0	0	68	0	58	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	7
assemblage-442-845	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	33	36	0	29	0	0	0	33	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-954-864	0	11	18	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	284	24	0	56	0	0	0	0	0	16	0	13
assemblage-355-450	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	99	0	0	0	0	0	13	21	147	0	0	0	0	0	0	0	8	0	0	0	0	0	39	0	80	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	15
assemblage-103-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	9	0	0	0	0	0	0	8	0	0	4	0	0	0	57	0	0	4	0	0	159	31	0	15	0	11	0	0	0	0	0	10
assemblage-762-377	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	52	0	0	0	0	0	111	0	0	0	0	48	3	0	0	0	0	4
assemblage-775-937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	19	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	221	0	0	0	0	0	32	0	0	0	0	42	0	0	0	0	0	11
assemblage-641-859	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	22	0	9	0	0	0	0	0	57	0	12
assemblage-918-230	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	182	0	0	0	0	0	45	0	0	0	0	43	0	0	0	0	0	3
assemblage-385-584	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	59	100	51	0	0	0	10	0	0	0	0	38	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
assemblage-514-309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	57	0	0	0	0	0	61	0	0	0	0	10	0	0	0	0	0	9
assemblage-645-144	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	3	0	0	0	0	0	0	40	0	0	0	0	0	0	31	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	26
assemblage-220-285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	51	0	0	0	0	0	12	0	0	14	0	0	0	0	0	0	105	0	0	12	0	0	240	0	0	7	0	0	0	0	0	14	0	12
assemblage-498-329	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	40	0	0	0	0	0	120	0	0	20	0	43	0	0	0	0	0	8
assemblage-867-863	5	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	15	0	0	0	0	24	0	0	0	0	0	19	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	108	0	0	0	0	0	48	0	0	0	0	40	0	0	0	0	0	17
