Assemblage_Name	3-2798493-1	0-2976261-6646589	1845392-4128558-1	5651714-2-6646589	3926036-4-1	3-3504514-1	8887372-4-1	232828-2-6646589	4-1-3	3-4-2	232828-2-9752263	9241929-4-1	0-2-2664426	903748-4-1	5031883-2-6646589	3-4-5708299	8220698-4-1	1845392-7772521-1	0-4959601-6646589	3-6304307-1	6998389-4-1	2831149-2-6120725	2831149-2-6646589	232828-1730351-6646589	3-4686026-1	3-4-729766	1845392-4-1	0-1158837-6646589	7509597-2-6646589	3-1793174-1	4-1-5924021	1429415-2-6646589	3668392-4-1	3-3588875-1	3-4-9343035	3-4-1746903	0-2-6646589	5118301-4-1	3-3385150-1	3-4-4494914	3-2380901-1	0-9759211-6646589	0-2-4238208	8013079-4-1	232828-2-9090277	7759711-4-1	3005550-4-2	8696718-3-0	3-4-1	4-7513395-3	3-7197503-1	1668801-4-1	8438311-4-1	1845392-9774221-1	0-2656673-6646589	4-8869099-3	3-4-9752149	3-4-7482333	1627572-4-1	9399947-3-0
assemblage-262-172	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	28	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	13
assemblage-983-722	0	0	8	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	21	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	5
assemblage-657-321	0	0	0	0	0	0	20	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	12
assemblage-925-224	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	3
assemblage-945-351	0	0	0	0	0	0	59	0	92	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	9	6	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	3
assemblage-271-166	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	41	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	14
assemblage-604-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	20	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	5
assemblage-906-226	0	0	0	0	0	0	10	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	9
assemblage-618-855	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	6	0	0	152	0	0	0	0	0	0	0	0	0	0	6
assemblage-510-764	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	22
