Assemblage_Name	5922308-2-0	1952771-0-3517591	3-1-9770952	4-1833084-3	5123432-1-2	7053654-1-2	4-8119388-3	9013547-0-0	7404370-1-6655195	9946467-0-0	0-1583940-0	3-1-2	1-0-3517591	3-9431246-6655195	3-7636999-6655195	3-1-6655195	1-439434-0	4-6421919-3	4-6371639-3076	4-6371639-3	3-1972865-6655195	7107874-0-0	4-6421919-2844208	4934559-0-4029588	1081188-2-2	1-0-5666916	7734606-8834812-1	5705823-4-0	0-3210061-0	2995925-1-2	3-1-8194161	0-4-0	6483839-1833084-3	8824714-2-0	1750699-6421919-3	2074730-1-3	3-1-7559570	4-2171893-3	4571764-0-0	9690324-0-0	3-3321706-2	4934559-2529994-2418293	4934559-3605320-0	0-4-4269307	0-7526676-9419867	9038052-1-6655195	4934559-0-0	3-9983930-1	3-1-1656483	4934559-0-3633036	0-2-7823597	4-3857026-3	0-7526676-0	4934559-0-2418293	5672670-1833084-8540728	0-7526676-606065	3-8834812-6718097	3-8834812-1	0-2-0	1-1898204-0	1081188-4838241-2	3-1-6980294	4121901-0-0	0-7526676-3495142	152918-2-0	4934559-2971228-0	4064590-1-2	3-3669164-2	3138951-0-0	1-0-0	1081188-4838241-1933841	4-1-3	8774363-2-0	8414488-0-0	4275945-7636999-6655195	6646066-1-2	7869966-7636999-6655195	0-7526676-5939010	3-7735770-2	7595140-8834812-1	4-349535-3	3-1-7787179	3-1-5327108	4-3529227-3	8164663-7636999-6655195	4934559-3915339-0	1216850-1-2	4934559-0-2972941	4934559-7127019-0
assemblage-171-164	0	0	0	69	0	0	34	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	66	0	35	0	0	0	0	0	0	0	0	16	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-993-792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	134	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	15
assemblage-368-841	21	0	12	23	0	0	0	0	0	0	0	138	0	0	4	141	0	0	0	0	0	0	13	0	0	0	0	0	0	20	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	20
assemblage-541-582	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	121	0	0	0	48	0	0	0	0	0	0	0	0	0	7	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-614-784	0	0	0	0	0	0	0	0	0	0	0	17	0	0	44	46	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-171-169	0	0	0	55	0	0	37	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	60	0	30	0	0	0	0	0	0	0	0	15	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-823-113	0	0	0	12	0	0	0	0	0	0	0	122	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	40	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-259-175	0	0	0	0	0	0	0	0	0	0	0	31	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	196	0	0	0	0	0	0	9	0	0	0	77	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-238-294	0	0	0	0	0	0	0	0	0	0	0	133	0	0	8	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	180	10	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-793-937	14	0	0	15	0	0	0	0	0	0	33	168	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	26	0	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
