Assemblage_Name	4857388-4-2	3-9518590-7037169	206056-4-2	3-1160120-5884050	5434652-4-2	3-4-4917381	3-8135408-2	0-1-4769066	3-9320520-2973536	3-0-2564801	3-4-575472	3-1494774-7037169	0-8948003-0	3-1639919-3	3-9099602-2973536	3-4-2	0-4-1	6542453-4-5884050	0-1-0	3-7526006-7037169	3-9376196-5884050	0-6456331-1	3-4-7037169	8276927-4-2	7186108-4-2	3-4-5855429	3-3329176-4002237	0-6387347-1	3-4-6152249	3-3329176-5229436	5383493-4-5884050	3-4-6527248	3-0-3	1-4-8107784	3-4-4052374	3-4451725-5884050	3-4-3406324	1-4-2	1-512928-2	3-3329176-2771424	0-8706078-1	289302-4-7037169	5063919-4-2	3-4-5884050	3-1221891-5884050	3-3992027-4052374	3-4-2973536	0-5595880-1	3-4-8044294	3-3329176-3	0-6069045-1	1-4-7599946
assemblage-925-224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	75	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	122	0	6
assemblage-945-351	10	0	0	0	0	0	0	0	0	0	0	0	0	19	0	40	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	6
assemblage-271-166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	59	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	1
assemblage-604-798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	3	0	15
assemblage-906-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	105	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	18	0	0	0	0	0	124	0	6
assemblage-618-855	0	0	0	0	0	0	0	0	0	0	42	101	0	0	0	0	0	0	0	0	71	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1
assemblage-510-764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	8
assemblage-272-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	8
assemblage-1005-552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	90	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	107	0	6
assemblage-755-235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	83	51	0	0	0	27	0	0	0	0	0	0	36	0	0	0	0	19	0	0	0	0	0	0	4	0	0	0	70	0	0	0	0	0	195	0	11
assemblage-1009-796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	9
assemblage-937-434	0	0	0	29	0	0	0	0	0	0	10	27	0	0	0	0	0	0	0	0	28	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	11
assemblage-117-516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	9	138	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	18	0	2
assemblage-524-564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	169	0	0	0	44	0	13	0	0	0	0	0	0	0	0	0	11	0	86	0	0	0	0	29	0	0	0	71	0	0	0	0	0	68	0	6
assemblage-213-296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	49	0	178	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	90	0	0	0	0	0	48	0	7
