Assemblage_Name	4217991-0-1	1-4-1628436	1-4-4599247	5261338-3-7160049	3409934-9400874-4	9233187-0-3	4-5407497-4	9009230-3-4	5770143-4-4599247	7090369-3-473078	1-4340417-4599247	4-4-5487266	7090369-3-7160049	3-1562748-0	9009230-7982133-4	1372007-0-0	1-1451570-3	1-4-8906781	1-5157135-3	269753-4340417-4599247	6722814-0-1	2052476-2745486-1	4-0-1	7146512-4-4599247	6724243-4-4599247	4-4-4811983	1-6553353-3	1899562-4-3	6351427-4-4599247	9009230-2069725-4	7637862-3-7160049	0-0-3	9009230-3-1201520	9755896-3-4	1-4-9683468	9779632-0-1	3-0-6041057	1-1550519-4599247	4-2745486-1	405105-4-3	2163539-4-4599247	9379771-2745486-1	3-0-0	1-3680766-4599247	7090369-2102102-4	4-4-3	7097518-3-4	1-7675538-8906781	1-4-9462329	4-3-4748235	3-0-4633845	7090369-99464-7160049	4-9412787-1	7090369-3844742-4	4-1985073-3	4-3-7404466	6089899-3-4	1-4-3	3409934-3-4	4-1717800-1	405105-4-1568730	1-4-8696827	1-5771701-4599247	7090369-8539360-4	4-3-4	7090369-3-4	3-1529397-0	3-2-1	1-4-583425	1-4-3632752	1-4-3098202	9009230-9925556-4	6850188-3-4
assemblage-290-286	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	16	0	0	414	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	13
assemblage-363-462	0	0	7	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	90	97	0	0	0	0	0	0	21
assemblage-489-327	0	0	185	0	0	0	0	113	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-756-230	0	0	196	0	0	0	0	81	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-463-280	0	0	0	0	0	10	0	113	0	0	0	0	52	0	0	0	0	0	0	0	0	0	39	0	0	16	0	0	0	0	0	48	0	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	56	0	0	0	0	0	0	15
assemblage-216-821	0	0	79	0	0	0	0	77	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	8
assemblage-669-336	0	0	60	0	0	0	9	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	111	0	14	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	66	0	0	0	0	0	0	8	22	0	0	0	0	0	0	7
assemblage-119-470	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	35	0	22	0	0	0	0	0	0	56	0	0	0	0	0	0	0	17
assemblage-791-118	0	0	0	0	0	0	0	52	0	0	0	11	0	0	0	0	0	0	0	0	13	0	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	0	77	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	24	186	0	0	0	0	0	0	2
assemblage-958-370	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	42	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	26	0	0	63	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-107-490	0	0	204	0	0	0	0	124	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-949-365	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	27	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	29	0	0	85	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-516-770	0	0	182	0	0	0	0	126	0	0	0	0	0	0	0	26	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-770-926	0	0	0	0	0	0	0	126	0	0	0	0	30	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	58	0	0	0	0	7	0	0	0	0	0	51	0	0	16	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	54	24	0	0	0	0	0	0	22
