Assemblage_Name	0-3240661-5584060	1-1-0	1-1-4	0-7866543-4	2567713-1-1	5914932-4-2	0-3-9290877	3605234-3-0	1621026-3-0	0-3-4862568	0-4-2	0-651861-5136190	7969813-3-0	0-4-4	699068-1-1	0-3-5949628	0-297677-2	8614614-3-0	3164783-7174693-1	0-651861-9480190	3164783-1-7116511	0-651861-9738000	3904170-1-1	3763011-3-0	4670631-651861-2	5384008-4-2	1331120-1-1	1487579-3-0	0-3240661-7541353	3-0-1	0-3-6013753	0-3-7960777	3164783-1-909760	0-3-2465988	3164783-1-4959381	0-3-0	0-3-9476160	0-6413989-2	0-6000027-2	0-651861-6089384	2810884-1-4	1-1787793-4	3164783-1-1	3164783-8578904-1	2827629-651861-2	0-3240661-4	0-3-3237264	0-3-4306539	0-651861-2	0-8340334-0
assemblage-344-429	0	0	51	0	0	0	0	0	0	0	35	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	132	0	0	36	0	0	142	3
assemblage-290-286	0	84	151	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	14
assemblage-363-462	0	0	84	0	0	0	0	0	0	0	165	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	160	0	0	0	0	0	0	6
assemblage-489-327	0	0	0	0	0	0	11	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	187	0	0	0	18	0	60	4
assemblage-756-230	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	38	0	0	43	0	0	147	8
assemblage-463-280	0	0	83	0	0	0	0	0	0	0	34	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	153	0	0	82	0	0	29	1
assemblage-216-821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	126	0	0	9	8	0	0	6
assemblage-669-336	0	0	54	0	0	0	0	0	0	0	85	0	0	0	0	0	23	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	140	0	0	0	0	0	40	6
assemblage-119-470	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-791-118	0	14	183	0	0	0	0	0	0	0	56	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	33	0	0	0	0	0	0	2
assemblage-958-370	0	0	9	0	0	0	0	0	0	0	296	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	0	0	0	0	0	16
assemblage-107-490	0	0	0	0	0	0	13	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	146	0	0	0	17	0	91	6
assemblage-949-365	0	0	11	0	0	0	0	0	0	0	262	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	19
