Assemblage_Name	4-2-5395260	2781350-2-1	2-1-3	4-2642281-1	2-0-4	4-2-1	2-0-4184423	0-4-4	0-2-3	2-6726379-4
assemblage-506-308	0	0	52	0	430	16	0	0	0	2
assemblage-840-870	0	0	19	0	354	75	0	49	0	3
assemblage-261-275	0	0	20	0	58	406	0	15	0	1
assemblage-897-236	0	0	261	0	123	116	0	0	0	0
assemblage-965-448	0	0	28	0	257	213	0	0	0	2
assemblage-826-101	0	0	167	0	262	70	0	0	0	1
assemblage-111-459	0	0	237	0	30	117	0	116	0	0
assemblage-818-101	0	0	25	0	187	131	0	157	0	0
assemblage-979-731	0	0	54	0	242	204	0	0	0	0
assemblage-969-882	0	0	7	0	223	270	0	0	0	0
assemblage-769-313	0	0	140	0	104	256	0	0	0	0
assemblage-1003-809	0	0	47	0	218	221	14	0	0	0
assemblage-465-260	0	0	33	0	224	166	0	77	0	0
assemblage-176-154	0	0	24	0	123	217	0	135	0	1
assemblage-386-886	0	0	46	0	254	192	8	0	0	0
assemblage-1009-805	0	0	11	0	360	126	0	0	0	3
assemblage-634-846	0	0	66	0	182	252	0	0	0	0
assemblage-777-926	0	0	89	0	64	164	0	183	0	0
assemblage-772-449	0	0	64	0	171	261	0	0	0	4
assemblage-985-802	0	0	10	0	352	133	0	0	0	5
assemblage-282-274	0	0	22	0	81	383	0	14	0	0
assemblage-615-860	0	0	51	0	159	282	0	0	0	8
assemblage-224-283	0	0	76	0	378	46	0	0	0	0
assemblage-285-166	5	0	164	0	258	73	0	0	0	0
assemblage-282-184	0	0	5	0	239	253	0	0	0	3
assemblage-648-313	0	0	174	0	218	98	0	10	0	0
assemblage-617-164	0	0	9	0	339	148	0	0	0	4
assemblage-993-573	0	0	0	0	392	59	0	48	0	1
assemblage-955-872	0	9	14	0	277	200	0	0	0	0
assemblage-115-478	0	0	176	0	255	68	0	0	0	1
assemblage-602-829	0	0	85	0	188	225	0	0	0	2
assemblage-474-839	0	0	81	0	198	115	0	105	0	1
assemblage-945-434	0	0	66	0	177	257	0	0	0	0
assemblage-630-862	0	0	45	0	228	226	0	0	0	1
assemblage-392-1005	0	0	206	0	206	88	0	0	0	0
assemblage-591-603	0	0	35	0	173	126	0	165	0	1
assemblage-454-277	0	0	0	0	213	197	0	90	0	0
assemblage-438-254	0	0	0	0	375	74	0	46	0	5
assemblage-359-436	0	0	26	0	204	169	0	101	0	0
assemblage-192-834	0	0	6	0	227	261	0	0	0	6
assemblage-986-557	0	0	87	0	78	159	0	175	0	1
assemblage-517-758	0	0	10	0	240	247	0	0	0	3
assemblage-1001-562	0	0	0	0	386	62	0	48	0	4
assemblage-404-873	0	0	14	0	328	157	0	0	0	1
assemblage-574-599	0	0	34	0	184	124	0	158	0	0
assemblage-574-610	0	0	69	0	225	103	0	103	0	0
assemblage-822-107	0	0	54	0	228	117	0	98	0	3
assemblage-278-277	0	0	19	0	70	402	0	8	0	1
assemblage-204-828	0	0	8	0	214	278	0	0	0	0
assemblage-157-167	0	0	62	0	215	116	0	106	0	1
assemblage-643-151	0	0	61	0	229	201	9	0	0	0
assemblage-411-992	0	0	106	4	318	72	0	0	0	0
assemblage-1010-584	0	0	0	0	150	248	0	95	0	7
assemblage-514-764	0	0	151	0	255	91	0	0	0	3
assemblage-829-98	0	0	129	0	252	117	0	0	0	2
assemblage-386-815	0	0	166	0	177	150	0	7	0	0
assemblage-963-874	0	20	5	0	278	197	0	0	0	0
assemblage-781-441	0	0	41	0	236	223	0	0	0	0
assemblage-369-820	0	0	22	0	361	86	0	30	0	1
assemblage-725-344	0	0	12	0	361	78	0	49	0	0
assemblage-617-789	0	0	92	0	295	113	0	0	0	0
assemblage-99-464	0	0	211	0	42	115	0	132	0	0
assemblage-354-873	0	0	53	0	195	193	0	58	0	1
assemblage-405-1011	0	0	253	0	150	96	0	0	0	1
assemblage-859-854	0	0	190	0	166	138	0	6	0	0
assemblage-443-264	0	0	0	0	142	284	0	71	0	3
assemblage-734-252	0	0	122	0	239	139	0	0	0	0
assemblage-449-851	0	0	44	0	132	179	0	143	0	2
assemblage-395-985	0	0	99	0	338	59	0	0	0	4
assemblage-730-350	0	0	104	0	293	98	0	0	0	5
assemblage-405-899	0	0	28	0	366	106	0	0	0	0
assemblage-747-371	0	0	263	0	125	112	0	0	0	0
assemblage-906-247	0	0	105	0	308	83	0	4	0	0
assemblage-475-256	0	0	0	0	364	92	0	39	0	5
assemblage-644-161	0	0	22	0	389	88	0	0	0	1
assemblage-367-421	0	0	90	0	75	181	0	153	0	1
assemblage-564-597	0	0	37	0	185	138	0	140	0	0
assemblage-638-795	0	0	23	0	374	103	0	0	0	0
assemblage-783-932	0	0	0	0	358	102	0	37	0	3
assemblage-996-803	0	0	109	0	253	138	0	0	0	0
assemblage-352-856	0	0	168	0	213	105	0	14	0	0
assemblage-777-942	0	0	33	0	210	180	0	76	0	1
assemblage-1007-738	0	0	42	0	157	299	0	0	0	2
assemblage-361-855	0	0	172	0	201	112	0	15	0	0
assemblage-992-559	0	0	0	0	223	195	0	81	0	1
assemblage-648-158	0	0	40	0	263	192	5	0	0	0
assemblage-166-138	0	0	42	0	137	186	0	132	0	3
assemblage-632-142	0	0	22	0	379	99	0	0	0	0
assemblage-217-302	0	0	72	0	403	25	0	0	0	0
assemblage-927-210	0	0	114	0	312	73	0	0	0	1
assemblage-805-119	0	0	28	0	129	190	0	151	0	2
assemblage-877-870	0	0	167	0	172	154	0	4	0	3
assemblage-804-94	0	0	13	0	112	350	0	25	0	0
assemblage-745-228	0	0	124	0	314	59	0	0	0	3
assemblage-128-456	0	0	220	0	20	149	0	111	0	0
assemblage-207-294	0	0	53	0	421	26	0	0	0	0
assemblage-996-553	0	0	84	0	72	172	0	172	0	0
assemblage-775-444	0	0	57	0	147	294	0	0	0	2
assemblage-969-450	0	0	44	0	242	214	0	0	0	0
assemblage-340-860	0	0	39	0	205	186	0	70	0	0
assemblage-259-293	0	0	18	0	80	384	0	18	0	0
assemblage-368-454	0	0	0	0	116	319	0	64	0	1
assemblage-782-422	0	0	55	0	164	276	0	0	0	5
assemblage-773-447	0	0	29	0	240	231	0	0	0	0
assemblage-500-313	0	0	75	0	383	42	0	0	0	0
assemblage-215-804	0	0	8	0	217	275	0	0	0	0
assemblage-774-925	0	0	0	0	235	193	0	72	0	0
assemblage-758-234	0	0	160	0	277	63	0	0	0	0
assemblage-645-340	0	0	58	0	188	198	0	55	0	1
assemblage-127-497	0	0	65	0	395	39	0	0	0	1
assemblage-748-241	0	0	176	0	253	69	0	0	0	2
assemblage-91-467	0	0	216	0	33	132	0	118	0	1
assemblage-494-764	0	0	135	0	269	92	0	0	0	4
assemblage-377-823	0	0	259	0	115	126	0	0	0	0
assemblage-356-858	0	0	56	0	226	162	0	55	0	1
assemblage-449-849	0	0	35	0	195	122	0	145	0	3
assemblage-958-873	0	0	2	0	220	278	0	0	0	0
assemblage-452-257	0	0	0	0	399	60	0	37	0	4
assemblage-735-342	0	0	121	0	306	67	0	0	0	6
assemblage-111-469	0	0	196	0	36	127	0	140	0	1
assemblage-977-723	0	0	85	0	197	217	0	0	0	1
assemblage-379-581	0	0	47	0	209	163	0	39	40	2
assemblage-918-207	0	0	165	0	191	135	0	8	0	1
assemblage-805-964	0	0	185	0	189	108	0	17	0	1
assemblage-461-266	0	0	0	0	390	73	0	34	0	3
assemblage-383-590	0	0	87	0	181	172	0	25	34	1
assemblage-115-490	0	0	160	0	241	99	0	0	0	0
assemblage-271-267	0	0	12	0	88	386	0	14	0	0
assemblage-183-819	0	0	17	0	227	246	0	0	0	10
assemblage-402-894	0	0	91	0	293	116	0	0	0	0
assemblage-385-579	0	0	66	0	178	178	0	39	38	1
assemblage-466-256	0	0	58	0	182	198	0	60	0	2
assemblage-445-852	0	0	50	0	189	130	0	131	0	0
assemblage-617-852	0	0	62	0	173	260	0	0	0	5
