Assemblage_Name	8097818-4-1	4-898925-3459422	4-3-3459422	144824-3-3459422	1-1-2	1119288-7310699-1	1-3839450-1	4-8112617-3459422	2732350-4-1	8870563-3-1384887	8241402-3-1	2-5723064-3	4-3-1571521	0-3-3217020	8870563-3-3459422	2-4925576-1	1-5838883-1	5547616-4-1	2-2-3	2-4-5211081	9402555-3-3459422	8051672-3-1	2-8507577-1	1119288-3-1	8870563-3-4574579	4-3-8908801	8870563-2882071-3459422	8100163-4-1	4-3-4266992	5277107-3-3459422	2-2-9730779	8100163-3942049-1	2-2283747-1	8870563-2328638-3459422	985118-4-1	5277107-3-516127	1-1832478-1	1748348-3-1	1-3-1	2-4-1	4-3-520043	6631180-3-1	4514380-3-3459422	1-3846984-1	8870563-3-1126199	1-3-9285226	1-3-5283330	5128079-3-3459422	2-3761444-1	1-3-663562	4-3-6708120	4908361-3-1	926513-4-1	2869869-3-3459422	1-3-3492214
assemblage-107-490	0	0	94	0	0	0	0	0	0	10	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	150	0	0	0	0	18	0	0	0	21	0	0	0	0	0	0
assemblage-949-365	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0	0	0	36	0	0	0	11
assemblage-516-770	0	0	42	0	0	0	0	0	0	0	45	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	7	108	0	0	0	0	0	10	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-770-926	0	0	170	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	61	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	36	0	0	0	0	10
assemblage-395-903	0	0	150	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	9	0	0	0	60	0	0	0	0	0	0	0	0	176	28	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10
assemblage-563-597	0	0	277	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93	0	0	0	0	0	0	0	0	0	15	0	0	0	0	22
assemblage-816-95	0	0	16	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-471-239	0	0	182	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	111	0	0	1	0	0	0	0	0	0	59	0	0	0	0	6
assemblage-262-172	0	0	85	0	0	0	0	0	0	0	21	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	29	0	37	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	11	0	0	0	6	0	13
assemblage-983-722	0	0	49	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	11	0	94	0	0	0	0	18	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-657-321	0	0	113	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	78	197	0	0	24	0	0	0	0	0	0	12	0	0	0	0	10
assemblage-925-224	0	0	71	0	0	0	0	0	0	0	0	0	0	0	23	0	7	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-945-351	0	0	445	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	6
assemblage-271-166	0	0	68	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	16	277	0	0	0	0	0	0	0	0	0	25	0	0	0	32	0	20
assemblage-604-798	0	0	181	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	13	0	0	0	50	0	0	0	0	0	0	0	0	154	25	0	0	0	0	0	0	0	0	11	0	0	0	0	0	15
assemblage-906-226	0	0	115	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-618-855	0	0	44	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	23	0	65	0	10	0	0	0	0	0	0	244	0	0	6	0	0	0	0	0	0	0	0	0	0	46	0	8
assemblage-510-764	0	0	40	0	0	0	0	0	0	0	28	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	11	6	110	0	0	0	0	0	17	0	0	158	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2
assemblage-272-157	0	0	29	0	0	0	0	0	0	0	45	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	12	103	0	0	0	0	0	17	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-1005-552	0	0	163	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
