Assemblage_Name	4-2588450-1	1381146-2588450-1	1-0-2	1393208-2588450-1	4-7609035-2312968	4-2588450-1191298	4-1-0	3-6923230-4	4-2588450-9058230	8552196-77738-0	9497000-2588450-1	1776532-2588450-1	1285443-3411745-0	3836351-1-0	5058980-2588450-5384028	9216843-3283868-5384028	4-2588450-8693160	4-2100558-1	4-7609035-1	3-1317016-5756524	8552196-1-0	4-2246980-5384028	2357848-2588450-1	3-1-4	6201497-2588450-1	9453093-2588450-8921737	4-2588450-9547921	3836351-3411745-0	8552196-3725923-0	3-1317016-4	8880700-2588450-5384028	9216843-2588450-5384028	4-438850-1	4-2588450-8921737	4-2588450-4224146	3836351-1-7411046	4-2588450-7496089	1-3-2	4-2588450-3454967	4-2588450-7624383	4-2588450-1339608	4-7462639-5384028	7211405-2588450-1	6248174-2588450-1	2364282-3-3	4-887025-5384028	4972019-2588450-1	4-2588450-298322	6632469-2588450-5384028	8552196-77738-640294	8262940-2588450-1	4-4347468-9058230	4605833-2588450-5384028	4-2588450-5384028	9029062-2588450-5384028
assemblage-468-265	115	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	11
assemblage-407-904	334	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-730-369	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	40	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	135	8
assemblage-940-453	300	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-171-164	135	0	47	0	0	0	31	0	0	0	0	0	0	14	0	0	0	0	0	0	101	0	0	82	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	57	1
assemblage-993-792	331	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-368-841	358	0	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	28	28	0	0	0	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	3
assemblage-541-582	232	0	0	0	0	0	0	0	0	168	0	0	0	11	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	13
assemblage-614-784	261	0	0	0	0	0	0	0	0	145	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-171-169	136	0	32	0	0	0	20	0	0	0	0	0	0	7	0	0	0	0	0	0	98	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	81	12
