Assemblage_Name	1-1-1	1-0-0	3-8648691-3	3-3-6345254	2455755-1-2	4-1-2	0-1-0	1-1-2050263	0-4-4	2-7609570-3	1-1-1704371	4-1-2256315	3763183-1-2	2-2-0	9167433-3-3	990696-0-0	4-1-623510	2020126-0-0	4-1-3686080	3-3-4368035	2-4-3	3-9753152-3	0-6906076-0	3-0-4	8029965-1-2	2655142-2-0	2-0-0	1-2-4	3-3667-3	0-5095285-0	3-3-3	1-0-8737485	2240619-3-3	3-3-73085	1274646-0-0
assemblage-534-385	9	12	0	0	10	147	0	5	0	0	0	0	0	0	0	5	0	0	0	0	44	15	0	0	0	0	0	0	7	2	236	0	0	0	8
assemblage-514-397	24	118	0	0	0	42	0	0	10	0	0	0	0	10	0	5	0	29	0	0	11	0	0	0	0	49	8	30	0	31	105	22	0	0	6
assemblage-491-522	23	60	0	0	0	56	0	6	0	0	0	0	0	0	0	9	0	4	0	0	46	0	0	0	0	28	0	0	6	28	222	0	0	0	12
assemblage-596-549	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	2	0	0	0	0	59	26	0	0	0	0	0	0	0	0	265	0	0	15	17
assemblage-477-268	20	108	0	0	0	28	0	0	0	0	0	0	0	0	0	37	0	47	0	0	4	0	0	0	0	67	13	14	0	59	89	12	0	0	2
assemblage-294-555	13	33	0	0	19	108	0	0	0	0	0	0	0	0	0	0	8	0	0	0	34	15	9	0	0	18	0	0	24	18	189	0	0	0	12
assemblage-422-456	28	90	0	0	0	40	0	14	0	0	0	0	0	0	0	54	0	37	0	3	24	0	0	0	0	47	0	0	10	28	118	0	0	0	7
assemblage-545-414	17	32	0	0	15	81	0	0	0	0	0	0	0	0	0	6	4	0	0	0	39	11	0	0	0	13	0	0	35	27	217	0	0	0	3
assemblage-541-414	9	27	0	0	9	76	0	0	0	0	0	0	0	0	0	6	14	0	0	0	36	22	0	0	0	16	0	0	36	30	214	0	0	0	5
assemblage-488-656	19	40	0	0	11	97	0	0	0	0	0	0	0	0	0	0	7	0	0	0	42	26	0	0	0	13	0	0	20	25	185	0	0	0	15
assemblage-389-410	22	139	0	0	0	40	0	0	4	0	0	0	0	11	0	14	0	17	0	0	5	0	0	0	0	43	12	30	0	32	106	23	0	0	2
assemblage-345-403	15	102	0	0	0	23	0	0	0	0	0	0	0	0	0	30	0	30	0	0	12	0	0	0	0	91	11	14	0	43	114	5	0	0	10
assemblage-483-276	30	74	0	0	0	57	0	12	0	0	0	0	0	0	0	52	0	29	0	4	23	0	0	0	0	43	0	12	4	35	124	0	0	0	1
assemblage-598-540	18	16	0	0	7	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	14	0	0	0	0	0	0	12	0	214	0	0	0	26
assemblage-508-408	23	83	0	0	0	64	0	9	0	0	0	0	0	0	0	8	0	4	0	0	35	0	0	0	0	30	0	0	17	28	190	0	0	0	9
assemblage-443-448	0	0	0	0	0	43	0	0	0	0	0	0	14	0	0	11	0	0	0	0	60	87	0	0	0	0	0	0	0	0	240	0	0	40	5
assemblage-441-558	0	0	0	0	0	42	0	0	0	0	0	0	12	0	0	6	0	0	0	0	73	75	0	0	0	0	0	0	0	0	251	0	0	37	4
assemblage-598-466	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	8	0	0	0	0	68	36	0	0	0	0	0	0	0	0	277	0	0	25	10
assemblage-413-336	0	0	0	0	0	75	0	0	0	0	0	0	4	0	0	12	0	0	0	0	53	62	0	0	0	0	0	0	0	0	271	0	0	20	3
assemblage-633-584	0	0	0	0	0	51	0	0	0	4	0	0	10	0	0	9	0	0	0	0	73	88	0	0	0	0	0	0	0	0	222	0	0	40	3
assemblage-562-542	0	0	0	0	0	35	0	0	0	8	0	0	2	0	0	8	0	0	0	0	60	85	0	0	0	0	0	0	0	0	263	0	0	34	5
assemblage-343-490	0	0	0	0	0	53	0	0	0	0	0	0	10	0	0	27	0	0	0	0	69	54	0	0	0	0	0	0	0	0	261	0	0	17	9
assemblage-424-495	16	60	0	0	0	77	0	21	0	0	0	0	0	0	0	23	0	10	0	0	48	10	0	0	0	27	0	0	13	24	167	0	0	0	4
assemblage-356-528	0	0	0	0	0	60	0	0	0	0	0	0	10	0	0	7	0	0	0	0	69	85	0	0	0	0	0	0	0	0	223	0	0	40	6
assemblage-445-476	25	77	0	0	0	72	0	12	0	0	0	0	0	0	0	7	0	0	0	0	42	3	0	0	0	20	0	0	16	16	198	0	0	0	12
assemblage-623-440	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	28	0	0	0	0	0	0	0	0	273	0	0	21	13
assemblage-665-452	62	112	0	0	0	18	0	0	27	0	0	0	0	26	0	0	0	42	0	0	5	0	0	14	0	40	7	35	0	0	94	13	0	0	5
assemblage-519-455	34	110	0	0	0	20	6	0	23	0	0	0	0	25	0	0	0	37	0	0	7	0	0	16	0	54	15	27	0	0	98	25	0	0	3
assemblage-300-435	23	94	0	0	0	23	0	0	0	0	0	0	0	0	0	42	0	41	0	0	14	0	0	0	0	73	8	13	0	59	91	12	0	0	7
assemblage-404-560	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	8	0	0	0	0	59	24	0	0	0	0	0	0	0	0	258	0	0	23	16
