Assemblage_Name	6839176-6680135-2	3-2402964-2	2-601863-1028423	3-4890955-6958170	3-1-4	1111987-6680135-2	3-6680135-5362279	3-7627653-4	8337262-4-4	3-1609135-4	3-6680135-7482907	2367464-6680135-2	6158907-1-4	9288532-0-4	3-4890955-8287264	2-1-3	2-0-3707932	8718530-6012069-4	3-4890955-2	2-0-5059805	2-397491-4	4456295-3-0	3374931-0-4	5948769-5543283-4	7981359-1389829-3	7079698-2114244-1	2216890-0-8373073	9745833-4890955-2	9007317-1-4	7436128-0-4	3-7062538-4	3-1-3350165	2164784-0-4	2-0-4	2-0-1	3-924625-4	2-0-2177533	9656534-658301-1888283	3-4-2121463	2-0-9524508	9309278-6680135-2	2-7146973-4	4-3-0	2-1278642-1	2042848-1389829-3	8229939-4-4	3-3-7205921	3-658301-2722829	3419974-0-4	2277411-4-4	2-0-487763	7141118-0-5059805	4829772-0-4	3-1-8956802	3-658301-1888283	8853043-1-3	6667603-1-4	2-6138549-3	881168-1-4	3-582012-2	2-5543283-4	8853043-1-1948588	1-4-4	3-4-4	3-7465767-4	4-8631115-0	8853043-1-4059440	8853043-8505589-1948588	2355897-1-3	8853043-1-342520	3-4890955-7901784	1363947-1-4	2-0-8709020	2-7830382-4	1-8774390-4	3-6680135-2	3-6680135-1243043	7981359-1389829-345271	3-0-2	2-0-2576106	6100700-1-3	8718530-0-4	3-658301-4	2-4997399-4	1113919-0-4
assemblage-616-507	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	32	0	0	8	0	0	7	8	0	0	11	0	0	0	0	78	2	33	0	0	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	44	77	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	30
assemblage-532-354	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	13	0	0	33	17	0	0	0	0	0	0	0	0	28	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	43	12	0	0	0	0	0	12	0	0	0	0	0	75	0	5	0	0	0	0	21	0	21
assemblage-363-547	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	31	0	0	45	0	0	0	0	0	4	0	0	0	13	0	0	0	0	84	0	32	0	0	0	0	0	0	0	10	0	0	31	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	45	48	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	35
assemblage-529-629	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	42	0	0	14	52	0	0	0	8	0	0	4	0	0	0	0	0	0	42	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	41	13	0	0	0	0	29	0	0	0	0	0	0	0	6	0	0	17	0	0	0	12	0	0	0	11	0	20	0	0	37
assemblage-707-574	0	0	0	0	129	0	0	0	0	16	0	0	0	0	0	19	0	0	13	34	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	26	19	6	0	0	0	23	0	0	0	0	0	0	0	0	11	0	0	0	0	0	18	0	0	0	0	0	15	0	0	21
assemblage-363-465	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	29	0	0	62	0	0	0	0	0	10	0	0	0	14	0	0	0	0	74	0	30	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	31	81	0	0	0	0	0	3	0	0	0	0	0	90	0	0	0	0	0	0	0	0	30
assemblage-368-631	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	13	0	0	46	45	0	0	0	0	0	0	0	0	0	0	0	0	14	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	12	0	0	0	0	0	5	0	0	0	0	0	0	0	13	0	0	0	0	0	38	0	0	0	0	0	31	0	0	13
assemblage-411-672	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	37	0	0	33	0	0	0	0	0	25	0	0	0	17	0	0	0	0	84	0	9	0	0	19	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	6	17	0	0	0	0	0	0	45	48	0	0	0	0	0	16	0	0	0	0	0	85	0	0	0	0	0	0	10	0	16
assemblage-348-464	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	0	0	29	5	0	0	0	0	17	0	0	0	20	0	0	0	0	108	0	16	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0	42	59	0	0	0	0	0	21	0	0	0	0	0	82	0	0	0	0	0	0	10	0	18
assemblage-698-498	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	16	0	0	49	25	0	0	0	0	0	0	0	0	16	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0	22	12	0	0	0	0	0	8	0	0	0	0	0	92	0	13	0	0	0	0	11	0	29
