Assemblage_Name	7673777-4021856-2	4-2-7401087	1-0-4	8502505-2-3	4320245-0-0	1-0-6561132	2684690-2-4	2565316-4963108-4	0-1-0	3-3887878-3	1-0-5852589	3624827-9580629-0	4-3476299-4	3-2-8319713	4-4-8159207	1-9856059-4	3624827-1-0	0-0-0	4-1148212-4914743	4764921-2-4	1878953-0-4	1-0-132707	4-4-2	4-1148212-4	4-2-4	7673777-4-2	4-4-4360279	3433807-0-4	6198638-0-0	3-2-5050435	3-2-4317779	4-4-3659533	2990727-0-4	4-4-1617159	3-2-3	1-0-3958758	2587085-1148212-4914743
assemblage-615-413	0	0	123	0	29	0	0	0	12	0	0	0	0	0	0	0	43	10	0	0	0	0	127	7	78	0	0	0	0	0	0	0	0	0	57	0	14
assemblage-498-583	0	0	127	0	23	0	0	0	6	0	0	0	0	0	0	0	56	7	0	0	0	0	113	10	60	0	0	0	0	0	0	0	8	0	74	0	16
assemblage-588-576	0	0	127	0	32	0	0	0	7	0	0	0	0	0	0	0	29	4	0	0	0	0	125	7	66	0	0	0	0	0	0	0	6	0	92	0	5
assemblage-353-362	0	0	39	0	0	0	0	0	35	0	4	0	7	0	0	0	37	78	0	0	0	0	84	0	148	0	0	0	0	0	0	0	0	0	45	0	23
assemblage-532-742	0	65	132	0	0	0	0	0	0	0	0	0	0	5	0	0	42	14	0	0	0	0	124	0	11	7	0	0	0	0	0	0	0	0	84	0	16
assemblage-534-591	0	54	155	0	0	0	0	0	0	0	0	0	0	9	0	0	57	34	0	0	0	0	93	0	22	9	0	0	0	0	0	0	0	0	56	0	11
assemblage-333-495	0	0	81	0	12	0	0	0	8	0	0	0	0	0	0	15	51	42	0	0	0	0	40	12	164	0	0	0	0	0	0	0	0	0	58	0	17
assemblage-550-679	0	0	90	0	25	0	13	0	16	0	0	0	0	0	0	0	28	30	19	0	14	0	48	32	92	0	0	0	0	0	6	0	0	0	80	0	7
assemblage-511-353	0	9	182	0	0	0	0	0	0	0	0	0	0	5	0	0	68	15	0	0	0	0	96	0	42	0	0	0	0	0	0	0	0	0	73	0	10
assemblage-540-375	0	0	57	0	0	0	0	0	36	0	0	0	7	0	0	0	45	72	0	2	0	0	80	0	137	0	0	0	0	0	0	0	0	0	44	0	20
assemblage-542-538	0	0	113	0	0	0	0	0	13	0	0	0	7	0	0	0	35	72	0	0	0	0	58	0	138	0	0	0	0	0	0	0	0	0	48	0	16
assemblage-510-526	0	22	201	0	0	0	0	0	0	0	0	0	0	12	0	0	34	20	0	0	0	0	111	6	0	33	0	0	0	0	0	0	0	0	36	0	25
assemblage-461-558	0	0	114	0	11	0	0	0	13	0	0	0	0	0	0	6	43	54	0	0	0	0	30	16	154	0	0	0	0	0	0	0	0	0	56	0	3
assemblage-230-538	0	22	219	0	0	0	0	0	0	0	0	0	0	0	0	0	34	29	0	0	0	0	72	9	0	42	0	0	0	0	0	0	0	0	41	0	32
assemblage-634-469	0	0	78	0	18	0	2	0	21	0	0	0	0	0	0	8	32	26	1	0	10	0	54	47	99	0	0	0	0	0	10	0	0	0	91	0	3
assemblage-464-478	0	0	60	0	35	0	3	0	26	0	0	0	0	0	0	8	40	45	14	0	5	0	49	25	104	0	0	0	0	0	6	0	0	0	79	0	1
assemblage-604-694	0	0	116	0	38	0	0	0	9	0	0	0	0	0	0	0	38	0	0	0	0	0	128	8	65	0	0	0	0	0	0	0	0	0	78	0	20
assemblage-575-668	0	0	130	0	0	0	0	0	9	0	0	0	0	0	0	0	30	81	0	0	0	0	52	0	145	0	0	0	0	0	0	4	0	0	35	0	14
assemblage-513-609	0	0	93	0	14	0	0	0	11	0	0	0	0	0	0	7	41	38	0	0	0	0	36	14	163	0	0	0	0	0	0	0	0	0	64	0	19
assemblage-509-331	0	11	188	0	0	0	0	0	0	0	0	0	0	4	0	0	68	14	0	0	0	0	98	0	39	0	0	0	0	0	0	0	0	0	71	0	7
assemblage-573-436	0	14	181	0	0	0	0	0	0	0	0	0	0	8	0	0	42	19	0	0	0	0	115	6	0	34	0	0	0	0	0	0	0	0	52	0	29
assemblage-535-556	0	0	45	0	0	0	0	0	38	0	4	0	10	0	0	0	46	73	0	0	0	0	75	0	142	0	0	0	0	0	0	0	0	0	53	0	14
assemblage-687-637	0	9	179	0	0	0	0	0	0	0	0	0	0	0	0	0	82	9	0	0	0	0	89	0	50	0	0	0	0	0	0	0	0	0	64	0	18
assemblage-393-549	0	0	72	0	0	0	0	0	47	0	9	0	13	0	0	0	24	62	0	0	0	0	58	0	156	0	0	0	0	0	0	0	0	0	47	0	12
assemblage-433-681	0	0	57	0	0	0	0	0	54	8	0	0	6	0	0	0	34	71	0	0	0	0	66	0	141	0	0	0	0	0	0	0	0	0	47	0	16
assemblage-561-368	0	0	111	0	0	0	0	0	7	0	0	0	0	0	0	0	41	85	0	0	0	0	57	0	138	0	0	0	6	0	0	0	0	0	39	0	16
assemblage-518-554	6	0	185	0	0	0	0	13	0	0	0	0	0	0	0	0	8	28	0	0	0	0	143	5	0	38	0	0	0	4	0	0	0	0	55	0	15
assemblage-467-392	0	12	177	0	0	0	0	0	0	0	0	0	0	5	0	0	63	15	0	0	0	0	104	0	49	0	0	0	0	0	0	0	0	0	65	0	10
assemblage-485-380	0	0	106	0	36	0	0	0	17	0	0	0	0	0	0	0	42	16	0	0	0	0	131	8	67	0	0	0	0	0	0	0	10	0	61	0	6
assemblage-487-465	0	0	80	0	11	0	0	0	11	0	0	0	0	0	0	15	51	46	0	0	0	0	23	12	158	0	0	0	0	0	0	0	0	0	75	0	18
assemblage-485-386	0	0	106	0	0	0	0	0	21	0	0	0	0	0	0	0	48	71	0	0	0	0	42	0	133	0	0	0	4	0	0	0	0	0	51	0	24
assemblage-509-612	0	0	60	0	0	0	0	0	46	0	2	0	3	0	0	0	40	73	0	4	0	0	79	0	153	0	0	0	0	0	0	0	0	0	38	0	2
assemblage-531-470	28	0	124	0	0	0	0	10	0	0	0	0	0	0	14	0	0	48	0	0	0	0	162	0	0	56	0	0	0	0	0	0	0	0	33	0	25
assemblage-562-460	21	0	165	0	0	0	0	18	0	0	0	0	0	0	9	0	0	45	0	0	0	0	149	0	0	51	0	0	0	0	0	0	0	0	32	0	10
assemblage-358-519	0	0	81	0	31	0	4	0	8	0	0	0	0	0	0	0	46	27	7	0	14	0	58	26	88	0	0	0	0	0	0	0	0	0	95	0	15
assemblage-538-547	0	0	78	0	29	0	10	0	17	0	0	0	0	0	0	0	25	46	21	0	13	0	29	31	94	0	0	0	0	0	7	0	0	0	91	0	9
assemblage-544-495	13	0	188	0	0	0	0	10	0	0	0	0	0	0	0	0	3	33	0	0	0	0	136	11	0	35	0	0	0	8	0	0	0	0	48	0	15
assemblage-324-504	0	10	154	0	0	0	0	0	0	0	0	0	0	8	0	0	75	19	0	0	0	0	104	0	60	0	0	0	0	0	0	0	0	0	60	0	10
assemblage-532-375	21	0	147	0	0	0	0	8	0	0	0	0	0	0	12	0	3	66	0	0	0	0	164	0	0	42	0	0	0	0	0	0	0	0	30	0	7
assemblage-702-733	0	0	116	0	19	0	0	0	16	0	0	0	0	0	0	0	49	7	0	0	0	0	135	10	52	0	0	0	0	0	0	0	8	0	72	0	16
assemblage-525-380	0	9	188	0	0	0	0	0	0	0	0	0	0	4	0	0	56	10	0	0	0	0	120	0	46	0	0	0	0	0	0	0	0	0	60	0	7
assemblage-424-443	0	0	105	0	6	0	0	0	12	0	0	0	0	0	0	10	44	53	0	0	0	0	36	12	137	0	0	0	0	0	0	7	0	0	72	0	6
assemblage-620-558	19	0	160	0	0	0	0	7	0	0	0	0	0	0	11	0	0	50	0	0	0	0	174	0	0	39	0	0	0	0	0	0	0	0	20	0	20
assemblage-596-533	0	18	196	0	0	0	0	0	0	0	0	0	0	4	0	0	30	18	0	0	0	0	121	12	0	30	0	0	0	0	0	0	0	0	44	0	27
assemblage-386-549	0	48	172	0	0	0	0	0	0	0	0	0	0	8	0	0	37	25	0	0	0	0	105	0	27	12	0	0	0	0	0	0	0	0	55	0	11
assemblage-341-494	0	0	84	0	26	0	5	0	16	0	0	0	0	0	0	0	26	34	13	0	5	0	50	34	109	0	0	0	0	0	0	0	0	0	82	0	16
assemblage-427-494	0	0	89	0	12	0	0	0	10	0	0	0	0	0	0	11	46	44	0	0	0	0	43	24	145	0	0	0	0	0	0	0	0	0	61	0	15
assemblage-646-432	0	0	70	0	36	0	7	0	13	0	0	0	0	0	0	0	45	42	15	0	12	0	34	26	101	0	0	0	0	0	7	0	0	0	87	0	5
assemblage-572-671	0	0	131	0	19	0	0	0	14	0	0	0	0	0	0	0	48	5	0	0	0	0	132	13	48	0	0	0	0	0	0	0	7	0	67	0	16
assemblage-621-505	0	0	83	0	25	0	5	0	20	0	0	0	0	0	0	0	38	30	18	0	3	0	45	27	109	0	0	0	0	0	0	0	0	0	76	0	21
assemblage-330-531	0	0	85	0	0	0	0	0	14	0	0	0	0	0	0	0	49	79	0	0	0	0	38	0	161	0	0	0	8	0	0	3	0	0	43	0	20
assemblage-527-553	0	12	167	0	0	0	0	0	0	0	0	0	0	6	0	0	65	20	0	0	0	0	103	0	53	0	0	0	0	0	0	0	0	0	67	0	7
assemblage-387-565	0	0	76	0	28	0	7	0	21	0	0	0	0	0	0	0	36	39	18	0	4	0	34	22	110	0	0	0	0	0	5	0	0	0	91	0	9
assemblage-609-260	13	0	175	0	0	0	0	15	0	0	0	0	0	0	0	0	10	33	0	0	0	0	147	11	0	44	0	0	0	0	0	0	0	0	34	0	18
assemblage-500-400	16	0	135	0	0	0	0	9	0	0	0	0	0	0	11	0	0	45	0	0	0	0	173	0	0	44	0	0	0	0	0	0	0	0	42	0	25
assemblage-496-588	0	4	161	0	0	0	0	0	0	0	0	0	0	12	0	0	66	13	0	0	0	0	104	0	49	0	0	0	0	0	0	0	0	0	78	0	13
assemblage-484-666	0	14	207	0	0	0	0	0	0	0	0	0	0	0	0	0	28	24	0	0	0	0	126	6	0	36	0	0	0	0	0	0	0	0	33	0	26
assemblage-462-573	16	0	137	0	0	0	0	9	0	0	0	0	0	0	15	0	0	52	0	0	0	0	185	0	0	46	0	0	0	0	0	0	0	0	23	0	17
assemblage-746-449	0	0	104	0	5	0	0	0	13	0	0	0	0	0	0	11	32	51	0	0	0	0	27	12	149	0	0	0	0	0	0	0	0	0	79	0	17
assemblage-362-460	0	0	96	0	16	0	0	0	15	0	0	0	0	0	0	9	54	34	0	0	0	0	29	10	148	0	0	0	0	0	0	5	0	0	75	0	9
assemblage-424-529	0	13	205	0	0	0	0	9	0	0	0	0	0	5	0	0	30	20	0	0	0	0	123	8	0	30	0	0	0	0	0	0	0	0	39	0	18
assemblage-646-444	0	0	97	0	0	0	0	0	11	0	0	0	0	0	0	0	31	81	0	0	0	0	47	0	157	0	0	0	5	0	0	0	0	0	48	0	23
assemblage-315-462	0	0	82	0	4	0	0	0	14	0	0	0	0	0	0	10	46	36	0	0	0	0	46	24	161	0	0	0	0	0	0	0	0	0	65	0	12
assemblage-442-547	0	0	99	0	0	0	0	0	17	0	0	0	7	0	0	0	44	86	0	0	0	0	60	0	125	0	0	0	0	0	0	0	0	0	49	0	13
assemblage-462-580	25	0	139	0	0	0	0	8	0	0	0	0	0	0	17	0	0	45	0	0	0	0	182	0	0	44	0	0	0	0	0	0	0	0	24	0	16
assemblage-520-613	0	0	88	0	22	0	7	0	20	0	0	0	0	0	0	0	21	41	16	0	12	0	45	25	96	0	0	0	0	0	15	0	0	0	87	0	5
assemblage-447-549	0	0	71	0	0	0	0	0	43	0	0	0	14	0	0	0	43	60	0	0	0	0	85	0	116	0	0	0	0	0	0	0	0	0	51	0	17
assemblage-619-552	0	58	155	0	0	0	0	6	0	0	0	0	0	4	0	0	25	26	0	0	0	0	108	0	15	9	0	0	0	0	0	0	0	0	80	0	14
assemblage-468-520	0	10	185	0	0	0	0	0	0	0	0	0	0	8	0	0	70	20	0	0	0	0	86	0	52	0	0	0	0	0	0	0	0	0	60	0	9
