Assemblage_Name	4596881-0-4	1-4924957-1	4-1290232-2	509099-3-1	4-2101814-766161	1-9555004-1	6668741-1-1177726	1-3-5512019	1-1-0	8810171-8256763-1	3760522-3-1	2534221-3-1	1-8503026-319557	1-8503026-1	8947720-1-3	0-1-3	1-1845331-1	1-2490561-0	9027260-8503026-1	9502432-1-0	4138262-2-5884207	2-0-4	3641890-0-4	9834634-3-1	2-5841824-4	1-4-7519972	3062961-1-766161	4-2-5884207	4-4444700-766161	9324909-1-766161	1-9840125-0	4271432-1-2	1-3-5825611	8810171-3-1	1-3-3641738	1-3-1	4-2-2241329	4-2-4	1340599-1-766161	4-1-4815224	4-5874336-766161	3088406-183624-4	4-1-4	4-1-2	4-1-766161	4-3388538-2	4-1616939-2	1883075-1-2	3088406-0-4	5582050-1-2	1-8503026-6795671	3446547-9555004-1
assemblage-402-661	0	0	0	0	0	0	5	0	18	0	0	0	0	65	0	0	0	0	0	0	0	0	43	0	0	0	0	26	0	0	0	0	0	7	0	187	0	0	0	0	0	0	0	85	42	0	6	0	0	0	0	16
assemblage-490-273	0	0	0	0	0	0	27	0	52	0	0	0	0	19	0	22	0	0	0	0	0	38	0	0	0	29	0	26	0	0	0	0	0	0	0	119	21	0	0	11	0	0	0	57	55	0	0	0	8	0	0	16
assemblage-484-480	0	0	0	0	0	0	4	0	26	12	0	0	22	43	0	0	0	0	0	0	0	0	38	0	0	0	0	23	0	0	0	10	0	12	0	166	0	0	0	0	9	0	0	100	9	0	0	0	0	0	8	18
assemblage-643-624	0	0	0	0	0	0	40	0	35	0	0	0	0	10	0	21	0	0	0	0	0	40	0	0	0	19	0	30	0	0	0	0	0	0	0	118	28	0	0	9	0	0	9	56	49	0	0	0	18	0	0	18
assemblage-517-425	0	0	0	5	0	0	12	0	12	0	0	0	0	61	0	0	0	0	0	0	0	0	36	0	0	0	0	14	0	0	0	0	0	10	0	188	0	0	0	0	0	0	0	84	30	0	9	0	0	0	0	39
assemblage-571-521	0	0	8	0	0	0	0	0	64	0	7	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	176	8	0	0	0	0	0	0	69	55	0	0	0	0	0	0	23
assemblage-575-628	0	0	0	0	0	0	15	0	82	0	0	0	0	24	0	0	0	0	0	0	0	18	0	0	0	0	0	53	0	0	0	0	0	0	0	142	26	0	0	0	0	0	0	62	42	0	0	0	12	0	0	24
assemblage-504-605	0	0	0	0	0	10	6	0	24	14	0	0	22	42	0	0	0	0	0	0	0	0	42	0	0	0	0	23	6	0	0	10	0	4	0	162	0	0	0	0	9	0	0	101	11	0	0	0	0	0	5	9
assemblage-505-604	0	0	0	0	0	0	24	0	71	0	0	0	0	10	0	12	0	0	0	0	0	31	0	0	0	34	0	29	0	0	0	0	0	0	0	118	27	0	0	14	0	0	9	69	39	0	0	0	4	0	0	9
assemblage-593-363	0	0	0	0	0	0	27	0	75	0	0	11	0	0	0	18	0	0	0	0	0	66	0	0	0	7	0	23	0	0	5	0	0	0	0	114	30	0	0	7	0	0	26	46	18	0	0	0	0	0	0	27
assemblage-494-568	0	0	0	0	0	0	0	0	91	0	0	0	0	0	14	33	0	0	0	8	0	49	0	0	0	10	0	29	0	0	0	0	0	0	15	91	7	22	0	15	0	0	24	43	19	0	0	0	0	0	0	30
assemblage-485-592	0	0	0	0	6	0	6	0	42	0	10	0	0	43	0	0	6	0	0	0	0	0	12	5	0	0	0	53	0	0	0	0	0	0	0	215	15	0	0	0	0	0	0	48	30	0	0	0	0	0	0	9
assemblage-401-274	0	0	0	0	0	0	6	0	21	0	7	0	0	56	0	0	6	0	0	0	0	0	5	7	0	0	0	59	0	0	0	0	0	0	0	198	11	0	0	0	0	0	0	56	43	0	0	0	0	0	0	25
assemblage-554-462	0	0	0	0	0	0	7	0	33	0	4	0	0	48	0	0	0	0	0	0	0	0	6	0	0	0	0	66	0	0	0	0	0	0	0	190	4	0	0	0	0	0	0	69	49	0	0	0	0	0	0	24
assemblage-586-332	0	0	0	0	0	0	0	0	81	0	0	0	0	0	17	31	0	0	0	12	0	41	0	0	0	9	0	22	0	0	0	0	0	0	5	98	10	30	0	18	0	0	29	38	34	0	0	2	0	0	0	23
assemblage-459-519	9	0	0	0	0	0	0	0	88	0	0	0	0	0	10	37	0	0	0	13	0	57	0	0	0	9	0	46	0	0	0	0	0	0	6	95	8	18	0	10	0	0	24	27	20	0	0	0	0	0	0	23
assemblage-407-621	0	0	0	0	0	0	4	0	63	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	190	22	0	0	0	0	0	0	76	39	0	0	0	8	0	0	20
assemblage-494-697	0	0	0	0	0	0	10	0	63	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	200	30	0	0	0	0	0	0	55	35	0	0	0	15	0	0	20
assemblage-614-342	0	0	0	0	0	0	0	0	16	8	0	0	16	61	0	0	0	0	0	0	0	0	63	0	0	0	0	19	0	0	0	3	0	7	0	167	0	0	0	0	10	0	0	78	10	0	0	0	0	0	14	28
assemblage-627-533	0	0	0	0	2	0	6	0	36	0	12	0	0	52	0	0	6	0	0	0	0	0	14	0	0	0	0	66	0	0	0	0	0	0	0	199	12	0	0	0	0	0	0	43	28	0	0	0	0	0	0	24
assemblage-559-406	0	0	0	0	0	7	0	0	32	11	0	0	27	50	0	0	0	0	0	0	0	0	50	0	0	0	0	21	0	0	0	8	0	11	0	142	0	0	0	0	16	0	0	85	12	0	0	0	0	0	6	22
assemblage-459-453	0	0	0	0	0	0	14	0	10	0	2	0	0	32	0	0	0	0	0	0	0	0	10	0	0	0	0	37	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	74	64	0	4	0	0	0	0	33
assemblage-360-364	0	0	0	0	0	0	20	0	17	0	6	0	0	42	0	0	0	0	0	0	0	0	16	0	0	0	0	35	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	65	66	0	8	0	0	0	0	24
assemblage-381-517	0	0	0	0	0	0	31	0	57	0	0	0	0	9	0	18	0	0	0	0	0	53	0	0	0	29	0	36	0	0	0	0	0	0	0	108	23	0	0	6	0	0	4	67	38	0	0	0	9	0	0	12
assemblage-469-395	0	0	0	8	0	0	14	0	11	0	0	0	0	60	0	0	0	0	0	0	0	0	27	0	0	0	0	25	0	0	0	0	0	12	0	180	0	0	0	0	0	0	0	79	44	0	11	0	0	5	0	24
assemblage-528-503	0	0	0	0	0	0	19	0	63	0	0	0	0	18	0	0	0	0	0	0	0	8	0	0	0	5	0	45	0	0	0	0	0	0	0	141	30	0	0	0	0	0	0	68	66	0	0	0	12	0	0	25
assemblage-636-465	0	0	0	0	0	0	18	0	47	0	0	0	0	14	0	15	0	0	0	0	0	40	0	0	0	24	0	26	0	0	0	0	0	0	0	136	15	0	0	9	0	0	5	82	51	0	0	0	6	0	0	12
assemblage-541-555	0	0	0	0	0	0	8	0	63	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	188	25	0	0	0	0	0	0	63	29	0	0	0	16	0	0	18
assemblage-541-557	0	0	0	8	0	0	8	0	17	0	0	0	0	61	0	0	0	0	0	0	0	0	31	0	0	0	0	39	0	0	0	0	0	7	0	171	0	0	0	0	0	0	0	88	36	0	8	0	0	0	0	26
assemblage-540-418	0	0	0	0	0	0	12	0	96	0	0	10	0	0	0	26	0	0	0	0	0	62	0	0	0	14	0	29	0	0	3	0	0	0	0	94	22	3	0	12	0	0	23	49	31	0	0	0	0	0	0	14
