Assemblage_Name	5714144-2-2	7782119-2-0	1-2-3078652	2307670-7634212-1	1-2-5048973	4-1612912-0	4-2-6536330	2307670-3-8584371	3-2360391-0	4-5265452-0	1756019-1376715-0	1-6108526-3078652	1-1-2	1-113770-2	9117045-1376715-0	210748-6294759-659272	8800037-1376715-0	0-0-4	0-0-3	210748-1376715-4149471	3-1376715-5873797	2198512-2-0	3-161504-0	0-3-0	2307670-6105147-1	1-2-2	1-2-4	1-8808924-2	0-0-135909	210748-6597144-0	210748-1376715-0	210748-1376715-557274	1-2-2857724	3-1376715-9079443	1-3-1	4-2-0	1-2-3075251	3-4-3	3-5407582-0	344050-2-2	2307670-3985964-1	210748-1376715-659272	1-638731-2	0-3-980271	4-2-8996639	3-0-97815	2307670-3-1	8800037-5049214-0	3-0-0	1-2-518940	7775508-2-2	3-8592064-3	4267967-6105147-1	3-1376715-0	6688287-6105147-1	8768666-3-1	3060250-1376715-0	9730435-0-0	5887318-2-2
assemblage-387-535	0	0	32	0	10	0	0	0	0	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	0	114	7	0	0	0	7	0	0	0	51	74	14	20	0	0	0	0	0	0	0	0	18	0	0	0	0	16	0	94	0	0	0	0	20
assemblage-445-476	0	0	32	0	0	0	0	0	0	0	0	9	0	0	0	0	16	0	0	0	0	0	0	0	0	113	22	0	0	0	17	0	0	0	18	60	0	3	0	0	0	0	0	0	0	0	48	0	0	0	0	13	0	123	0	0	0	0	26
assemblage-494-373	0	0	22	0	0	0	0	0	0	0	0	10	0	0	0	0	45	0	0	0	0	0	0	0	0	135	26	0	0	0	9	0	0	0	18	51	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	15	0	93	0	0	0	0	26
assemblage-603-692	0	0	33	0	0	0	0	0	0	0	0	16	0	0	0	0	29	0	0	0	0	0	0	0	0	119	9	0	0	0	17	0	0	0	21	42	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	16	0	112	0	0	0	0	26
assemblage-467-608	0	0	15	0	0	0	0	0	0	0	0	8	0	10	0	0	21	0	0	0	0	0	0	0	11	111	29	0	0	0	64	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	11	0	105	0	0	0	0	23
assemblage-344-439	0	7	10	0	0	0	0	0	0	0	0	3	0	14	0	0	33	0	0	0	0	0	0	0	3	97	19	0	0	0	67	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	10	0	101	0	0	0	0	26
assemblage-527-553	0	5	26	0	0	0	0	0	0	0	0	5	0	14	0	0	21	0	0	0	0	0	0	0	7	93	27	0	0	0	77	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	13	0	90	0	0	0	0	27
assemblage-627-483	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	22	83	11	0	0	24	62	9	0	0	0	93	0	0	0	0	0	9	0	0	0	0	44	0	0	0	0	15	0	68	0	0	0	0	31
assemblage-557-394	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	111	12	0	0	25	73	23	0	0	0	75	0	0	0	0	0	11	0	0	0	0	25	0	0	0	0	9	0	59	0	0	0	0	37
assemblage-423-730	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	93	20	0	0	27	63	8	7	0	0	92	0	0	0	0	0	6	0	0	0	0	27	0	0	0	0	6	0	76	0	0	0	0	34
assemblage-230-538	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	135	13	0	0	16	85	8	0	0	0	80	0	0	0	0	0	9	0	0	0	0	40	0	0	0	0	0	0	53	0	0	13	0	17
assemblage-512-682	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14	116	7	3	0	31	94	12	0	0	0	68	0	0	0	0	0	8	0	0	0	0	34	0	0	0	0	0	0	39	0	0	22	0	22
assemblage-575-573	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	115	14	7	0	23	93	5	0	0	0	89	0	0	0	0	0	17	0	0	0	0	33	0	0	0	0	0	0	41	0	0	20	0	19
assemblage-459-495	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	156	0	0	0	21	55	0	0	0	0	82	0	0	0	0	0	6	0	0	0	0	58	0	0	0	0	0	0	32	10	0	21	0	30
assemblage-562-454	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	159	0	0	0	20	66	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	50	0	0	5	0	0	0	33	10	0	19	0	40
assemblage-639-638	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	143	0	0	0	18	62	0	0	0	0	93	0	0	0	0	0	4	0	0	0	0	40	0	0	6	0	0	0	29	7	0	23	0	47
assemblage-414-450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	4	0	0	0	0	0	100	0	0	0	0	72	0	0	0	0	91	0	0	0	0	0	0	0	0	10	0	120	0	0	5	3	0	0	15	14	0	0	0	31
assemblage-368-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	7	0	0	5	0	0	86	0	0	0	0	101	0	0	0	0	83	0	0	0	0	0	0	0	0	3	0	118	0	0	6	0	0	0	16	12	0	0	0	24
assemblage-528-259	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	4	0	0	8	0	0	84	0	0	0	0	104	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	101	0	0	8	0	0	0	17	24	0	0	0	25
