Assemblage_Name	1043442-4-1472542	1217247-4-6775379	4-4748766-2100757	162894-4748766-3	3-9068777-2	4-4748766-3	4-4-6775379	3-1-2	4-2175226-3	811218-4379212-2	4-137473-3	4-220099-3	811218-3-390928	4-5006292-3	4-1073686-3	4-3221010-3	1-9073812-3	4-1543776-3	0-0-4	9543974-4-3	6673487-6002430-3	8120452-8596222-3	4-4-395929	811218-3188780-2	3-9041625-3179699	1063807-4748766-3	4-4748766-7411675	5347388-3-8362551	7997158-4-3	754608-4-3	4-8596222-3	3-9041625-5998064	1545235-4748766-3	811218-3-4372617	3-3-2	1949563-4-3	811218-3-8542671	2109182-4-3	3-9041625-2	4-4-8839664	4-3-0	1043442-4-3	624605-4-3	4-4-8726672	3-3-6147646	1-4-4782632	811218-3-2	4-4-9505848	4-4781806-3	9913308-4-3	5529921-4-3	3486646-4-9505848	4-9423680-3	4-4-631641	211564-7002494-2485146	1-4-3	4-4781806-4212826	4-3425119-3	6361050-3-2	7480046-1-2	1-4-6049923	4-4748766-6298675	1549130-4-3	4-1149537-3	0-0-7768438	4-2174075-3	3-7002494-2	1117770-4-3	4-4846243-2100757	1-1600200-3	4914092-4-3	4-4534339-3	4-4-3	1-4-6274785	9253059-4-3	4-4748766-2386001	211564-7002494-2	4-4368552-3	9661428-3-2	4-4557039-3	6165475-4-631641
assemblage-332-527	0	0	0	0	0	62	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	54	0	0	0	0	0	0	0	19	14	0	9	0	0	0	12	0	37	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	139	0	0	0	17	0	0	0	23
assemblage-368-468	0	0	33	0	0	54	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	41	0	27	0	0	13	0	0	0	0	9	6	0	0	0	0	0	116	0	0	0	0	0	0	0	15
assemblage-426-380	0	0	0	0	0	0	24	18	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	17	5	0	0	0	0	5	0	9	0	12	0	0	15	0	28	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	8	0	0	0	43
assemblage-288-459	0	0	0	0	0	43	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	29	0	0	12	0	0	0	0	13	34	0	9	0	0	0	16	0	30	0	0	0	0	0	14	0	0	0	0	12	0	0	0	0	0	179	0	0	0	18	0	0	0	10
assemblage-649-515	0	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	22	0	0	57	0	0	0	0	8	17	0	0	0	0	0	30	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	10	0	0	22	0	0	0	18
assemblage-419-395	0	8	0	0	0	94	58	0	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	16	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	91	0	18	0	0	0	0	0	0	0	0	29	0	0	0	0	0	104	0	0	0	0	0	0	0	23
assemblage-634-495	0	8	7	0	0	64	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	20	0	0	0	14	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	86	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	31
assemblage-440-473	0	0	0	0	0	32	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	33	0	0	13	0	0	0	0	10	24	0	7	0	0	0	7	0	21	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	234	0	0	0	17	0	0	0	15
assemblage-348-555	0	0	18	0	0	106	40	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	9	0	0	20	0	0	0	0	18	0	0	6	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	125	0	0	0	3	0	0	0	37
assemblage-555-586	0	12	8	0	0	83	43	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	19	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	90	0	20	0	0	0	0	0	0	0	0	38	0	0	0	0	0	107	0	0	0	0	0	0	0	23
