Assemblage_Name	8501377-4-4	1-0-0	4-6666364-2	0-4-2	1083166-2-3	6353971-0-2	2-4-7711776	4-3557695-2	4-0-2	3-1-2	9288241-0-2	2-4-7810713	7800318-3-2	5496186-4-3	2-8378216-3	2-4-3	4-0-6895366	4-2-1	7451169-0-2	4-0-6634758	3-4253551-3	1-2-4	8944643-4-3	4-0-945479	3-4-3	4-3-2	3-2-3	4065368-4-3	9475619-0-2	6783646-3-2
assemblage-269-372	0	12	0	15	0	0	0	0	161	0	0	0	0	0	0	130	0	13	0	0	0	0	0	0	39	13	107	0	0	10
assemblage-452-335	0	13	0	0	0	0	0	0	230	15	0	0	0	0	0	73	0	21	0	0	0	0	0	0	0	63	76	0	0	9
assemblage-433-587	0	0	0	0	0	60	0	11	166	92	0	0	0	0	0	14	0	0	6	0	0	0	63	0	0	79	9	0	0	0
assemblage-510-497	0	8	0	0	4	0	0	0	178	56	0	0	0	0	0	16	0	0	0	0	0	0	66	0	0	86	86	0	0	0
assemblage-327-510	0	0	0	26	0	0	0	0	109	19	0	7	0	0	0	91	0	35	0	0	0	0	0	0	38	53	107	0	0	15
assemblage-550-443	0	26	0	0	0	0	0	0	167	25	0	0	0	0	0	118	0	6	0	0	0	0	0	0	0	49	105	0	0	4
assemblage-544-701	0	0	0	0	0	35	0	13	171	83	0	0	0	0	0	14	0	0	0	0	0	0	78	0	0	96	0	0	0	10
assemblage-522-470	0	22	0	1	0	0	0	0	182	13	0	0	0	0	0	103	0	30	0	0	0	0	0	0	32	13	99	0	0	5
assemblage-678-696	0	0	0	0	0	0	0	0	223	56	0	0	0	0	0	29	0	0	0	0	0	0	70	0	0	84	27	0	0	11
assemblage-430-391	0	0	0	0	0	27	0	12	152	88	0	0	0	0	0	16	0	0	0	0	0	0	97	0	0	101	6	0	0	1
assemblage-499-597	0	9	0	0	0	0	0	0	234	30	0	0	0	0	0	51	0	0	0	0	0	0	25	0	0	39	107	0	0	5
assemblage-499-594	0	0	0	0	0	74	0	12	155	75	0	0	0	0	0	16	0	0	9	0	0	0	74	0	0	76	0	0	0	9
assemblage-605-626	0	18	0	0	0	0	0	0	246	23	0	0	0	0	0	69	0	11	0	0	0	0	0	0	0	68	64	0	0	1
assemblage-368-461	0	21	0	0	0	0	0	0	231	9	0	0	0	0	0	75	0	42	0	0	0	0	0	0	19	29	73	0	0	1
assemblage-332-527	0	6	0	0	0	0	0	0	200	51	0	0	0	0	0	39	0	0	0	0	0	0	29	0	0	44	122	0	0	9
assemblage-368-468	0	0	0	0	0	48	0	8	178	77	0	0	0	0	0	17	0	0	9	0	0	0	78	0	0	75	4	0	0	6
assemblage-426-380	0	8	0	13	0	0	0	0	85	18	0	0	0	0	0	104	0	28	0	0	0	0	0	0	64	37	114	0	0	29
assemblage-288-459	0	20	0	0	0	0	0	0	206	15	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	60	116	0	0	10
assemblage-649-515	0	23	0	0	0	0	0	0	215	5	0	0	0	0	0	73	0	25	0	0	0	0	0	0	0	61	95	0	0	3
assemblage-419-395	0	0	0	0	0	0	0	0	198	73	0	0	0	0	0	18	0	0	0	0	0	0	77	0	0	91	40	0	0	3
assemblage-634-495	0	0	0	0	0	26	0	11	174	99	0	0	0	0	0	4	0	0	0	0	0	0	88	0	0	91	0	0	0	7
assemblage-440-473	0	30	0	0	0	0	0	0	200	19	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	48	108	0	0	13
assemblage-348-555	0	11	0	0	8	0	0	0	182	46	0	0	0	0	0	24	0	0	0	0	0	0	61	0	0	100	66	0	0	2
assemblage-555-586	0	0	0	0	0	0	0	0	232	62	0	0	0	0	0	23	0	0	0	0	0	0	72	0	0	64	39	0	0	8
assemblage-599-337	0	0	0	0	0	0	0	0	173	57	0	0	0	0	0	30	0	0	0	0	0	0	80	0	0	80	77	0	0	3
assemblage-605-444	0	32	0	0	0	0	0	0	199	10	0	0	0	0	0	91	0	17	0	0	0	0	0	0	7	38	105	0	0	1
assemblage-535-409	0	0	0	0	0	67	0	5	182	99	0	0	0	0	0	16	0	0	12	0	0	0	55	0	0	60	0	0	0	4
assemblage-520-586	0	0	0	0	0	71	0	10	127	112	0	0	0	0	0	19	0	0	14	0	0	0	79	0	0	61	7	0	0	0
assemblage-425-380	0	11	0	0	0	0	0	0	176	9	0	0	0	0	0	87	0	21	0	0	0	0	0	0	31	22	132	0	0	11
assemblage-415-358	0	27	0	0	0	0	0	0	208	7	0	0	0	0	0	83	0	26	0	0	0	0	0	0	28	39	82	0	0	0
assemblage-438-651	0	16	0	34	0	0	0	0	89	16	0	10	0	0	0	93	0	45	0	0	0	8	0	0	53	38	85	0	0	13
assemblage-564-613	0	10	0	14	0	0	0	0	142	9	0	0	0	0	0	120	0	31	0	0	0	0	0	0	51	14	97	0	0	12
assemblage-606-385	0	30	0	0	0	0	0	0	234	22	0	0	0	0	0	64	0	19	0	0	0	0	0	0	10	40	80	0	0	1
assemblage-528-554	0	0	0	0	0	0	0	0	216	50	0	0	0	0	0	31	0	0	0	0	0	0	67	0	0	93	31	0	0	12
assemblage-407-486	0	3	0	9	0	0	0	0	160	13	0	0	0	0	0	130	0	27	0	0	0	0	0	0	37	10	108	0	0	3
assemblage-540-521	0	21	0	0	0	0	0	0	216	18	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	42	103	0	0	11
assemblage-467-475	0	15	0	0	0	0	0	0	253	9	0	0	0	0	0	89	0	11	0	0	0	0	0	0	0	51	67	0	0	5
assemblage-491-505	0	0	0	0	0	0	0	0	197	62	0	0	0	0	0	25	0	0	0	0	0	0	68	0	0	87	55	0	0	6
assemblage-620-556	0	0	0	0	0	29	0	15	150	83	0	0	0	0	0	3	0	0	0	0	0	0	87	0	0	126	4	0	0	3
