Assemblage_Name	2-6345292-4	3-0-1415202	2-1-5349841	3530954-1-1	580235-3-0	3-2623277-4	3-1-1	3031050-1-3	2-8246421-3	2-4034816-1	2-1-8555	2820048-3-7665263	4-3-4327620	2-8481056-1	2-1-2	2-1-3	2-1-1	4-8100764-0	6587182-3-0	3-2-2	1-1-9139356	1-1-1	2-9716358-1	3-0-9549029	3-2-1	3067872-0-4	2-1-7341837	2-1-8773733	2-1-7693678	4-3-0	4-3-5736744	2-2-2	4-3-9853763	1175756-1-1	2-2-7747954	7733678-0-4	3-7012255-4	474928-8078794-1	2-2853887-1	2-7020053-2	2-4340492-3	2681821-0-9549029	87464-1-1	4-3-1194034	474928-1-1	8884271-3-0	1-4-4	2019335-0-9549029	4-3-5517995	2-1-922797	2-3769745-3	2-167703-3	3601545-3-0	2-1-1655286	4-3-9180618	2866778-1-1	4-3-7665263	4444638-1-1	2-1-4766266	3-0-4	2-1-2944784	4-3-1248306	1-7793523-1	6358459-6345292-4	2984880-3-0	6358459-6345292-5573865	2-1-120722
assemblage-565-418	0	0	0	10	0	0	14	0	0	0	0	0	0	0	125	70	114	0	0	0	0	32	0	0	0	0	0	0	0	32	0	6	0	0	0	0	0	0	0	0	0	0	0	0	46	0	13	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	12
assemblage-441-399	0	0	0	0	0	0	14	0	0	0	0	0	0	0	91	74	110	0	0	0	0	58	0	8	0	0	0	0	0	41	0	5	0	0	0	0	0	0	0	0	0	0	0	0	42	0	13	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	10	0	0	0	15
assemblage-659-658	0	0	0	0	0	0	12	0	0	9	0	0	0	0	126	24	91	0	0	0	0	59	0	0	0	0	0	0	0	60	0	29	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	0	0	12	0	0	0	19
assemblage-328-461	0	0	0	0	0	0	15	0	8	0	0	0	0	0	100	69	104	0	0	0	0	42	0	0	0	0	0	0	0	17	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	15
assemblage-405-561	6	0	0	0	0	0	21	0	0	0	0	0	0	0	60	11	54	0	0	27	0	52	0	0	13	0	0	0	0	65	0	27	0	0	0	0	0	0	0	0	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	85	13	0	0	14	0	0	17
assemblage-392-423	0	0	0	0	0	0	12	0	0	0	0	0	0	0	126	79	100	0	0	0	0	40	0	0	0	0	0	0	0	27	0	8	0	0	0	0	0	0	0	0	0	0	0	0	39	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	0	15
assemblage-662-436	0	0	0	0	0	0	12	0	0	0	0	0	0	0	100	33	77	0	0	13	0	33	0	0	0	0	0	0	0	35	0	35	16	0	0	0	0	0	0	0	0	0	9	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	71	10	0	0	20	0	0	17
assemblage-342-496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	8	172	0	0	0	0	46	0	0	0	0	0	0	0	107	0	35	0	0	0	0	0	0	0	0	0	0	0	0	31	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-496-480	0	0	0	0	0	0	14	0	0	0	0	0	0	0	124	10	108	0	0	0	0	43	0	0	0	0	0	0	0	16	0	28	0	0	0	12	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	55	10	0	0	0	0	0	18
assemblage-577-441	0	0	0	0	0	13	0	0	0	0	0	0	0	0	86	13	97	0	0	0	0	97	0	0	0	0	0	0	0	105	0	25	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	22
assemblage-425-523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	14	92	0	0	0	0	86	0	0	0	0	0	0	0	118	0	22	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-473-507	0	0	0	0	0	0	16	0	0	0	0	0	0	0	108	23	88	0	0	0	0	56	0	0	0	0	0	0	0	29	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	53	13	0	0	0	0	7	13
assemblage-448-485	0	0	0	0	0	0	21	0	0	0	0	0	0	0	101	80	113	0	0	0	0	41	0	0	0	0	0	0	0	32	0	12	0	0	0	0	0	0	0	0	0	0	0	0	38	0	14	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	11	0	0	0	13
assemblage-566-327	0	0	0	0	0	0	13	0	0	0	0	0	0	0	72	28	77	0	0	14	0	31	0	0	9	0	0	0	0	76	0	27	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0	87	5	0	0	16	0	0	9
assemblage-385-572	0	0	0	0	0	0	18	0	0	0	0	0	0	0	90	24	70	0	0	16	0	52	0	0	10	0	0	0	0	49	0	28	0	0	0	0	0	0	0	0	0	0	28	0	0	0	8	0	0	0	0	0	0	0	0	0	13	0	0	58	2	0	0	15	0	0	19
assemblage-450-482	0	0	0	0	0	0	34	0	10	0	0	0	0	0	85	71	119	0	0	0	0	37	0	0	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	0	0	0	0	0	7	0	76	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	7
assemblage-519-486	0	0	0	0	0	0	7	0	0	0	0	0	0	0	111	72	99	0	0	0	0	41	0	0	0	0	0	0	0	45	0	5	0	0	0	0	0	0	0	0	0	0	0	0	42	0	31	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	8	0	0	0	11
assemblage-330-439	0	0	0	0	0	0	3	0	0	7	0	0	0	0	133	31	74	0	0	0	0	65	0	6	0	0	0	0	0	78	0	22	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	23
assemblage-687-461	0	0	0	0	0	0	18	0	0	0	0	0	0	0	125	25	112	0	0	0	0	56	0	0	0	0	0	0	0	14	0	34	0	0	0	15	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	36	9	0	0	0	0	0	13
assemblage-478-510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	12	155	0	0	0	0	38	0	0	0	0	0	0	0	119	0	29	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-410-427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	162	0	0	0	0	18	0	0	0	0	0	0	0	107	0	23	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-372-614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	6	164	0	0	0	0	37	0	0	0	0	0	0	0	108	0	38	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-330-618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	197	0	0	0	0	30	0	0	0	0	0	0	0	90	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-611-453	0	0	0	0	0	0	13	0	0	0	0	0	0	0	103	27	97	0	0	0	0	49	0	0	0	0	0	0	0	28	0	37	4	0	0	11	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	50	15	0	0	0	0	0	19
assemblage-455-462	0	0	0	0	0	5	0	0	0	0	0	0	0	0	83	10	113	0	0	0	0	112	0	0	0	0	0	0	0	82	0	27	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-470-542	0	0	0	0	0	0	11	0	0	0	0	0	0	0	113	67	106	0	0	0	0	37	0	0	0	0	0	0	0	34	0	12	0	0	0	0	0	0	0	0	0	0	0	0	34	0	22	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	10	0	0	0	11
assemblage-494-612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	27	88	0	0	0	0	47	0	0	0	0	0	0	0	70	0	61	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	10	5	0	0	0	0	0	0	0	0	0	0	7	0	0	9	0	0	0	19
assemblage-558-490	0	0	0	0	0	0	0	5	0	10	0	0	0	0	126	35	76	0	0	0	0	67	0	7	0	0	0	0	0	71	0	23	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	0	0	10	0	0	0	14
assemblage-513-431	8	0	0	0	0	0	20	0	0	0	0	0	0	0	92	9	65	0	0	18	0	40	0	0	13	0	0	0	0	70	0	27	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	51	18	0	0	15	0	0	16
assemblage-607-536	7	0	0	0	0	0	17	0	0	0	0	0	0	0	71	24	72	0	0	14	0	39	0	0	7	0	0	0	0	52	0	35	0	0	0	0	0	0	0	0	0	0	36	0	0	0	10	0	0	0	0	0	0	0	0	0	13	0	0	58	0	0	0	23	0	0	22
assemblage-627-483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	26	88	0	0	0	0	108	0	0	0	0	0	0	0	98	0	29	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15
assemblage-339-595	0	0	0	0	3	0	13	0	0	0	0	0	0	0	121	8	80	0	0	7	0	25	0	0	0	0	0	0	0	57	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	67	22	0	0	22	0	0	23
assemblage-326-635	0	0	0	0	0	0	0	0	0	0	9	0	0	0	141	0	196	0	0	0	0	13	0	0	0	0	0	0	0	89	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21
assemblage-417-583	0	0	0	0	0	0	32	0	12	0	0	0	0	0	113	72	93	0	0	0	0	44	0	0	0	0	0	0	0	11	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	6	0	0	10
assemblage-581-624	0	0	0	0	0	0	22	0	0	0	0	0	0	0	104	22	117	0	0	0	0	49	0	0	0	0	0	0	0	26	0	42	0	0	0	15	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	22
assemblage-641-508	0	0	0	0	0	0	22	0	0	0	0	0	0	0	75	17	61	0	0	11	0	35	0	0	0	0	0	0	0	46	0	56	14	0	0	0	0	0	0	0	0	0	4	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	74	8	0	0	38	0	0	24
assemblage-451-444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	190	0	0	0	0	26	0	0	0	0	0	0	0	115	0	23	0	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-598-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	52	107	0	0	0	0	31	0	0	0	0	0	0	0	65	0	35	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	0	0	11	0	0	0	21
assemblage-433-652	0	0	0	0	0	0	16	0	0	0	0	0	0	0	101	18	82	0	0	6	0	24	0	0	0	4	0	0	0	38	0	31	18	0	0	0	0	0	0	0	0	0	11	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	66	12	0	0	31	0	0	17
assemblage-635-480	0	0	0	0	0	0	18	0	0	0	0	0	0	0	92	11	133	0	0	0	0	55	0	0	0	0	0	0	0	22	0	46	0	0	0	13	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	33	12	0	0	4	0	0	17
assemblage-534-385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	9	79	0	0	0	0	100	0	0	0	0	0	0	0	98	0	20	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	33
assemblage-514-397	0	0	0	0	0	0	15	0	0	0	0	0	0	0	95	24	78	0	0	0	0	35	0	0	0	0	0	0	0	36	0	22	16	0	0	0	0	0	0	0	0	0	14	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	76	30	0	0	17	0	4	20
assemblage-491-522	0	0	0	0	0	0	14	0	0	0	0	0	0	0	130	72	88	0	0	0	0	34	0	0	0	0	0	0	0	36	0	10	0	0	0	0	0	0	0	0	0	0	0	0	40	0	23	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	17
assemblage-596-549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	11	151	0	0	0	0	64	0	0	0	0	0	0	0	89	0	36	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-477-268	0	0	0	0	0	0	15	0	0	0	0	0	0	0	102	25	124	0	0	0	0	65	0	0	0	0	0	0	0	28	0	34	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	8	0	0	8
assemblage-294-555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	28	106	0	0	0	0	36	0	0	0	0	0	0	0	77	0	21	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	13	0	0	0	0	0	0	0	0	0	0	5	0	0	16	0	0	0	27
assemblage-422-456	0	0	0	0	0	0	32	0	10	0	0	0	0	0	112	59	106	0	0	0	0	33	0	0	0	0	0	0	0	33	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	11
assemblage-545-414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	28	110	0	0	0	0	34	0	7	0	0	0	0	0	89	0	25	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	0	0	5	0	0	0	20
assemblage-541-414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	34	95	0	11	0	0	35	0	4	0	0	0	0	0	78	0	33	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0	5	0	0	0	17
assemblage-488-656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	39	92	0	0	0	0	48	0	11	0	0	0	0	0	70	0	30	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	13
assemblage-389-410	0	0	0	0	0	0	16	0	0	0	0	0	0	0	105	20	89	0	0	5	0	25	0	0	0	0	0	0	0	32	0	36	15	0	0	0	0	0	0	0	0	0	6	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	69	6	0	0	21	0	2	25
