Assemblage_Name	0-3-5960757	1-5670622-2	4267247-2-2	9331227-1489243-702450	0-3-1914634	1-4-1034851	4-6560864-3	1084405-1-9410831	4-9332730-3	9326259-1-9410831	668899-0-1	4083542-6678262-4	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	6746964-3-4	9331227-0-389080	4083542-331682-4	9331227-1489243-3911688	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	4083542-7220265-4	4953351-3-1	887133-3-1	5626659-1-9410831	1-2-7951770	1-2-6888927	0-3-3596329	2594983-1-9410831	4083542-3-6747246	0-2-1	0-3-8246569	2198857-3-5960757	3718048-3-4	1-1731409-2	4083542-9842609-6747246	1-3-1	2012216-3-4	0-1-1236168	4387694-3-4	9331227-0-9548052	2-0-1	4-1-5112150	9331227-0-7771250	0-6144828-1	9331227-0-6713014	2910737-0-9548052	0-3-4	8782577-9443837-3	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-2-4	2238867-2-2	1-4-2	1-3-50275	0-1-7415835	2-5080591-1	2-0-7673815	1-9183806-2	0-1825020-9410831	4-9443837-3	1940309-2-1	2-117042-1	1-7517211-2	4-1093652-3	2-0-9548052	4123760-5936326-2
assemblage-627-462	0	0	0	0	0	0	0	0	7	0	0	0	0	46	86	0	0	0	0	0	0	10	0	0	0	0	0	0	8	7	0	0	0	12	0	0	0	0	0	8	0	0	0	32	67	0	0	5	0	0	96	0	0	6	0	0	0	69	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-584-383	0	0	0	0	0	0	0	0	8	0	0	0	0	12	3	0	0	0	19	0	58	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	40	0	0	0	0	6	0	138	0	60	0	0	0	0	47	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	25
assemblage-546-364	10	0	0	0	0	0	0	0	36	0	0	0	9	25	29	13	0	0	0	0	0	17	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	8	0	0	0	0	0	130	0	0	14	0	0	0	42	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-499-459	0	0	0	0	0	0	0	0	10	0	0	0	0	30	51	10	0	0	0	0	0	16	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	30	97	0	0	6	0	0	103	0	0	17	9	0	0	47	0	0	18	0	0	0	0	0	0	0	13	0	0	0	0	19
assemblage-458-568	0	0	0	0	0	0	0	0	8	0	0	0	0	65	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	44	86	0	0	0	0	0	94	0	0	10	0	0	0	87	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-551-626	0	0	0	0	0	0	0	0	21	0	0	0	0	28	51	12	0	0	0	0	0	10	0	0	0	0	10	0	0	4	0	0	0	29	0	0	0	0	0	0	0	0	0	50	52	0	0	6	0	0	104	0	0	22	16	0	0	48	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-731-334	10	0	0	0	3	0	0	0	54	0	0	0	0	32	39	15	0	0	0	0	0	11	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	14	0	0	0	0	0	116	0	0	4	0	0	0	63	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-645-438	6	0	0	0	2	4	0	0	37	0	0	0	19	81	32	5	0	0	0	0	12	4	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	147	0	21	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-416-479	0	0	0	0	0	0	0	0	24	0	0	0	0	20	18	0	0	0	8	0	53	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	14	36	0	0	0	0	5	0	129	0	46	0	0	0	0	33	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	24
assemblage-663-438	0	0	0	0	0	0	0	0	12	0	0	0	0	58	20	0	0	0	0	0	55	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	34	0	114	0	67	0	0	16	0	28	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	21
assemblage-511-565	5	0	0	0	0	0	0	0	42	0	0	0	0	31	58	7	0	0	0	0	0	10	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	9	0	0	0	0	0	118	0	1	9	0	0	0	44	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-521-511	0	0	0	0	0	0	9	0	0	0	0	0	0	64	38	0	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	17	0	0	0	32	94	0	0	0	0	0	24	0	0	15	0	0	0	105	0	0	29	0	0	0	0	0	0	0	0	0	0	0	7	22
assemblage-618-649	0	0	0	0	0	0	0	0	6	0	0	0	0	22	24	0	0	0	0	0	30	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	58	0	0	0	0	0	0	154	0	60	0	0	0	11	57	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	17
assemblage-305-539	0	0	0	0	0	0	0	0	13	0	0	0	11	40	22	0	0	0	0	0	12	0	0	0	0	0	35	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	206	0	32	0	0	0	0	40	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	19
assemblage-576-492	6	0	0	0	0	0	0	0	29	0	0	0	0	41	42	0	0	0	0	0	0	12	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	4	0	0	0	0	0	123	0	0	17	0	0	0	63	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-454-498	0	0	0	0	0	0	0	0	5	0	0	0	0	73	50	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	12	0	0	0	0	0	0	0	0	0	50	88	0	0	0	0	0	84	0	0	12	0	0	0	65	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	19
