Assemblage_Name	1-1615357-2	1-2-2195845	5375682-3-1	1-8681830-2	1-3419821-2	1-2355576-4791274	0-0-2331115	1-228925-1	1-7415391-1736334	1-1541717-1	1-7321878-2195845	0-8743518-2	1-7500796-1	1-1931318-2	2-6251191-0	1-5925142-1	719217-1-3	1-2-6362090	0-0-1459936	5340590-2-2	1-4136685-1	5246093-2-1736334	1-1517698-1	5506224-2-1736334	1-2-4317782	1-792831-2	1143033-0-0	1-2-5853622	1-2-4791274	7016068-3-1	1-4357345-2195845	1-2-3946745	1-2-1736334	0-0-2	1-3-1	1-5152289-1736334	1-4548491-1736334	1-475344-2	1-6591642-1736334	1-2-2320894	1-2-6486536	1-2-2428004	2-0-0	1-4284144-2	1-4090196-1736334	0-8311383-2	1-196179-2	1626684-2-2195845	1-2-4376344	1-466423-1736334	1-2-4900993	1-2-2	1-2-1330807	1-2-2595266	8945950-0-2331115	1-8167873-1	3726503-2-2195845	1-2-5935376	1-111670-1	0-3657366-2	1-8562573-1
assemblage-396-413	0	103	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	67	0	20	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	13
assemblage-674-596	0	251	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	23	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	15
assemblage-931-801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	147	0	0	0	0	0	0	0	0	0	0	117	0	11	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	12
assemblage-586-303	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	52	0	0	0	0	0	0	0	0	0	0	130	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	95	0	0	0	0	0	0	0	0	4
assemblage-688-589	0	267	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	18	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	8
assemblage-754-613	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	0	0	0	243	0	13	0	0	0	68	36	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3
assemblage-254-885	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	6	0	0	0	0	0	0	0	66	0	0	0	28	0	0	0	0	186	0	30	0	0	0	0	0	0	12
assemblage-271-278	0	14	15	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	5
assemblage-748-637	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	19	0	0	0	235	0	8	0	0	0	89	36	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7
assemblage-122-945	0	35	9	0	0	0	285	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	20
assemblage-424-664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	12	125	0	0	0	0	0	0	0	0	0	0	134	0	3	0	0	0	82	9	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	15
assemblage-923-806	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	67	0	0	0	31	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	11
assemblage-795-100	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	35	0	0	0	0	0	0	12	0	0	0	157	0	42	0	0	0	51	64	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	32	0	0	0	0	12
assemblage-796-465	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	35	0	0	0	0	0	0	4	0	0	0	205	0	28	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	5
assemblage-825-948	0	207	45	0	0	0	75	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12
assemblage-262-737	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	209	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	13
assemblage-428-665	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	243	0	13	0	0	0	60	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	7
