Assemblage_Name	5242608-2-346685	2-1-9914705	3-5607433-4	3-6342272-4	6983051-2-346685	2-1-5160409	0-2-2770139	6604848-3165350-1	7269-1718058-1	6604848-6080446-1	3-3-4	2835720-2-346685	0-1-1	2-1-8794662	0-7391099-2770139	5242608-2-6883972	6170694-3-4	3-3-388457	2-1-3500705	2-1-3487443	1-2-6718487	3-7285535-4	4735743-3-4	3-3-3443982	3-3-5003517	9432057-7265421-8182022	1-2-6732340	4370446-3-4	0-1-8182022	6604848-3424657-1	1-2-5617961	3-7176568-4	3-3-7781225	3-2406573-4	1-2-346685	5112112-3-4	0-2-4611568	1-9390403-1	4957285-1718058-1	0-7265421-8182022	6604848-2-1	0-8125618-2770139	1-2-1	5766547-2-346685	6983051-2-6909652	5242608-2-2860019	2-1-1	6783213-1-1	1-8436335-346685	3146702-2-346685	6604848-2-7509566	1813519-3-4	7440407-3-4	3-3-8499276	3463917-3-4	3-3-8360729	1-1718058-1	411622-3-4	4148418-2-1	8767615-1-3333364	6738066-1-1
assemblage-379-824	0	0	0	0	54	0	2	0	0	0	176	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	84	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-865-797	0	0	0	0	0	0	70	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	38	0	0	0	42	0	0	0	0	60	0	0	0	0	52	0	0	0	11
assemblage-451-195	0	0	0	0	0	0	60	0	0	0	51	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	88	0	9	0	0	0	208	0	0	0	5	0	0	0	0	0	10	0	0	0	12
assemblage-275-260	0	0	0	0	0	0	13	0	0	0	285	0	37	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	113	0	0	0	0	7	0	0	0	0	0	0	0	0	9
assemblage-261-263	0	0	0	0	0	0	14	0	0	0	277	0	34	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	119	0	0	0	0	12	0	0	0	0	0	0	0	0	16
assemblage-837-802	0	0	0	0	0	0	22	0	4	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	133	0	0	0	31	0	0	0	0	0	0	0	0	0	15	0	0	0	4
assemblage-863-789	0	0	0	0	0	0	0	0	0	0	152	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	5	0	60	0	0	110	0	0	0	41	0	0	0	0	20	0	0	0	0	67	0	0	0	7
assemblage-832-957	0	44	0	0	0	0	44	0	0	0	51	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	77	0	0	0	0	0	0	0	0	0	36	0	0	0	17
assemblage-955-304	0	42	0	0	0	0	33	0	0	0	167	0	61	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	86	0	0	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	54	9
assemblage-527-662	0	0	0	0	0	0	22	0	0	0	175	0	7	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	192	0	0	0	0	24	0	0	0	0	23	6	0	0	5
