Assemblage_Name	9536984-4622135-4	0-2-3777020	1177676-2007174-9815531	5730292-4-9815531	3184588-2-1068579	0-2-2459802	4743515-1-4	9758399-9225423-4	7750624-4622135-933142	0-2-8459644	0-2-6094135	2669499-2-3777020	0-1-1	3171621-4-9815531	9456829-4-9815531	9065096-2-4	9758399-2-4	575979-2-4	0-2002858-1068579	0-4622135-2423516	1177676-5080660-9815531	440597-2-4	8444855-2-1068579	0-3914462-4	1177676-4-6766949	0-8380750-4	4-0-3	1177676-4-4790094	0-5602629-4	1657468-2-3777020	0-2-6708137	0-2-4	0-2-1218207	9361231-5450806-4	3075070-2-1068579	9758399-3510196-4	0-9510112-4	0-4124913-1068579	0-2-1068579	7750624-4622135-4	7256233-3914462-4	0-2-8857300	0-2-7864104	9361231-5197536-4	163598-4-9815531	0-2-5285139	0-8739333-4	0-4622135-4	0-2-1164266	1177676-421000-9815531	6746665-2-1068579	9361231-4622135-4	1177676-9812970-9815531	5525562-2-8857300	1177676-4-9815531	8849823-4-9815531	9758399-2457631-4	6649784-2-3777020	0-4622135-8920872	0-8487023-7864104	691003-2-4	7257295-2-4	3891267-4-9815531	0-2-2330635
assemblage-261-874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	33	0	146	0	0	0	7	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	90	0	95	0	0	0	0	0	0	20
assemblage-172-503	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	7	0	0	0	0	0	66	0	0	0	0	0	0	255	0	0	0	12	0	0	0	0	4
assemblage-461-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	205	0	0	9	70	0	0	0	0	34	0	0	0	26	0	0	112	0	0	0	0	0	0	0	0	18
assemblage-801-129	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	7	0	0	0	0	153	0	0	0	0	0	0	192	0	0	0	7	0	0	0	0	6
assemblage-914-787	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	90	0	0	0	9	0	0	0	0	106	0	12	0	0	0	0	154	0	0	0	24	0	0	0	0	3
assemblage-824-965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	11
assemblage-277-258	0	0	0	0	0	0	0	0	0	0	0	0	33	0	20	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	115	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	278	0	0	0	0	0	0	0	0	7
assemblage-994-710	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	96	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	76	0	0	0	0	0	0	164	0	0	0	0	0	0	0	34	13
assemblage-730-265	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	18	0	0	0	0	294	29	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	8
assemblage-990-744	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	31	0	91	0	0	0	0	0	0	44	0	0	7	108	0	0	0	0	0	0	0	0	0	0	0	110	0	50	0	0	0	0	0	0	11
assemblage-375-188	0	29	0	0	0	0	0	5	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	37	0	0	0	18	274	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	25
assemblage-893-167	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	14	217	0	0	0	55	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	7
