Assemblage_Name	2456566-5955090-1	0-2199178-8421961	7526818-2-0	8181842-1706024-5824497	4-2-620176	5064280-1498226-3	0-1286165-8421961	4-403061-0	0-0-9919751	1342691-1498226-3	8181842-1706024-2	9038449-0-1	4-2-552761	1359894-2-9933979	4-7253679-0	4-2-5375577	8181842-0-7297976	0-1-0	8181842-0-2	786923-0-2	5578377-0-2	4648033-0-1	1682838-2-9933979	4533354-0-1	8181842-0-1001118	8181842-2670002-2	2175350-2-0	0-0-1	3-1498226-3	4-2-7968712	8181842-9292811-2	110398-0-2	8181842-1634516-2	4483312-2-0	8181842-6606993-2	8181842-66355-2	8815130-2-9933979	0-0-7698699	4652388-0-1	8181842-972582-2	2698608-0-2	3-7829763-3	7034503-2-0	3857638-972582-2	4-2-0	8181842-0-2304639	4-8384817-0	8181842-0-4826992	8181842-6884333-2	5382265-2-0	4-2-9933979	9186909-2-0	6213936-0-2	2456566-5547716-1	8181842-0-2003347	2456566-5286380-1	4-2-6073974	2456566-0-1	2670613-0-2	8181842-0-7950703	0-6235857-1	2771501-2-0
assemblage-427-192	0	19	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	4
assemblage-227-401	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	135	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	19
assemblage-1008-722	0	22	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	2
assemblage-667-575	0	11	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	142	0	0	0	0	0	0	23	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	128	0	0	20	0	52	0	0	0	0	0	0	0	23	0	0	0	4
assemblage-917-785	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-276-265	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	18
assemblage-787-755	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	4
assemblage-261-874	0	41	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	8
assemblage-172-503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-461-365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	68	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	2
assemblage-801-129	0	55	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	148	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	3
assemblage-914-787	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0
assemblage-824-965	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	107	331	0	0	0	0	0	0	0	0	19	3	0	23	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-277-258	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	6	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	10
assemblage-994-710	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6
assemblage-730-265	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	8	143	0	0	0	0	0	0	0	0	79	10	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	15
assemblage-990-744	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	29	0	0	0	0	0	20	0	0	0	0	0	30	0	0	0	0	163	0	18	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3
assemblage-375-188	0	0	0	0	0	0	0	0	4	0	34	4	0	0	0	0	5	0	132	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	130	0	0	0	0	0	0	0	0	0	0	6	0	40	0	0	0	7
assemblage-893-167	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	131	0	0	0	0	11	0	0	0	0	0	0	0	221	0	0	0	10
assemblage-779-409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	124	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-389-408	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	169	0	0	0	0	5	0	0	0	0	0	0	0	38	0	0	0	17
assemblage-961-281	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	18
assemblage-521-677	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	8
assemblage-701-261	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	85	32	0	0	0	0	0	0	0	0	205	5	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	5
assemblage-513-707	0	12	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	2
assemblage-755-622	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	4
assemblage-835-941	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	104	340	0	0	0	0	0	0	0	0	13	0	0	24	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-751-631	0	130	0	0	0	0	14	0	0	0	0	0	30	0	0	0	0	0	54	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5
assemblage-443-195	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	10	0	0	0	60	0	0	0	16	253	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-496-703	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	9	0	0	0	46	0	0	0	22	260	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5
assemblage-391-432	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	147	0	0	0	0	11	0	0	0	0	0	0	0	55	0	0	0	12
assemblage-379-174	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	9	0	0	0	0	0	0	0	22	0	0	0	6
assemblage-113-959	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	188	185	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-534-685	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	16	164	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	12
assemblage-432-775	0	23	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	2
