Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-797-476	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-503-522	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	6	40	108	0	168	0	59	0	0	0	0	0	0	0	0	0	16
assemblage-429-117	0	0	0	39	0	0	0	162	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	27	197	0	7	0	19	0	0	0	0	0	0	0	0	0	2
assemblage-794-418	0	0	0	11	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	16	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-511-700	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	10	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-396-413	0	0	0	0	0	0	0	160	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	80	75	0	11	0	41	0	0	0	0	0	0	0	0	0	7
assemblage-674-596	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	239	0	12	0	62	0	6	0	0	0	0	0	0	0	8
assemblage-931-801	0	0	0	56	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-586-303	0	0	0	23	0	0	0	198	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-688-589	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	233	0	2	0	54	0	0	0	0	0	0	0	0	0	12
