Assemblage_Name	2540560-4814752-3	933081-3-3	0-9547491-3	0-8879179-3	5623095-2401560-1	1-0-1	2540560-4-3002545	1-8357485-1	2248540-1880300-6039248	2540560-3576381-3	1-4838167-1	5778514-3-3	1-4956153-8980997	6577152-2401560-1	1-0-800915	1-330658-1	1-1483997-1	0-4717041-3	3-6487678-1	1-0-8366731	0-3-7994461	1-0-6498073	0-3-412845	0-3-6989303	2540560-293339-3	4655852-6487678-1	2248540-4-3	1-6087316-8820487	2248540-4841424-4505800	2540560-4-7396046	2540560-6654925-4353216	5199768-3-3	2540560-4-9322614	2540560-4-4353216	2248540-4-6039248	1-2401560-1	1-0-987253	2540560-4-3	5027532-3-3	6378827-2401560-1	2-4-3	0-9674936-3	1789283-0-1	5450215-4-4681575	1-2513056-1	0-3-3	3-226261-1	1-0-90267	4322539-2401560-1	1-0-7685890	0-1464753-3	2540560-4-4681575	1-0-8980997	1-2401560-8820487	2540560-4-3712416	0-3-1676544	1-2401560-8898693	1-0-2630181	2540560-9125419-4353216	2540560-4-4105247	4412928-4-4353216	5039497-3-3	2248540-4-4505800	0-5971695-3	2540560-4-9515975	6792121-0-1	2813509-0-1	2248540-7190315-3
assemblage-264-747	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	55	0	155	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-797-749	0	0	0	0	0	103	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	218	0	63	0	89	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-716-247	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	101	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10
assemblage-97-538	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	86	0	142	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	5
assemblage-140-383	0	0	47	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	97	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-684-671	0	0	0	0	0	82	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	209	0	67	0	106	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-262-911	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	37	0	0	41	0	86	0	0	0	0	0	0	15	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-437-101	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	69	0	73	0	71	0	0	0	0	0	0	11	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-802-123	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	146	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-592-295	0	0	0	49	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	76	0	23	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-420-685	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	152	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-950-291	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	34	0	0	30	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	14
assemblage-867-301	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	40	0	70	0	102	0	0	0	0	0	0	24	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-243-260	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	166	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-667-580	0	0	7	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	9	0	74	0	107	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	6
assemblage-797-476	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	84	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	19
assemblage-503-522	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	0	169	0	0	0	0	0	0	0	0	30	0	70	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-429-117	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	45	0	5	0	145	0	0	0	0	0	0	4	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1
assemblage-794-418	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	46	0	258	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-511-700	0	0	0	0	0	197	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	7	82	0	30	0	132	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-396-413	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	57	0	73	0	77	0	0	0	0	0	0	27	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-674-596	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	38	0	36	0	0	0	0	15	0	14	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-931-801	0	0	0	0	0	102	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	43	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-586-303	0	0	0	0	0	101	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	98	0	49	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	81	0	0	0	0	27	0	0	0	0	0	0	0	0	4
assemblage-688-589	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	18	0	49	0	0	0	0	5	0	21	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-754-613	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	14	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-254-885	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	27	0	0	37	0	110	0	0	0	0	0	0	8	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-271-278	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-748-637	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	28	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	15
