Assemblage 	OriginTime	Duration
assemblage-635-480	4800	900
assemblage-394-542	8400	900
assemblage-506-441	6600	900
assemblage-486-416	9300	900
assemblage-579-563	10200	900
assemblage-348-489	3900	900
assemblage-599-491	11100	900
assemblage-504-681	8400	900
assemblage-407-612	6600	900
assemblage-678-481	7500	900
assemblage-422-506	5700	900
assemblage-512-682	9300	900
assemblage-649-294	4800	900
assemblage-384-343	10200	900
assemblage-398-566	3000	900
assemblage-554-618	5700	900
assemblage-724-494	9300	900
assemblage-483-393	4800	900
assemblage-553-606	9300	900
assemblage-457-385	10200	900
assemblage-311-407	10200	900
assemblage-515-436	11100	900
assemblage-401-599	3000	900
assemblage-417-425	5700	900
assemblage-401-452	10200	900
assemblage-505-312	7500	900
assemblage-497-532	4800	900
assemblage-364-572	6600	900
assemblage-574-440	3000	900
assemblage-419-395	9300	900
assemblage-459-431	10200	900
assemblage-627-615	11100	900
assemblage-617-425	10200	900
assemblage-616-477	7500	900
assemblage-603-692	6600	900
assemblage-363-511	3900	900
assemblage-309-501	5700	900
assemblage-391-539	3000	900
assemblage-540-571	10200	900
assemblage-444-629	4800	900
assemblage-334-574	9300	900
assemblage-434-460	7500	900
assemblage-614-636	6600	900
assemblage-474-606	3000	900
assemblage-340-370	3000	900
assemblage-490-423	4800	900
assemblage-645-408	3000	900
assemblage-340-403	5700	900
assemblage-569-452	10200	900
assemblage-610-516	11100	900
assemblage-522-470	3900	900
assemblage-493-366	6600	900
assemblage-546-587	8400	900
assemblage-432-660	8400	900
assemblage-413-510	6600	900
assemblage-497-346	3900	900
assemblage-460-451	4800	900
assemblage-557-617	3000	900
assemblage-520-525	8400	900
assemblage-415-593	10200	900
assemblage-665-426	3900	900
assemblage-500-422	6600	900
assemblage-477-558	9300	900
assemblage-595-551	9300	900
assemblage-493-401	5700	900
assemblage-489-421	7500	900
assemblage-340-463	9300	900
assemblage-496-480	4800	900
assemblage-567-372	9300	900
assemblage-382-390	3900	900
assemblage-540-587	3000	900
assemblage-336-342	9300	900
assemblage-473-364	6600	900
assemblage-468-356	5700	900
assemblage-387-535	5700	900
assemblage-489-379	4800	900
assemblage-536-322	9300	900
assemblage-464-417	5700	900
assemblage-442-394	3000	900
assemblage-388-516	7500	900
assemblage-470-468	5700	900
assemblage-478-474	3900	900
assemblage-550-455	11100	900
assemblage-613-404	7500	900
assemblage-599-524	11100	900
