Assemblage_Name	6252097-1407121-1573052	9600212-2-4	4-1961173-4	1-2-7688203	2-3-2	4-1-3457240	3733936-1-4	4-1-4	6252097-1407121-4	4-1-9555067	378468-1-4	4-7284994-4	2-5403467-2	6252097-1007152-4	2-3-7142172	6252097-1-4	554195-3434522-4	4-6315159-4	2-0-1	6252097-1-2464425	947304-3-2	4-4-4	3984903-1-4	1764543-3-1418905	2-3-2958633	2-3-5350978	8671790-1-4	1756390-1-4	7761088-3-2	1-2-0	1-4-0	2-3-237319	554195-1-4	6252097-1-4077556	9011545-1-4	1451366-1-4	6252097-1-2683065	1764543-3-2	6252097-911347-4
assemblage-432-143	0	0	0	0	170	0	0	253	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	47	0	0	0	10	0	0	0	0	0	0	0	0	3
assemblage-907-307	0	0	0	0	283	0	0	75	0	0	0	0	0	0	0	22	0	0	21	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	11
assemblage-429-781	0	0	0	0	106	0	0	242	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	50	0	0	7
assemblage-515-704	0	0	0	0	128	0	0	254	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	21	56	0	0	0	0	0	23	0	0	8
assemblage-526-705	0	0	0	0	132	0	0	149	0	0	0	0	0	0	0	61	0	0	30	0	0	0	0	0	0	19	0	0	6	94	0	0	0	0	0	0	0	0	9
assemblage-961-281	0	0	0	0	24	0	0	67	0	0	0	0	0	0	0	127	0	0	8	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	15	0	0	2
assemblage-962-300	0	0	0	0	16	0	0	390	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	7	0	0	9
assemblage-959-273	0	0	0	0	49	0	0	145	0	0	0	0	0	0	0	143	0	0	0	0	20	0	0	0	0	0	0	0	0	61	0	0	0	0	0	82	0	0	0
assemblage-236-225	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	3	0	0	7
assemblage-598-280	0	0	0	0	2	0	0	159	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	15	0	0	3
