Assemblage_Name	9163342-5050892-614504	7303763-971723-6767077	8543765-1809413-0	0-8390775-1	2-3321217-0	3924522-2842059-0	2-2842059-238655	4-595639-2	7303763-8390775-9883848	8633924-6972354-9769900	1-3518495-5980281	0-8390775-6767077	0-5116726-6767077	0-4410606-6767077	8543765-5514000-0	1345572-2842059-0	4-6972354-8598200	1929919-6044107-7367696	1073177-5050892-4	2-2842059-1476345	9163342-5550346-4	2-7576358-6352814	2-2842059-5589108	3-5944614-4	3280009-2842059-0	8757998-2842059-0	1-3518495-102167	2-2842059-919729	1956050-6106056-2229619	3-7285706-4	5890681-8390775-6767077	2-92162-3964365	0-4097134-6767077	4-6972354-2	2-7576358-0	4-2238844-2	2-6943378-0	2-2842059-1015234	8607894-6972354-2	2-5085858-0	2-92162-0	310410-3518495-1	60489-5944614-4	0-8390775-7525566	3-229739-4	0-8390775-8450436	6732580-2842059-0	2-2842059-3109187	4719923-6044107-5980281	4-4276950-2	2335184-2842059-0	3864285-2842059-0	2-882874-0	2-192595-0	1-6044107-5980281	3-5944614-743764	121912-8390775-6767077	548602-7576358-0	2-2842059-0	8723004-2842059-0	0-6106056-7803777	6934034-2006713-2	2-1149573-0	1699747-2842059-0	5326084-92162-0	9163342-7285706-4	1-1144646-5980281	7420338-4276950-2	0-8390775-5734528	3864285-2842059-8349761	9869380-7576358-1317836	9357691-7576358-0	9163342-5050892-699314	9949188-8390775-1	6356411-2842059-460830	1-8131996-1	1-3518495-1	3984825-7576358-0	2-7653181-0	2-1132081-0	2-7576358-8522458	3052444-4-6299598	7303763-8390775-6767077	0-2354887-6767077	3744258-2842059-0	1929919-6044107-5980281	4-4276950-1422769	5111640-3518495-1	3-4-4	8543765-3505617-0	2-3505617-0	3387600-2842059-0	7890535-8390775-6767077	0-8127879-7803777	9163342-5050892-4	4-4276950-6603259	4620042-2842059-0	2-5348138-0	0-8390775-9347279	2-9996716-0	2-3135919-0	7530311-5050892-4	0-4158977-6767077	9163342-5050892-2842657	1-6044107-9201509	0-8892964-5777247	8954343-8390775-6767077	3052444-4-4	1698870-4276950-2	9762535-5050892-4	2-92162-9164213	0-6106056-5777247	2-8422366-0	0-6106056-2229619	1-6044107-5500191	3-7983346-4	1-7217109-5980281	2-2842059-8552341	2-7034289-0	2-2842059-460830	7637082-6044107-5500191	4-2006713-2	6685234-2842059-0
assemblage-397-865	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	16	0	0	0	135	0	0	0	0	0	0	0	0	0	49	0	0	0	6	0	0	0	0	0	0	23	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-227-401	0	0	0	0	0	0	12	0	0	0	16	156	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-420-124	0	0	0	0	0	0	0	0	0	0	0	136	47	0	0	0	0	0	0	20	0	0	0	30	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	9	0	0	30	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-237-898	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	18	37	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-423-115	0	0	0	0	0	0	0	0	0	0	0	128	35	8	0	0	0	0	0	16	0	0	0	47	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	6	0	0	15	0	0	0	5	0	0	23	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-502-692	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	56	0	0	0	0	0	0	0	0	47	0	20	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	18
assemblage-438-205	0	0	0	0	0	0	0	0	0	0	0	106	9	0	0	0	0	36	0	0	16	0	0	22	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-990-744	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	47	0	0	0	0	0	0	0	0	36	0	24	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	6	0	0	0	36
assemblage-794-401	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	12	0	72	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	13
assemblage-963-273	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	0	41	0	0	0	4	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	57	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	12
