Assemblage_Name	1109327-1-2	2-0-9359138	2-0-8489228	1-0-1	0-3-223319	2-5132053-2	2-0-7274244	2-3-3	3-3-0	2-0-8847223	2-5936440-2	5945773-3-1	0-9500981-2	3-3-9377527	2553919-1-2	2556599-0-2	2-2493153-2	3-1-2	5852703-0-2	2-5494854-2	0-0-2	2-5132053-5121109	2-8305703-2	9660628-0-2	2-0-2	2-6196885-2	2-3051991-2	0-3-1	2-4730833-9359138	3-3-9355149	2-3880459-2	7188707-0-2	8275834-5936440-2
assemblage-894-551	0	0	0	110	0	0	0	206	89	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-185-590	0	42	0	0	0	24	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	8
assemblage-708-462	0	39	0	0	0	31	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	4
assemblage-371-811	0	20	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	9	0	0	9	0	427	0	0	0	0	0	0	0	4
assemblage-960-692	0	0	0	0	0	0	0	0	86	0	0	0	0	5	0	0	0	121	0	0	0	0	0	0	230	0	0	0	0	51	0	0	7
assemblage-619-655	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	120	0	0	0	0	0	0	246	0	0	0	0	39	0	0	7
assemblage-884-412	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	88	0	0	0	0	0	0	273	0	0	0	0	46	0	0	1
assemblage-934-1004	0	0	0	0	5	0	0	1	19	0	0	0	0	71	0	0	0	104	0	0	0	0	0	0	279	0	0	16	0	0	0	0	5
assemblage-713-915	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	16	0	0	0	0	0	374	0	0	0	0	0	0	0	7
assemblage-820-982	0	0	0	0	0	0	0	0	36	0	0	0	0	21	0	0	0	44	16	0	0	0	0	17	361	0	0	0	0	0	0	0	5
assemblage-980-351	0	128	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	16	337	5	0	0	0	0	0	0	2
assemblage-457-134	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	132	0	0	0	0	0	0	199	0	0	32	0	25	0	0	1
assemblage-341-212	0	73	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	30	9	0	0	0	0	0	363	0	0	0	0	0	0	0	14
