Assemblage_Name	2-8682202-5845182	9096289-4-0	2-4-8707812	2-4-44565	2-4638367-5845182	8474982-7057101-3	6263198-7057101-3	2-4-8844615	2-9397540-5845182	5647129-0-2	6759333-0-2	4-3-4323348	2-531440-0	3129457-531440-0	4-3235846-3	2-4-183273	2-6402706-0	9669638-4-0	1-3-5522894	2-4-4865915	0-2-2	0-2-4	2-5425343-0	4-0-4219753	4-9596784-3	3806857-3-3	3806857-2531605-3	4-0-2	6692734-4-0	2-4-5845182	6007263-0-2	1-3-2	2-4-4759318	4-7057101-7880450	2-531440-8523139	2-4-0	1-3-2529431	4-7057101-6734170	5123231-4-0	2-3202530-0	7145755-0-2	2-551412-0	2-8486574-0	1847468-4-0	9476439-4-0	3806857-3-1838035	8960740-3-3	2-4-2969536	2-1435727-0	4-3-3	4-7057101-3	4-6383479-3	2-531440-9897555	2-4-8433573	1-3-6923708	8591906-0-2
assemblage-646-853	0	0	0	26	0	0	0	0	0	0	0	0	15	37	0	0	43	0	0	0	0	0	5	0	0	47	0	73	0	0	0	0	0	0	0	213	13	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	13
assemblage-280-126	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	6	7	0	90	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	5
assemblage-925-992	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	31	0	0	0	0	0	0	0	8	25	0	57	0	0	0	5	0	0	0	296	17	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	14
assemblage-196-186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-941-247	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	25	0	0	0	0	0	0	0	0	77	0	104	0	0	0	0	0	0	0	175	25	0	0	0	0	31	0	0	0	0	0	0	0	0	6	0	0	0	0	6
assemblage-882-392	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	37	0	0	0	0	0	0	0	0	92	0	76	0	0	0	0	0	0	0	190	21	0	0	0	0	17	0	0	0	0	0	0	0	0	13	0	0	0	0	5
assemblage-623-454	0	0	0	0	0	0	35	12	0	0	0	0	0	0	13	0	0	0	0	0	0	9	0	0	0	0	0	84	0	0	0	31	0	0	0	131	31	0	0	0	0	0	0	0	0	0	0	0	0	50	88	0	0	0	0	16
assemblage-621-440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	86	0	0	0	44	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	25	53	0	0	0	0	12
assemblage-898-394	0	0	0	0	0	0	0	0	0	0	28	0	16	0	0	0	70	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	281	0	0	0	0	18	0	0	0	0	0	0	0	0	0	11	0	0	0	0	17
assemblage-720-910	0	0	0	0	0	0	0	0	0	20	0	0	157	9	0	0	0	0	0	0	0	0	0	0	0	53	0	20	0	7	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
