Assemblage_Name	4190785-3-3	4-6128896-1	7046310-6128896-1	1-2-8014973	3-3-0	3732756-3-3	1-2-1070760	4-1623457-9463376	8092783-2-2	5099164-3-3	2-2-2	3-3-9975612	5099164-3-4585574	6644800-2-4	1-3200419-4	5099164-6027271-3	9120205-358908-2	2-358908-2	5462354-3-3	3-3-5088491	2-6089979-2	5099164-3-2804441	469667-3-3	779463-2-2	2-124689-2	5992486-358908-2	4-6128896-6760771	4-8496054-1	1-7261277-8014973	1-2-4	798089-6128896-9463376	4-3-3	4-6128896-9463376	2-9000280-2
assemblage-280-126	0	76	0	0	15	0	0	0	0	122	85	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	52	5	0	37	0
assemblage-925-992	0	29	0	7	117	0	0	7	0	9	10	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	93	23	0	106	10
assemblage-196-186	0	352	9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	102	8
assemblage-941-247	0	0	0	7	33	0	0	0	0	310	12	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	38	9	0	0	7
assemblage-882-392	0	0	0	4	34	0	0	0	0	307	8	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	48	7	0	0	8
assemblage-623-454	0	94	0	0	84	0	0	0	7	37	54	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0	0	29	60	27	90	0
assemblage-621-440	0	199	0	0	0	0	0	0	0	58	60	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	94	0	2	0	18
assemblage-898-394	0	0	0	116	30	0	0	0	0	93	34	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	8	133	0	11	5
assemblage-720-910	0	0	0	94	106	0	0	0	0	230	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	9	7
assemblage-237-258	0	0	0	0	60	0	16	0	0	249	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	103	0	1
