Assemblage_Name	4719486-2-4	1687261-0-1002990	1-0-0	4516298-6332063-0	4-2-2396106	4-2-2241289	4099312-0-1002990	6984742-0-1002990	3-4-4	4875057-2-4	3312714-0-0	6866445-4-4	8771985-0-1002990	3-4-8471988	1-0-806143	1-5944926-0	0-1-2052427	4516298-4-0	7961240-4-0	0-6559865-6409054	1-0-7474530	4516298-4-152506	1-0-9139664	1-916113-1002990	1-5491576-0	0-1-6409054	4-2-4	0-1-5751737	4246693-4-0	1-0-8097017	1-0-1002990	4516298-6119732-0	765562-2-4	4516298-3826494-0	4516298-4-5345766	8771985-0-301016	0-1-4474401	1-8968032-0	3271942-0-1002990
assemblage-907-527	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	6
assemblage-358-786	0	0	12	0	0	0	0	8	0	0	0	0	147	0	0	0	0	86	0	0	0	0	0	0	0	30	187	0	0	0	25	0	0	0	0	0	0	0	5
assemblage-742-872	0	0	85	0	0	0	0	0	130	0	0	0	0	0	0	0	0	132	0	0	0	13	0	0	0	114	0	0	0	0	14	0	0	0	0	0	0	0	12
assemblage-627-458	0	0	128	0	0	0	0	0	55	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	71	33	0	0	0	110	0	0	0	0	0	0	0	0
assemblage-545-737	0	0	44	55	0	9	0	0	11	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	115	119	0	0	0	97	0	0	0	0	0	0	0	3
assemblage-606-238	0	0	98	0	0	0	0	0	0	0	0	0	69	0	0	0	0	261	0	0	17	0	0	0	0	40	0	0	0	0	14	0	0	0	0	0	0	0	1
assemblage-195-187	0	0	0	0	6	0	0	0	104	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	221	0	18	0	0	0	0	0	0	0	0	0	2
assemblage-171-608	0	0	109	0	0	0	6	0	0	0	0	0	78	0	0	0	0	92	0	0	0	0	0	0	0	87	5	0	0	0	108	0	0	0	0	0	0	0	15
assemblage-466-351	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	72	0	0	0	0	146	0	0	0	0	0	0	0	3
assemblage-687-910	0	0	77	9	0	0	0	0	0	0	0	0	109	0	0	0	0	102	0	0	0	0	0	0	0	0	108	0	0	1	92	0	0	0	0	0	0	0	2
assemblage-209-176	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	253	0	25	0	0	0	0	0	0	0	0	0	6
assemblage-281-541	7	0	235	0	0	0	0	0	0	0	0	0	8	0	0	0	0	104	0	0	0	0	0	0	0	9	92	0	0	0	38	0	0	0	0	0	0	0	7
assemblage-762-878	0	0	40	0	0	0	0	0	139	0	4	0	0	0	0	0	0	45	0	0	0	0	0	0	0	188	78	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-181-190	0	0	82	0	0	0	0	0	125	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	97	0	0	0	0	22	0	0	0	0	0	0	0	13
