Assemblage_Name	73806-6906063-2	1-1-0	2-3-0	6225637-0-2	0-1467663-4	649957-0-804660	2-0-2434153	2-7797935-804660	1-1-7840896	3834365-2-2	7613751-0-2	1-792687-0	7224956-1-0	2-1235153-2	2-0-804660	0-3531756-4	4-8599001-2	2-0-7398713	73806-0-2	1-1-8001160	1-2804459-0	2-0-2	1042246-0-804660	4-2-2	2-7674167-804660	0-3-4	0-4012959-4	2-0-5877470	2-0-8131438	2-3952057-804660	2-3465788-2	8753117-2-2	1132286-3-4	2-1732063-2	8753117-989169-2	4539821-6906063-2
assemblage-499-512	0	137	170	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	72	0	0	4
assemblage-230-157	0	70	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	91	0	0	0	3
assemblage-891-274	0	152	10	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	73	0	0	79	0	0	0	0	0	10	0	0	0	0	0	0	0	8
assemblage-371-808	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	202	0	0	0	0	0	0	0	0	0	0	0	69	0	9
assemblage-916-1002	0	107	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	96	0	29	0	8	17	0	0	0	0	0	110	0	0	12
assemblage-575-740	0	54	61	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	4	33	0	0	6
assemblage-799-965	0	139	7	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	65	0	0	90	0	0	0	0	0	11	0	0	0	0	0	0	0	4
assemblage-599-246	0	65	63	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	131	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-398-355	0	43	29	0	0	0	0	0	0	0	0	30	0	0	65	0	0	0	80	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-526-569	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-509-534	0	144	135	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	84	0	0	16
assemblage-675-257	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	188	0	0	0	0	0	0	0	0	0	0	0	65	0	9
assemblage-612-218	0	8	45	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	178	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-525-913	0	131	71	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	122	0	43	0	0	37	0	13	0	0	23	29	0	0	10
assemblage-164-933	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	186	0	0	0	0	0	0	0	0	0	0	0	79	0	11
assemblage-470-127	0	51	43	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	358	0	0	0	0	8	0	0	0	0	7	14	0	0	2
assemblage-257-856	0	80	48	0	0	0	0	0	0	0	0	0	0	0	72	0	3	0	0	0	0	147	0	25	0	9	21	0	9	0	0	15	65	0	0	6
assemblage-782-467	0	133	80	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	9	0	0	138	0	0	0	0	0	0	0	0	0	0	109	0	0	0
assemblage-540-938	0	26	104	0	0	0	0	0	0	0	0	0	0	0	125	0	12	0	0	0	0	147	0	13	0	10	0	0	0	0	0	0	57	0	0	6
assemblage-477-336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	111	0	0	0	0	0	5	0	0	13
assemblage-370-281	0	92	26	0	0	0	0	0	0	0	0	0	0	0	9	0	43	0	0	0	0	130	0	44	0	86	16	0	0	0	0	37	11	0	0	6
