Assemblage_Name	2-4078699-2	7602271-2-2	6709151-7660565-4	6513896-8467996-4	7292763-8467996-8378071	540038-2-8971191	2-4-1707631	7292763-8779373-4	1517970-7660565-4	9707862-8467996-4	4232838-8467996-99115	3-3-1	4232838-2-4	4565442-2-2	3733135-2-2	3612702-2-2	3-5746785-3	49099-8467996-4	2-2-4685576	8474052-2-2	3-4665155-3	2-2-1	2-2-2	2-3411129-2	4536157-8467996-4	49099-9877589-4	540038-2-2	2-2-4363093	4232838-8467996-9451680	7292763-1274421-4	2706811-2-2	2655209-8467996-4	2-2-3300627	6386901-5746785-3	4275176-8467996-4	0-2-4	2-1702440-2	2-5202852-2	4232838-8467996-218552	2527240-8467996-4	49099-8467996-130880	1517970-6214141-4	684144-0-3	2-4-4	4232838-8467996-4	2-9093244-2	3-0-3	3532746-2-2	9270764-8467996-4	4232838-8467996-7808962	6386901-5746785-6743620	2-4-6344129	4232838-8467996-3192788	4232838-7587508-9673481	1517970-8467996-4	4232838-8791794-4	2441851-2-2	3-2339912-3	3612702-7186162-2	7292763-3349085-4	9767080-8467996-4	2-2-2682712	8740424-8467996-4	7292763-8467996-4	1967878-2-2	9755788-2-2	5017891-8467996-4	2-4-8236986	2-2-706455	7292763-9455404-4	2-2-2840087	3-95581-3	6451700-2-2	4232838-1289386-3429306	2-2-2910358	4232838-7525908-4
assemblage-929-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	3	35	9	0	0	0	0	0	45	159	0	0	0	0	0	0	44	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-295-545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	5	344	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-646-853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0	11	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-280-126	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	9	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	14	12	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	19	0	0	0	0	0	0	22
assemblage-925-992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	6	38	0	0	0	0	0	0	7	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	18
assemblage-196-186	114	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	24	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-941-247	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	9	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-882-392	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	10	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-623-454	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	117	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-621-440	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	96	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	3
