Assemblage_Name	1901942-4-4	7174518-898066-1585783	5809005-8232416-1	2-1050633-1260624	3-1689781-1	7174518-4-1585783	7703504-6504860-4	7981547-8956213-4	890270-4-4	2-4309479-5456624	1720455-3382816-4	1443008-4-4	2-0-1260624	5106072-4309479-1260624	7567976-2972621-4	2-4-3052034	3-4-1	0-4-3	7703504-4-8188929	4262678-4-4	2-4-4956714	9746584-4-4	2-1969537-3886178	7981547-27490-4	2-0-3	7981547-4682671-4	5809005-4-1	2-4309479-3581729	5650251-4-4	4498086-2972621-4	2-4-5452246	7981547-316535-4	7174518-4-2633618	7981547-4-4577470	2-3118117-4	2-4309479-811356	7981547-4786165-4	7981547-1154347-4	7174518-4-7718383	1146360-4309479-9921352	7703504-6151950-4	2-4309479-1260624	2-1969537-1260624	4557470-4-4	9874171-4309479-1260624	5574325-9439685-116304	2-0-7503522	2-0-116304	1-4-4	1-4-8935626	2-4244968-116304	2-3269959-116304	7174518-4-9060503	2-7333686-4	2-8874776-3052034	2-0-4614421	2-1016146-1260624	3439669-4-4	5574325-0-116304	2997925-4-4	4-0-0	2-4-253782	7981547-2972621-4	6286698-4-4	7981547-4-4	2-4-4	1610178-4-4	3445248-4309479-1260624	4-0-3909012	1610178-4225550-4	7981547-316535-5789983	4154028-4-1585783	2-2043341-1260624	915656-4-4	7703504-4-4	2-4309479-4252958	2-1969537-2626849	9384067-4-4	7503348-4-4
assemblage-673-417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	6	113	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	57	7	0	35	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	10	0	100	0	0	0	12
assemblage-254-333	0	31	0	0	0	12	0	14	0	0	9	0	0	0	0	12	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	19	114	0	0	0	0	0	0	0	0	171	0	0	0	9
assemblage-260-332	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	48	98	38	0	0	0	0	0	10	0	0	0	0	0	14
assemblage-681-262	0	0	0	0	0	0	0	0	0	0	0	7	0	0	92	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	61	0	0	51	5	15	0	0	0	0	0	0	29	0	0	0	32
assemblage-925-280	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	43	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	9	74	0	0	0	0	0	0	0	0	0	10	0	0	21
assemblage-371-813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	18	0	0	141	0	121	0	0	0	0	0	0	125	0	0	0	16
assemblage-172-952	0	0	0	0	0	0	16	0	0	0	0	41	0	0	74	0	0	0	0	5	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	21	0	0	31	15	0	0	0	0	0	0	0	86	0	0	0	16
assemblage-887-413	0	0	0	0	0	33	0	0	0	0	0	0	23	0	0	36	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	39	172	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-333-235	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	50	108	45	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-296-570	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	64	147	62	0	0	0	0	0	6	0	59	0	0	0	22
assemblage-292-563	0	0	0	0	0	0	0	0	5	0	0	0	0	0	38	0	0	0	0	11	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	82	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	79	40	27	0	0	0	0	0	21	0	26	0	4	0	5
assemblage-357-256	0	0	0	0	0	10	0	0	0	0	0	0	36	0	0	0	10	0	0	0	0	0	0	0	0	0	143	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	93	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-897-536	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	36	87	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-957-688	0	0	0	0	0	28	0	0	0	0	0	0	18	0	0	42	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	32	181	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-344-340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	6	48	11	0	0	0	0	0	24	0	101	0	0	0	20
assemblage-340-239	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	46	119	39	0	0	0	0	0	14	0	0	0	0	0	12
assemblage-928-253	0	0	0	0	0	17	0	0	0	0	0	0	32	0	0	30	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	54	174	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-449-332	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	349	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-261-238	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	100	0	0	0	14	297	0	0	28	0	0	0	0	0	0	0	0	0	9
assemblage-363-786	0	0	0	0	0	0	18	0	0	0	0	33	0	0	73	0	0	0	0	6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	15	0	0	41	11	8	0	0	0	0	0	0	78	0	0	0	12
assemblage-279-115	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	46	46	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	127	142	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-543-930	0	0	0	0	0	99	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	39	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	6	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	89	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-629-460	0	0	0	0	0	131	0	0	0	0	0	0	33	0	0	0	13	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	202	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-815-972	0	0	0	0	0	36	0	26	0	0	0	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	12	0	0	0	0	0	0	0	64	0	0	0	17
assemblage-597-662	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	157	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-292-549	0	0	0	0	0	66	0	14	0	0	0	0	15	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	160	16	0	0	0	0	0	0	0	56	0	0	0	3
assemblage-631-459	0	0	0	0	0	126	0	0	0	0	0	0	26	0	0	0	13	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	218	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-353-336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	6	25	11	0	0	0	0	0	30	0	86	0	0	0	32
assemblage-293-129	0	0	0	0	0	17	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	13	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	65	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	125	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-370-312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	8	49	5	0	0	0	0	0	24	0	94	0	0	0	14
assemblage-929-253	8	0	0	0	0	48	0	0	0	0	0	0	22	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	165	0	0	0	0	0	0	0	9	0	0	0	0	15
assemblage-295-545	0	0	0	0	0	10	0	12	0	0	0	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	174	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	217	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-646-853	0	0	0	0	0	15	0	18	0	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	133	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-280-126	0	0	0	0	0	87	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	31	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	5	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	112	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-925-992	0	0	0	0	0	9	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	92	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	3	122	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	52	30	0	0	0	0	20	0	0	0	0	0	0	0	4
assemblage-196-186	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	13
assemblage-941-247	0	0	0	0	0	30	0	0	0	0	0	0	31	0	0	29	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	39	168	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-882-392	0	0	0	0	0	30	0	0	0	0	0	0	16	0	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	29	202	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-623-454	0	0	0	0	0	100	0	0	0	0	0	0	32	0	0	0	14	12	0	0	0	0	0	0	0	0	7	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	222	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-621-440	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-898-394	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	7	151	0	0	0	0	0	0	0	0	0	15	0	0	6
assemblage-720-910	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	49	131	42	0	0	0	0	0	11	0	0	0	0	0	18
assemblage-237-258	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	71	0	0	0	19	293	0	0	52	0	0	0	0	0	0	0	0	0	16
assemblage-687-249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	60	0	0	54	2	15	0	0	0	0	0	0	27	0	0	0	29
assemblage-642-861	0	0	0	0	0	54	0	9	0	0	0	0	11	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	13	0	0	0	0	0	0	0	59	0	0	0	21
assemblage-246-246	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	21	0	0	96	0	0	0	8	294	0	0	23	0	0	0	0	0	0	0	0	0	9
assemblage-759-877	0	0	10	0	0	0	0	0	0	0	0	0	96	0	0	0	0	24	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	54	145	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-759-874	0	0	3	0	0	0	0	0	0	0	0	0	99	0	0	0	0	16	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	101	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	53	139	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-923-236	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	8	174	0	0	0	0	0	0	0	0	0	6	0	0	6
assemblage-280-565	0	0	0	0	0	19	0	19	0	0	0	0	8	0	0	17	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	152	0	0	0	0	0	0	0	0	20	0	0	0	23
assemblage-628-854	0	0	0	0	0	41	0	11	0	0	0	0	18	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	175	13	0	0	0	0	0	0	0	58	0	0	0	4
assemblage-710-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	4	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	24	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	33	0	31	41	16	10	0	0	0	0	17	0	56	0	0	0	22
assemblage-277-528	0	0	0	0	0	0	0	42	0	0	0	0	6	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	112	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-328-328	0	0	0	0	0	0	0	0	7	0	0	0	0	0	50	0	0	0	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	78	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	75	20	31	0	0	0	0	0	22	0	19	0	9	0	8
assemblage-630-846	0	0	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	143	0	0	0	0	0	0	0	4	13	0	0	0	15
assemblage-190-596	0	0	0	0	0	0	0	0	0	3	0	0	0	0	40	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	49	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	22	7	45	38	8	41	0	0	0	0	37	0	9	0	0	0	19
assemblage-359-271	0	0	12	0	0	0	0	0	0	0	0	0	118	0	0	0	0	29	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	87	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	44	127	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-985-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	68	0	0	0	0	0	0	0	0	65	0	0	0	19
