Assemblage_Name	2-1149162-1	769557-1-4	3977938-1-4	2-788848-1	4-7139307-6506681	0-1-9353774	1987421-788848-1	0-1-3397907	0-2-2	0-2-1	2-788848-6801125	0-2-4725595	4-1-6198269	0-1-4	625119-9610011-6506681	3415172-1-6506681	0-2-2517107	4-1-5751290	0-2-4565353	2-3642302-1	4-350507-6506681	2-5319783-1	0-2531495-4	8893364-788848-1	0-7378085-2	2355027-1-4	6241419-788848-1	871336-3926268-1	2-788848-3032958	0-5598643-2	4-1-1976127	2-7277653-1	3415172-7161070-6506681	2-788848-4897472	4-1-3828792	0-2-883048	5672784-788848-1	2-788848-6414613	4-3761172-6506681	2733779-1622372-1	2-788848-3573582	625119-1-6506681	2812819-1-6506681	3415172-6001351-6506681	0-3771684-1	7236082-788848-1	8944468-788848-1	2-3465386-1	4645174-1-6506681	0-6766921-6806150	8214112-2-2	1-2-1	7511239-1-6506681	2-6061809-1	0-7977252-4	2-3116814-1	4-1-3058990	8210078-1-4	4-1-6506681	162834-1-6506681	8014858-3116814-1	0-1-6806150	4331408-788848-1	2874747-2-2	0-2-855711
assemblage-925-992	0	0	0	10	0	0	0	0	90	21	0	3	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	20
assemblage-196-186	0	0	0	0	0	0	0	0	130	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	310	0	0	0	0	0	10
assemblage-941-247	0	0	0	78	0	0	0	0	47	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	60	0	14
assemblage-882-392	0	0	0	72	0	0	0	0	78	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	30	0	16
assemblage-623-454	0	0	0	0	0	0	0	0	113	86	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	18
assemblage-621-440	0	0	0	0	0	0	0	0	237	135	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	20
assemblage-898-394	0	0	0	62	0	0	0	0	18	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	8
assemblage-720-910	0	0	0	176	0	0	0	0	5	0	0	0	0	104	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	29	0	22
assemblage-237-258	0	0	0	0	0	0	0	0	0	183	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	1
assemblage-687-249	0	0	0	158	0	0	5	0	0	0	0	0	0	93	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	96	0	0	0	43	0	14
assemblage-642-861	0	0	0	87	0	0	0	0	59	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	6	0	6
assemblage-246-246	0	0	0	0	0	0	0	0	0	203	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	2
assemblage-759-877	0	0	0	50	0	0	0	0	59	91	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	3	157	0	0	0	0	0	4
assemblage-759-874	0	0	0	61	0	0	0	0	67	102	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	127	0	0	0	0	0	9
assemblage-923-236	0	0	0	64	0	0	0	0	26	0	0	0	0	198	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	13
assemblage-280-565	0	0	0	125	0	0	0	0	21	0	0	0	0	149	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	135	0	0	0	18	0	18
assemblage-628-854	0	0	0	91	0	0	0	0	75	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	4	0	9
assemblage-710-473	0	0	0	282	0	0	0	0	0	0	0	0	0	73	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	37	0	0	0	19	0	8
assemblage-277-528	0	0	0	125	0	0	0	0	0	0	0	0	0	119	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	6
assemblage-328-328	0	0	0	240	0	0	0	0	0	0	0	0	0	59	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	14	0	0	0	0	0	0	0	0	0	0	90	0	0	0	47	0	8
assemblage-630-846	0	0	0	123	0	0	0	0	0	0	0	0	0	107	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	9
assemblage-190-596	0	0	0	263	0	0	0	0	0	0	0	0	0	40	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	33	0	0	0	35	0	14
assemblage-359-271	0	0	0	69	0	0	0	0	36	107	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	145	0	0	0	0	0	10
assemblage-985-351	0	0	0	198	0	0	0	0	13	0	0	0	0	46	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	12
assemblage-597-671	0	0	0	61	10	0	0	0	15	29	0	0	0	166	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	27	0	6
assemblage-460-153	0	0	0	61	14	0	0	0	10	41	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	26	0	8
assemblage-684-472	0	0	0	252	0	0	0	0	0	0	0	0	0	127	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	34	0	12
assemblage-689-477	0	0	0	271	0	0	0	0	0	0	0	0	0	113	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	22	0	6
assemblage-308-566	0	0	0	139	0	0	0	0	0	0	0	0	0	110	0	124	0	0	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	14
assemblage-471-340	0	0	0	0	0	0	0	0	0	482	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-922-687	0	0	0	84	0	0	0	0	18	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	12
assemblage-910-1006	0	0	0	39	0	0	0	0	108	48	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	17	0	3
assemblage-774-471	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	9
assemblage-239-868	0	0	0	72	0	0	0	0	75	86	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	19
assemblage-543-757	0	0	0	20	0	0	0	0	140	10	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	19	0	3
assemblage-615-216	0	0	0	344	0	0	0	0	0	0	0	0	0	8	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	12
assemblage-352-230	0	0	0	187	0	0	0	0	7	0	0	0	0	95	0	14	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	10	7	0	12
assemblage-614-458	0	0	0	0	0	0	0	0	9	211	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	16
assemblage-614-459	0	0	0	0	0	0	0	0	105	108	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	24
assemblage-598-655	0	0	0	55	0	0	0	0	82	4	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	5	0	8
assemblage-336-223	0	0	0	182	0	0	0	0	20	0	0	0	0	48	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	9	0	6
