Assemblage_Name	6878391-3-3	2-1223238-0	3-3-2506258	3-4480255-3	4886922-0-2	3-3-3	3-9927829-3	2-4-1755279	4-1-3	0-4-2	6143556-5735500-3	0-4-80545	2-1477299-2	0-8661215-2	2-0-8741645	8989207-4-0	8110752-4-0	3-6784135-3	2-2-4423535	2-1545229-2	2-2-2	5602872-3-3	1-8649196-3	4422132-0-2	6143556-0-3	8846004-1030904-3	2-0-756394	2-4-9256451	3-5355528-3	2-2426730-2	2-4093214-2	2-4-9178463	8035365-3-3	2-7651633-0	2-4-0	2-4-3403863	2-820554-0	903280-3-3	5460462-0-2	1-2751566-3	5226667-8649196-3	2-0-2	1-2-0	2-0-8580645	2-9063001-0	2-8933449-2	3-9473391-2506258	2-747364-2	2-6939912-2	8846004-0-3	2986863-0-2
assemblage-370-312	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	8
assemblage-929-253	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	3
assemblage-295-545	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	100	0	0	0	48	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	4
assemblage-646-853	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	57	0	0	0	27	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	2
assemblage-280-126	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	56	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	75	0	0	0	0	0	0	0	87	10
assemblage-925-992	0	0	0	0	0	14	0	0	0	0	5	0	0	0	0	0	0	0	0	0	29	0	67	0	148	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	20
assemblage-196-186	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	37	0	0	0	203	60	0	0	0	0	0	0	0	6
assemblage-941-247	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	100	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	152	0	14	0	0	0	0	0	0	12
assemblage-882-392	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	119	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	179	0	4	0	0	0	0	0	0	6
assemblage-623-454	0	0	0	0	0	30	0	0	0	0	25	0	0	0	0	0	0	0	0	0	18	0	0	0	45	0	0	0	0	0	0	0	0	0	205	0	0	7	0	0	0	117	0	0	0	0	0	0	0	42	11
assemblage-621-440	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	116	0	0	0	0	0	0	0	0	0	0	0	166	0	0	38	0	0	0	0	31	0	0	0	0	0	0	0	14
assemblage-898-394	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	41	0	0	239	0	0	0	0	0	0	0	0	16
