Assemblage_Name	2-1-6028385	2630200-1-4486420	1-1-0	3455402-1-0	428518-9786172-4	2169391-9344973-4929240	22512-3-4	428518-1091581-4	2169391-9344973-7731851	0-3-8769458	1-4424123-0	3-3-4	0-3-7859921	2-1-3684969	2169391-943021-0	4-2-2	428518-3-4	0-948059-2	2-832347-4	428518-468315-4	428518-3429291-3801618	2-7891024-4486420	9454786-3-2	2169391-8067816-0	9132303-9344973-0	428518-9375582-4	428518-3-6446833	5386560-1-0	2169391-9344973-3173811	428518-3-4304188	0-3-335923	2-660759-4486420	7961369-832347-4	2-4423718-4	2169391-9344973-0	3-3-1040722	0-1231449-609762	2169391-3475390-8964296	5064593-3-2	2169391-3475390-0	6123373-3-2	4-2-9007962	2-1-4661466	4754844-1-4486420	2-0-4	0-5321031-2	2-1-4486420	9132303-9344973-7054436	3859609-3-2	4-8291026-2	2-1-868132	0-3-2	308433-3-4	45556-3-2	428518-4203094-4	428518-3429291-4	0-3-3708735	2-4207272-4	428518-2931471-4	2-346170-4	1836474-4423718-4	428518-3-3145684	428518-5160173-4	2169391-9031681-0	428518-5637109-4	1984152-9344973-0	0-3-2437904	2403114-1-4486420	2523418-3-4	3537044-3-4	0-1231449-2	3628159-9344973-0	656690-3-4	6351819-9344973-0	428518-4967462-4
assemblage-629-460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	45	139	0	0	0	0	0	0	0	0	0	25	0	241	0	0	0	0	23	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-815-972	81	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	138	0	0	0	17	26	0	0	0	0	0	0	47	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-597-662	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	0	0	0	0	30	0	129	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	7
assemblage-292-549	79	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	131	0	0	0	8	20	0	0	0	0	0	0	86	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-631-459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	144	0	0	0	0	0	0	0	0	0	26	0	218	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-353-336	0	0	0	0	0	0	54	0	0	0	0	0	0	0	8	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	50	0	0	0	0	18	0	0	0	0	0	0	10	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	0	0	0	40	0	0	0	6
assemblage-293-129	0	0	90	0	0	0	0	0	0	11	0	26	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	3	0	131	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	4
assemblage-370-312	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	32	0	6	0	0	12	0	0	0	0	0	0	14	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	12	0	0	30	0	0	0	66	0	0	0	7
assemblage-929-253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	208	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-295-545	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	57	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-646-853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	72	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-280-126	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	70	0	0	0	0	0	0	0	0	0	10	0	34	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	5
assemblage-925-992	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	237	0	0	0	0	0	0	0	0	0	56	0	77	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	4
assemblage-196-186	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	62	155	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-941-247	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	46	0	0	0	0	0	0	0	61	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-882-392	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	68	0	0	0	0	0	0	0	54	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	17
assemblage-623-454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	54	131	0	0	0	0	0	0	0	0	0	38	0	226	0	0	0	0	30	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-621-440	0	0	18	0	0	0	0	0	0	0	0	52	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	179	0	18	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-898-394	103	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	30	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-720-910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	43	0	0	0	0	0	0	0	0	0	41	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-237-258	0	0	92	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-687-249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	20	67	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	7	0	0	0	0	5
assemblage-642-861	79	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	129	0	0	0	11	19	0	0	0	0	0	0	61	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-246-246	0	0	120	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-759-877	0	0	77	0	0	0	0	0	0	14	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	10
assemblage-759-874	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	164	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	15
assemblage-923-236	107	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	35	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-280-565	37	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	79	0	0	0	17	0	0	0	0	0	0	0	87	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-628-854	70	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	141	0	0	0	7	17	0	0	0	0	0	0	75	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-710-473	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	17	11	0	0	0	0	4	0	0	37	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	23
assemblage-277-528	23	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	65	0	0	0	18	0	0	0	0	0	0	0	48	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-328-328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	15
assemblage-630-846	8	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	67	0	0	0	10	0	0	0	0	0	0	0	60	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-190-596	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	11	0	0	0	20
assemblage-359-271	0	0	58	0	0	0	0	0	0	8	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	13
assemblage-985-351	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	83	0	0	0	0	0	0	7	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6
