Assemblage_Name	0-0-5027680	3-1193437-0	1-0-4	3-3-0	3-3-2	1-4-410103	1-0-9900096	7412412-0-0	1781437-3-0	4-2567890-0	1-0-2571527	4-0-788356	1-0-2861031	1-3503475-4	4-0-0	7432143-3-0	3-3-9264893	0-0-1	1-6775434-4	3-7698103-0	4-9320158-0	1-9145809-4	3-8488337-0	953587-3-0	1062089-0-0	1023189-0-0	4-0-4966820	1-4-4	1-1758834-4	3-3-2357802	3-4-3	1-0-6613978	4078030-0-4	6089465-3-0
assemblage-605-243	0	0	225	212	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2
assemblage-498-521	0	0	194	90	40	0	0	0	0	0	0	0	0	0	60	0	0	4	0	0	31	0	0	0	0	0	0	12	0	0	55	0	0	14
assemblage-594-235	0	0	247	175	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1
assemblage-694-256	0	0	71	181	0	0	0	0	0	0	6	0	0	0	180	0	0	0	0	23	0	0	0	0	0	0	0	0	30	0	8	0	0	1
assemblage-160-161	16	0	227	63	22	0	0	0	0	0	0	0	0	0	54	0	0	46	0	0	31	0	0	0	0	0	0	23	0	0	15	0	0	3
assemblage-904-260	0	0	202	197	0	0	0	10	0	0	0	0	0	0	47	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	6	0	0	5
assemblage-206-182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	4	0	0	0	0	0	0	256	0	0	196	0	0	1
assemblage-396-352	0	0	93	336	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	7
assemblage-178-601	0	0	173	199	0	0	0	0	0	0	21	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0	0	0	7	0	51	0	0	4
assemblage-165-927	0	0	62	326	0	0	0	0	0	0	35	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	7
assemblage-712-891	0	0	65	335	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	6
assemblage-635-856	0	0	155	200	0	0	0	5	0	0	0	0	0	0	65	0	0	0	0	0	59	0	0	3	0	0	0	0	0	0	8	0	0	5
assemblage-412-358	0	0	247	176	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4
assemblage-319-550	0	0	131	112	7	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	70	0	63	6
assemblage-259-333	0	0	75	284	0	0	0	0	0	9	0	0	0	12	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-520-558	0	0	120	239	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	18	0	0	8
assemblage-160-196	0	0	49	11	0	0	0	0	0	0	0	0	0	0	119	0	0	12	0	0	101	0	0	0	0	0	0	33	0	0	171	4	0	0
assemblage-359-264	0	0	96	249	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	10	0	0	10
assemblage-520-549	0	0	87	254	0	0	0	0	0	0	11	0	0	0	104	0	0	0	0	5	0	0	0	0	0	0	0	0	20	0	13	0	0	6
