Assemblage_Name	4-0-4140762	1-1-1	7386993-9325767-0	0-4563939-564943	4-1484877-0	4-0-8205579	251270-1-1	4-1-7618529	0-6554524-4	0-0-7098075	0-6554524-6989085	7386993-0-0	2924522-0-0	4-1-4	4-0-3186675	51023-4563939-564943	4-9616350-7095072	6146344-0-0	4-0-8294017	7429958-3-1	2-2-6290017	7386993-1555804-0	4-0-5755496	3-9678830-5705038	3563672-1-4	2158749-0-4	4-855217-2	9145626-0-0	4-0-0	4-0-979578	4-1-4603217	4-1-7095072	0-0-4	4362213-0-0	4-1-1163146	7666902-2-6290017	4227388-0-979578	3219171-0-0	4-1524340-0	3-9678830-8825763	2923571-0-789714	9748590-0-789714	2588763-4563939-564943	7225620-9684505-0	0-4563939-5431950	1709325-0-0	4-2-2	7225620-0-0	0-0-606052	4-9059184-4	4-0-7709253	4389351-1-4	4-0-789714	3-4371639-1	1-1-7926435	791507-0-4	0-1063087-4	7869756-0-0	4-1-6623292	4919911-0-4	5056300-0-4	6799739-0-4	3-9678830-1	3292319-0-0	9929560-9678830-1	4128305-0-0	8869967-1-4
assemblage-763-893	0	79	0	33	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	5	0	0	0	212	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	40	0	0	0	4
assemblage-991-355	0	0	0	31	0	0	0	21	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	79	0	8	68	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	32	0	0	0	0	0	0	0	0	0	105	0	0	0	10
assemblage-711-905	0	0	0	79	0	0	0	0	0	0	0	147	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	23	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	10	0	0	0	0	0	0	31	0	0	0	53	0	0	0	14
assemblage-405-331	0	0	0	126	0	0	0	0	0	0	0	96	0	0	13	0	0	0	0	0	0	53	0	0	0	0	0	0	69	0	0	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	0	0	0	58	0	0	0	16
assemblage-267-347	0	0	0	7	0	0	0	0	0	4	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	34	0	0	0	0	0	0	0	0	0	92	0	0	0	15
assemblage-702-912	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	7	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	22	0	0	0	0	0	0	0	0	0	93	0	0	0	26
assemblage-520-527	0	0	0	88	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13
assemblage-471-319	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	9
assemblage-302-569	0	0	0	62	0	0	0	0	0	0	0	57	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	23	0	0	8	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	14	0	0	0	126	0	0	0	10
assemblage-499-512	0	0	0	77	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10
assemblage-230-157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	371	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-891-274	0	0	0	32	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	20	0	0	0	0	0	0	0	0	0	13	19	0	0	13
assemblage-371-808	0	0	0	222	0	0	0	0	48	0	0	20	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	59	0	0	0	24
assemblage-916-1002	0	0	0	54	0	0	0	0	0	0	0	0	0	103	0	0	0	6	0	0	0	0	5	0	0	0	0	0	205	14	0	0	44	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	2
assemblage-575-740	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	4	0	0	0	0	0	7	0	0	0	0	191	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	56	0	0	0	3
assemblage-799-965	0	0	0	24	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	19	0	0	0	0	0	0	0	0	0	18	24	0	0	24
assemblage-599-246	0	0	0	102	0	0	0	0	0	0	0	65	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0	26	0	4	21	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	29	0	0	0	0	0	6	0	0	0	98	0	0	0	13
assemblage-398-355	0	0	0	116	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	16	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	27	0	0	0	0	0	0	0	0	0	126	0	0	0	12
assemblage-526-569	0	0	0	87	0	0	0	0	44	0	42	24	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	48	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	8	0	26	0	0	0	6
assemblage-509-534	0	0	0	71	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-675-257	0	0	0	201	0	0	0	0	34	0	0	34	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	22	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	46	0	0	0	16
