Assemblage_Name	3573848-3-2	4396436-3-3401820	4-0-892269	7429622-2-9907803	1-4130068-1584425	4396436-3-8119466	7429622-3987981-4	4810541-7988434-2928704	7429622-2-9473622	4810541-7988434-0	4396436-3-9062055	1-4130068-2	3828229-2-9907803	1-3-577374	0-7988434-0	3282695-9613117-7314947	1-3-4436039	4396436-3-3	4-2784060-0	686001-3-3	7429622-5337405-9907803	2846167-4130068-2	4-0-0	4396436-5598585-3	7429622-9269281-9907803	8165717-3-2	4-2146797-0	4396436-8110273-3401820	1738936-4-4	4396436-9266315-3401820	4659605-3-3401820	2-1-2180474	835787-3-3	2751895-2-4	1-3-9197026	7429622-1803834-9907803	3573848-219884-2	1-3-2	18497-2-9907803	3027991-2-9907803	9101530-4-4	4396436-3-1807025	4396436-1994040-3401820	4396436-3-373382	7429622-9613117-9907803	7429622-9613117-7314947	1-3-8876407	7429622-2-4	4396436-3049123-3	1-4358593-9470511	4659605-3-2992180	1-2-4	4396436-4775088-3401820	4803636-0-0	4396436-927848-3401820	1-2340016-2	1-4358593-703331	8657815-4-4	4396436-6141557-3	4396436-779383-3	4396436-3-908242	4396436-3-2352411	4396436-3-8849965	1-5173068-2	4396436-3-4685328	1-2365966-2	2449968-3-3401820	4396436-3897559-3401820
assemblage-713-902	0	133	0	52	0	0	0	0	0	0	0	60	0	0	0	0	0	54	0	0	0	0	120	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-912-548	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	147	0	157	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-414-339	0	105	0	39	0	0	0	0	0	0	0	12	0	0	0	0	0	49	0	0	0	0	210	0	0	0	0	8	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-713-907	0	207	0	82	0	0	0	0	0	0	0	61	0	0	0	0	0	38	0	0	0	0	48	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-499-537	4	56	0	38	0	0	0	0	0	0	0	87	0	0	0	0	0	37	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	22	0	0	3	30	0	0	9	0	17	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-539-762	0	12	0	148	0	0	0	0	0	0	26	30	0	0	0	0	0	12	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	16	0	0	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-599-228	0	142	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	110	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	14
assemblage-804-979	0	176	0	37	0	0	0	0	0	0	0	23	0	0	0	0	0	22	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-784-478	0	0	0	201	0	0	0	0	0	0	0	87	0	0	0	0	0	9	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	0	60	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-353-252	7	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	9	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	8	0	0	0	0	0	0	49	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-608-642	10	27	0	109	0	0	0	0	0	0	7	62	0	0	0	0	0	61	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7	0	0	7	14	0	0	23	0	41	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-458-145	0	9	0	131	0	0	0	0	0	0	0	0	0	0	5	0	0	98	0	0	0	0	85	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	24	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-204-172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-692-253	0	89	0	42	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	39	0	0	85	0	13	0	0	0	0	78	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-151-166	0	43	9	0	0	0	0	0	0	0	0	0	0	0	110	0	0	16	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	9	0	0	0	0	0	0	11	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-768-861	0	30	8	0	0	0	0	0	0	0	0	0	0	0	96	0	0	12	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	8	0	0	0	0	0	0	14	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-793-461	0	97	0	136	0	0	0	0	0	0	0	68	0	0	0	0	0	61	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	39	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
