Assemblage_Name	9283702-2-1	5103942-0-1	2-176039-1	2-0-5237141	4693346-0-1	1-0-3	2-0-9513771	2-0-1545605	2-8081226-1	2-0-6539442	2-0-2331827	5163441-3-0	2994796-3-0	0-0-0	3-2-282887	3-3222030-3	1-3097439-3	2-6890756-5237141	1-3-0	2-0-5182915	5718481-0-1	2-0-1	3-2-7076515	1550366-0-1	1-3-7461616	7518618-0-1	1-2-1	3-2-6520606	2-3304683-1	2-0-3421090	3-2-7507098	1-414243-3	9547045-3-0	3-2-7054136	3-2-3	1324691-0-3	1-0-8073649
assemblage-889-395	0	0	0	0	0	198	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	24	0	153	0	9
assemblage-619-459	0	0	0	0	0	30	0	30	0	0	0	0	0	106	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	143	0	4
assemblage-296-136	0	0	0	0	0	209	0	0	0	0	0	0	0	149	0	0	0	0	0	0	2	66	0	0	0	0	0	0	0	0	0	0	0	0	57	0	17
assemblage-609-214	0	0	0	17	0	121	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	280	0	0	0	0	0	0	0	54	0	0	0	0	0	0	4
assemblage-526-929	0	0	0	0	0	81	0	0	0	0	0	0	0	96	0	0	0	0	22	0	0	184	0	0	0	0	0	49	0	0	0	0	27	0	35	0	6
assemblage-950-251	0	0	0	0	0	128	0	0	0	0	0	0	0	18	0	0	9	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	48	0	118	0	6
assemblage-663-393	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-1000-339	0	0	4	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	46	0	0	0	0	0	0	0	11	32	0	23	0	8
assemblage-154-592	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4
assemblage-181-932	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-343-236	0	0	0	0	0	98	0	0	0	0	0	0	0	18	0	0	0	0	0	13	0	334	0	0	0	0	0	0	0	0	0	0	0	0	36	0	1
assemblage-152-958	0	0	0	13	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7
assemblage-503-944	0	0	0	0	0	64	0	0	0	0	0	0	0	140	0	0	0	0	8	0	0	179	0	0	0	0	0	31	0	0	0	0	39	0	30	0	9
assemblage-150-176	0	0	0	0	0	35	0	30	0	0	0	0	0	82	0	0	0	0	17	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	172	0	4
assemblage-537-763	0	0	0	0	0	55	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	19	0	46	0	13
assemblage-911-277	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	8	47	0	139	0	0	0	0	0	0	0	0	0	0	20	0	133	0	2
assemblage-500-534	0	0	0	0	0	184	0	0	0	0	12	0	0	109	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	42	0	10	0	4
assemblage-594-237	0	0	0	0	0	226	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-790-466	0	0	0	0	0	48	0	0	0	0	8	0	0	119	0	0	0	0	16	0	0	200	0	0	0	0	0	0	0	0	0	0	8	0	97	0	4
assemblage-235-826	0	0	0	0	0	189	0	0	0	0	0	0	0	163	0	0	0	0	7	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	61	0	12
assemblage-585-209	0	0	0	28	0	137	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	256	0	0	0	0	0	0	0	48	0	0	0	0	0	0	5
assemblage-285-119	0	0	0	0	0	80	0	0	0	0	0	0	0	16	0	0	0	0	28	0	0	138	0	0	0	0	0	0	0	0	0	0	54	0	177	0	7
assemblage-936-250	0	0	0	0	0	40	0	0	5	0	6	0	0	89	6	0	0	0	18	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	101	0	17
assemblage-988-353	0	0	0	0	0	147	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	35	0	6
assemblage-692-481	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-497-531	0	0	0	0	0	196	0	0	0	0	0	0	0	89	0	0	0	0	96	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	35	0	4
assemblage-604-675	0	0	0	0	0	65	0	0	5	0	0	0	0	21	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	31	0	41	0	6
assemblage-481-156	0	0	0	0	0	166	0	0	0	0	8	0	0	110	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	31	0	11	0	6
assemblage-465-144	0	0	0	0	0	111	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	39	0	185	0	1
assemblage-607-238	0	0	0	0	0	97	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10
