Assemblage_Name	3-9725635-4	4-3-9932309	4-4723711-0	3091844-0-1635124	0-2112371-2	4-0-5654638	2-1-1	4-0-2917261	3-1878814-4	1825532-0-1635124	4-0-4184041	4-9973433-0	4-1-3	4-3-163998	0-4-2	4-0-7381126	4-0-1980938	891278-0-1635124	4317251-4-2	4-0-4050207	4317251-4-3307379	4-0-7082927	7271794-9973433-0	4-5854247-1635124	4-0-0	4-5785589-2	1426136-0-1635124	4-8593711-0	0-2-3	1-2-5067093	4-154384-1635124	9539750-4-2	4-0-3276727	4-5425171-1635124	7271794-9973433-3235692	2244610-0-1635124	1641612-0-1635124	4519595-0-1635124	4-0-3606605	7947012-0-1635124	853236-3-2	565351-4-4	6119129-0-1635124	4-1859838-1635124	4-0-1635124	1-2-2	1-4-4	779731-0-1635124	4-0-3549205	4-8109660-0	2301235-0-1635124	4-2469481-1635124	4-3179003-2	4-3-2	9593048-4-2	1-4-5664853	9447550-4-2	4-4915259-1635124
assemblage-176-112	0	0	0	0	0	0	0	0	44	0	0	20	0	0	85	0	0	0	0	9	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	11	33	0	0	0	0	0	0	76	0	7	0	3
assemblage-687-960	0	0	0	0	0	0	0	0	8	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	7	111	0	0	0	0	0	0	27	0	43	0	13
assemblage-779-935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	13	0	0	0	0	0	0	0	111	0	0	0	4
assemblage-828-162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	15	41	0	0	0	0	0	0	66	0	0	0	8
assemblage-243-239	0	0	0	0	0	0	0	0	14	0	0	9	0	0	59	0	0	0	0	0	0	0	0	0	113	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	31	0	0	0	0	0	0	0	61	0	8	0	3
assemblage-522-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	62	0	0	0	5
assemblage-699-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	33	373	12	0	0	0	0	0	0	0	9	0	0	6	2
assemblage-504-227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	45	0	0	0	9
assemblage-766-990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	45	0	0	0	0	16	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	2	0	0	0	4
assemblage-923-961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	7	96	0	0	0	0	0	11	0	0	0	0	19	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	14	0	0	0	8
assemblage-924-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	28	0	0	0	0	21	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	8	0	0	0	6
assemblage-948-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	91	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	3	0	9	0	0	0	5
assemblage-937-805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	11	76	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	6	0	11	0	0	0	0
assemblage-763-598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	73	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	3	0	9	0	0	0	5
assemblage-727-310	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-106-789	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-969-107	0	0	7	0	0	0	0	0	0	22	0	0	0	0	0	0	12	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-507-779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-632-438	0	0	51	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-612-439	0	0	0	0	0	0	0	10	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	11
