Assemblage_Name	1707976-6342798-3094946	2-6394348-7921657	2-1532495-5626926	2-0-9402122	2-0-5218743	3-3-3094946	2-3-4	2-0-6729584	3-3-1	3925512-0-6188291	2-5593696-5626926	8513935-2-5400278	2-5378508-8183531	2-0-6188291	5106264-0-5626926	2-0-4573056	2-2-5400278	2-859407-7921657	2-3899803-5400278	2-0-5626926	2999562-0-6188291	2-0-1396244	2-5378508-9890389	2-6004169-5020325	2-4624795-7921657	2-0-3081818	2-7999607-0	2-2675213-0	3-3-9740637	2-0-148134	3-6342798-3094946	1707976-6342798-695894	2-0-918885	464337-0-0	8377462-2-5400278	2-7447752-0	8996415-2233769-0	2-4119526-0	2-0-8183531	2-3-9330332	2-0-658366	2-0-7184064	2-6415551-0	7022313-2-5400278	2-230068-0	2-0-0	2-2141472-0	2-0-1269797	8023962-3-1	2-9643104-5218743	2-4751074-5400278	4222552-2-5400278	2-2042764-0	2-0-3923177	2-0-2073679	9977722-2-5400278	2-2260312-7921657	2-0-2893011	2-0-5020325	5765336-0-0	1347321-2-5400278	2-0-7921657	4328439-859407-7921657	2163453-2-5400278	7459091-2-5400278	3-3-5540310
assemblage-174-110	0	0	0	0	0	59	0	23	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	252	0	0	0	0	0	24	0	0	0	0	7	0	0	0	0	40	0	0	0	21
assemblage-983-757	0	0	0	0	0	32	0	35	0	0	0	0	0	0	0	0	35	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	118	0	0	62	13
assemblage-806-153	11	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	69	11	0	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	25	0	0	0	39	0	0	0	0	0	85	0	0	48	20
assemblage-829-151	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	53	26	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	9	0	0	0	13	0	0	0	2	0	0	0	0	0	169	0	0	38	19
assemblage-779-935	0	0	0	0	0	50	0	10	0	0	0	0	0	0	0	0	36	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	69	0	0	59	7
assemblage-532-222	0	0	0	0	44	33	0	0	0	0	31	0	0	0	0	0	57	15	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	44	0	0	23	6
assemblage-901-928	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	77	38	7	74	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	39	0	0	35	14
assemblage-703-781	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	107	22	0	90	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	89	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	33	0	0	42	20
assemblage-922-961	0	0	0	0	64	62	0	0	0	0	0	0	0	0	0	0	129	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	56	0	0	58	5
assemblage-752-974	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	117	72	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	16	0	0	0	48	0	0	0	0	0	81	0	0	0	10
assemblage-585-782	0	0	0	0	81	0	0	0	0	0	22	0	0	0	0	0	14	44	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	153	0	0	53	10
assemblage-756-597	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	64	18	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	119	0	0	27	14
assemblage-502-373	0	0	0	0	144	38	0	0	0	0	0	0	0	0	0	0	61	30	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	45	18
assemblage-939-810	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	48	37	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	124	0	0	29	13
assemblage-719-315	0	0	28	0	76	0	0	0	0	0	0	0	0	0	0	4	181	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	40	0	0	10	18
assemblage-935-118	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	86	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	30	30
assemblage-89-798	0	0	4	0	102	0	0	0	0	0	0	0	0	6	0	0	156	17	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	164	0	0	0	12
assemblage-532-763	0	0	4	0	49	0	0	0	0	8	0	0	0	86	0	0	105	0	0	55	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	4
assemblage-292-849	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	136	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	21
assemblage-855-815	0	0	0	0	8	0	0	0	0	0	0	0	0	0	53	0	231	0	0	98	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	35	0	14	0	16
