Assemblage_Name	4-1-8656703	2-2-7659709	2-2-7865086	4-7059787-2	3135594-1-3875345	2897425-5697861-4	4-1-4	4-1-1	270493-1-4	4-1-460921	4-1-3875345	6066746-2-3	611805-4-2	5974816-1-3875345	4-1-4169994	4-7059787-6167779	6256896-4-2	2-2-3	4-1-5748953	4-1-5669555	8443647-2-3	2-3146224-3	2-2-2090811	8189879-2-3	2-4-0	3058276-1-3875345	2-0-2	2-0-0	2897425-9148931-4	2897425-1-4	4-4-2	4-8814754-3875345	1607288-0-0	2897425-1-22610	2-2-3154781	228634-2-3	6639550-1-3875345	2-0-3258342
assemblage-171-84	0	0	0	0	0	0	77	0	0	0	58	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	17	0	21	192	0	0	0	0	0	0	5
assemblage-207-398	0	0	0	0	0	0	62	0	0	0	79	0	0	0	0	0	0	140	0	0	0	0	6	0	0	0	0	13	0	14	185	0	0	0	0	0	0	1
assemblage-829-151	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	13
assemblage-774-931	0	0	0	0	0	0	42	0	0	0	147	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	8	234	0	0	0	0	0	0	4
assemblage-885-841	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	10
assemblage-522-210	0	0	0	0	0	0	21	0	0	0	282	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	18	64	0	0	0	18	0	0	5
assemblage-141-138	0	0	0	0	0	0	0	0	0	32	22	0	0	0	0	0	0	139	0	0	0	0	0	20	0	0	0	0	0	237	44	0	0	3	0	0	0	3
assemblage-124-179	0	0	0	0	0	0	18	0	0	6	101	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	104	89	0	0	0	10	0	0	13
assemblage-627-775	0	0	0	0	0	0	6	0	0	78	139	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	107	13	0	0	0	0	0	0	9
assemblage-777-970	0	0	0	0	0	0	0	0	0	63	126	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	138	17	0	0	0	0	0	0	8
assemblage-771-946	0	0	0	0	0	0	0	0	0	70	131	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	112	14	0	0	0	0	0	0	4
assemblage-502-373	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	66	16	0	0	0	0	0	0	7
assemblage-928-796	0	0	0	0	0	0	0	0	0	10	190	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	53	7	0	0	0	0	0	0	3
assemblage-505-367	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	53	16	0	0	0	0	0	0	6
assemblage-582-219	0	0	0	0	18	0	0	0	0	7	191	0	0	0	0	9	0	152	0	0	0	0	0	0	0	0	0	0	0	91	29	0	0	0	0	0	0	3
assemblage-752-302	0	0	0	0	96	0	0	0	0	19	168	0	0	0	0	0	0	126	0	0	12	0	0	0	0	0	0	0	0	57	17	0	0	0	0	0	0	5
assemblage-753-307	0	0	0	0	0	0	0	0	0	27	135	0	0	0	0	42	0	142	0	0	0	0	0	0	0	0	0	0	0	134	16	0	0	0	0	0	0	4
assemblage-617-440	0	0	0	0	20	0	0	0	0	0	217	0	0	0	0	33	0	111	0	0	23	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	16
assemblage-527-780	0	0	0	0	0	0	0	0	0	0	117	0	0	12	0	79	0	178	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	17
assemblage-842-827	0	0	0	0	10	0	0	0	0	0	298	0	0	0	0	26	0	24	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	4
