Assemblage_Name	4-8800782-6871829	5529538-8800782-3911792	2-2-3762471	4-8800782-1873287	8757830-3701009-4	9825770-8800782-3911792	4-3-1360380	814241-3254148-3911792	3-1-1	4-3-2838633	4-3218807-4	9825770-8800782-9497377	3351340-8800782-3911792	6402693-3-4	5717370-2-3	4-8800782-4497202	4607174-2-3	4-3-9725036	4-5043594-3911792	4-3-6308998	4-255833-4	8585044-8800782-3911792	5479110-8800782-5334774	4-3-5234822	3351340-2693149-3911792	4-3-5109829	9825770-8800782-1756235	4860892-3-0	2-2-6604224	1498693-8800782-5334774	6402693-3-7653068	9147920-8800782-3911792	2-2-3481965	7591983-3-4	4-3-0	4-3-4	4-4556026-4	4-3701009-4	2179156-8800782-3911792	4-8811315-3911792	4-3-7111663	2-2-9887235	4-3-2875646	814241-8800782-3911792	4-4694505-3911792	4-8800782-3911792	9825770-8800782-5334774	4-3-8538632	2-2-3	9825770-2179893-5334774	4-8800782-9004968	4-8800782-4785994	5182737-3-4	4-8800782-9638264	0-2-4	4060760-2-3	4-6101684-3911792	4-8800782-2731826	4-4843932-3911792	4-8800782-2045162	4-1216877-0	4-3-3911792	5124336-3-4	3-5803975-1	5641647-8800782-3911792	4-8509743-0	4-7136511-3911792	4-8800782-1295176	4-3-1321718	8595077-2-3	9205383-3-0	2-2-4337818	4-3-5954115	9652347-8800782-3911792	2-2-8838488	2-2-7989941	4-4590795-0	3403736-8800782-3911792	5486081-258205-4	5486081-4556026-4	4-3-6546802
assemblage-869-918	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	53	162	0	0	0	0	0	0	0	0	0	154	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-458-410	0	0	0	10	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	53	140	0	0	0	0	0	0	0	0	0	159	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-210-937	0	0	0	0	0	14	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	11	150	0	0	0	0	0	0	0	0	0	189	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-240-941	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	20	0	0	0	0	0	0	220	99	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-237-956	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	7	0	0	0	0	0	0	245	95	0	0	0	0	0	0	0	0	0	61	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-122-342	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	49	188	0	0	0	0	0	0	0	0	0	169	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-218-462	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	91	71	0	0	0	40	0	0	0	0	0	175	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-110-333	0	0	0	0	0	9	0	0	17	0	0	0	0	0	0	0	0	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	122	11	0	0	0	8	0	0	0	0	0	233	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-483-768	0	0	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	174	0	7	0	0	0	0	0	0	0	99	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	16
assemblage-502-119	0	0	12	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	149	0	10	0	0	0	0	0	0	0	108	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-465-737	0	0	0	0	0	0	0	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	110	0	0	0	0	0	0	0	0	0	213	10	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-665-923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	97	0	0	0	0	0	0	0	0	0	306	61	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-347-470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	87	0	0	0	0	0	0	0	0	0	312	64	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-248-353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	27	0	0	0	0	0	0	0	0	0	314	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
