Assemblage_Name	1593558-3-0	3292217-3-1	3-8150231-0	3-3-9561872	5056896-3-1	9921590-3-1	1-4478383-1	3-3-3071360	1-3-3464020	3826600-1-0	2556203-760097-0	3-3-0	1-5647229-1	4-1-4	794906-1-0	2-1-370805	0-1-0	8426079-1-0	3-760097-0	1-6117556-1	1-3770073-1	6049152-1-6734204	1-2033217-1	0-0-4714178	1-3010852-1	4483996-3-0	1001125-3-1	0-9534669-4	619996-3-0	0-0-4	1270863-3-1	1-3-7587352	1-3-4370097	1063581-3-1	7881043-3-0	1-3-1	9454775-1-4	1-3812738-1	8242817-1-0	2-4-0	1-9534421-1	0-0-8675573	9260922-3-1	1-7883503-1	5317647-3-0	3-5012700-0	3-3-8389135	2-1-0	2-556275-0	1-3-6807610	3-5005702-0	4451047-3-1	0-1-5892551	0-1-6734204	0-1-4956290	3-5424800-0	673031-3-0
assemblage-932-368	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	34	0	0	6
assemblage-235-123	0	0	0	0	0	17	0	0	0	0	0	159	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	8
assemblage-209-484	0	0	0	0	38	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	251	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-420-841	0	0	0	0	0	0	0	0	0	0	0	119	23	0	0	0	0	0	32	0	0	0	0	0	0	0	7	0	8	31	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-360-710	0	0	0	0	0	0	0	0	0	0	0	74	0	10	0	0	48	0	0	0	0	0	0	15	0	0	0	0	0	94	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	121	7	0	4
assemblage-234-940	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	39	0	0	6
assemblage-827-631	0	145	0	0	0	0	0	0	0	0	0	9	0	6	0	14	0	0	0	0	0	0	10	0	0	0	0	0	0	9	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	3	0	0	12
assemblage-254-112	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9
assemblage-214-177	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	13
assemblage-224-778	0	0	0	0	0	0	0	6	0	0	0	129	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	10
