Assemblage_Name	3-2-9588920	0-7907915-6242814	0-1300760-5224893	0-4-2030307	6898656-4-5224893	0-6199902-3	3-2-8550423	0-4-5892330	3-4-9493647	4-1-1	0-4-3	5040903-2-1	3-2-3794380	4746057-4-5224893	0-6233716-5224893	9976592-2-1	2224797-2-1	5952020-2-1	5723620-2-1	6006121-4-5224893	6844244-2-1	0-3554860-5224893	0-4-5493994	3273167-4-5224893	0-4-7364833	4694332-7907915-5224893	0-4-8929465	0-5330891-5224893	5965867-4-5224893	0-7576319-5224893	3-8987153-1	8427435-4-5224893	3141686-4-5224893	0-7907915-5224893	3-2-8359985	3-2625764-1	1162167-4-5224893	3-4818962-1	0-6703419-5224893	3-6946271-1	0-4-2624852	3661202-4-5224893	0-9584663-5224893	5952020-9558077-1	0-4-5224893	1283148-2-1	0-8125234-3	0-8685708-5224893	0-7278921-5224893	3-4-2	3-4-1	7689324-4-5224893	3-874183-1	9185850-4-5224893	3-2-1	0-7341643-5224893	3991669-2-1	4096993-2-1	5952020-2-8927447
assemblage-238-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	50	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	56	0	0	0	10
assemblage-747-593	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	46	0	0	0	0	0	0	153	0	0	0	10
assemblage-234-493	0	0	0	77	0	0	0	0	0	0	13	0	0	0	65	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	58	0	0	0	21
assemblage-595-739	0	0	2	0	0	0	0	0	0	54	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	69	0	0	0	2
assemblage-571-457	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	38	0	0	0	0	0	0	0	0	0	0	230	0	0	0	24	0	0	0	0	0	180	0	0	0	2
assemblage-689-282	69	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	46	0	0	0	0	0	0	108	0	0	0	16
assemblage-328-698	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	123	14	0	0	0	46	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	98	0	0	0	4
assemblage-253-726	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	291	0	0	0	9
assemblage-340-683	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	40	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	111	0	0	0	12
assemblage-730-622	6	0	0	0	0	0	0	0	0	0	118	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	43	0	0	0	0	0	0	69	5	0	0	11
