Assemblage_Name	4-1-4354783	4-2155655-1	4-1-4590315	3969811-1-1	3-4-4562238	4-3757640-1	4-1-4	4-1-1	4-9267671-1	6060709-3535929-1	7998063-2-2	7279130-1-4809230	4-1-8611296	6481165-1-1	4-1-1193822	4-1537228-1	495536-1-1	6060709-1-1	3-1-0	4-1-6874504	5440078-1-1	0-2-2	5725945-1-1	9342397-1-1	4-4318745-1	4-1-8905774	4-1-1954752	4-1-8632513	4-7656763-1	4-2605795-1	2-1-1	9988552-1-1	4-1-2269865	3814254-1-1	4-1068184-1	7279130-1-1	7279130-5913661-1
assemblage-238-351	49	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	13	4
assemblage-470-744	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	97	0	9	0	0	0	0	0	27	3
assemblage-331-183	0	0	0	0	0	0	0	398	0	0	0	0	5	0	0	21	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	26	2
assemblage-696-280	0	0	0	0	169	0	89	121	0	0	0	0	0	0	0	0	0	8	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-757-478	0	0	0	0	127	0	14	313	0	0	0	0	0	0	0	0	0	0	17	0	0	7	0	0	0	0	0	0	0	0	0	0	19	0	0	0	3
assemblage-617-283	0	0	0	0	0	0	0	449	0	0	0	0	0	0	12	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	8
assemblage-361-733	0	0	0	0	162	0	96	121	0	0	0	0	0	0	0	0	0	13	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-925-970	0	0	0	0	14	0	0	388	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16
assemblage-849-911	0	0	0	0	9	0	0	473	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-341-187	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	119	4
assemblage-227-460	0	0	0	0	0	0	0	439	0	0	0	0	0	0	5	0	0	0	18	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	4	14
assemblage-885-866	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	91	0	4	0	0	0	0	0	37	8
assemblage-343-696	21	0	6	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	9
assemblage-581-731	0	0	0	0	81	0	0	385	0	0	0	0	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-897-857	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	104	0	2	0	0	0	0	0	37	2
assemblage-474-671	0	0	0	0	9	0	22	192	0	0	0	0	0	0	0	0	0	35	122	0	0	115	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1
assemblage-262-640	0	0	0	0	0	0	0	278	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	59	2
assemblage-942-369	0	0	0	0	0	0	0	437	0	0	0	0	0	0	28	0	0	0	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-239-945	0	0	0	0	0	0	0	349	0	0	0	0	0	94	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-831-655	0	0	0	0	71	0	166	253	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-894-875	0	0	23	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	50	14	0	0	0	0	0	5	23	6
assemblage-364-249	0	0	0	0	0	0	0	456	0	0	0	0	0	7	0	0	0	0	13	0	0	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	2
assemblage-509-129	0	0	34	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	57	11	0	0	0	0	0	9	19	2
assemblage-233-168	0	0	0	13	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	178	9
assemblage-575-462	0	0	0	0	0	0	0	213	0	0	0	6	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	147	0
assemblage-247-170	0	0	0	17	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	207	3
assemblage-915-994	0	0	0	0	57	0	26	338	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-903-862	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	114	0	7	0	0	0	0	0	27	3
assemblage-243-323	0	0	0	0	0	0	0	280	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	74	14
assemblage-218-797	0	0	0	0	0	0	0	381	0	0	0	0	12	0	0	34	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	23	3
assemblage-599-513	0	0	0	0	162	0	16	269	0	0	0	0	0	0	0	0	0	0	19	0	0	18	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12
assemblage-361-291	0	0	0	0	0	0	0	363	0	0	0	0	0	95	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-722-982	0	0	0	0	85	0	7	381	0	0	0	0	0	0	0	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-412-850	0	0	34	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	130	2
assemblage-596-281	0	0	9	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	10	0	0	29	0	0	0	0	0	0	0	9	15
