Assemblage_Name	409795-2-3	3-523524-4	7930379-3-4902598	1-0-1	6521645-3-4593887	4-9281390-3	0-5543770-2	0-1-2	7015898-2-3	2217010-2-3	4-2-2925748	7930379-6996568-4	5754964-5543770-2	8023199-2-3	7930379-2402034-4	2-4361069-0	0-8863817-2	5578595-2-3	3-1826266-4	2-0-0	7930379-3-4689381	3-0-4	321323-2-3	1-3593481-1	4-2-3	3-7690314-4	3-338648-4	3-0-6752004	7930379-3-4593887	2-0-5552213	1-2-2	2060359-3-4	1-4-2	2-1-1	7930379-3-4	9895768-3-4	7930379-3-8486971	2-0-5431172	4-2-9556654	3-5891867-4
assemblage-915-994	0	0	0	44	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	211	0	10	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	9
assemblage-903-862	0	6	0	0	0	0	17	45	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	79	0	0	34	122	0	0	0	0	0	7	0	0	0	0	4
assemblage-243-323	5	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	96	0	0	0	213	0	0	0	0	0	0	0	0	0	0	12
assemblage-218-797	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	88	0	0	0	70	0	0	0	0	0	102	0	0	0	0	10
assemblage-599-513	0	0	0	114	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	76	0	47	0	0	106	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0
assemblage-361-291	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	48	0	174	0	23	87	0	0	0	0	0	0	0	0	0	82	0	0	0	0	6
assemblage-722-982	0	0	0	196	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	50	0	61	0	0	40	0	0	0	0	0	0	0	0	0	61	0	0	26	0	5
assemblage-412-850	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	136	0	0	0	135	0	0	0	0	0	0	0	0	0	0	7
assemblage-596-281	0	0	0	0	0	7	19	50	0	0	0	0	0	7	0	0	0	0	0	0	0	128	0	0	97	0	0	0	50	0	0	0	0	0	128	0	0	0	0	14
assemblage-731-474	0	0	0	209	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	25	0	58	0	0	60	0	0	0	0	0	0	0	0	0	62	0	0	14	0	3
assemblage-601-501	0	0	0	119	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	60	0	53	0	0	129	0	0	0	0	0	0	0	0	0	78	0	0	0	0	3
assemblage-421-842	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	238	0	0	162	0	0	0	35	0	0	0	0	0	33	0	0	0	5	16
assemblage-249-737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	335	0	32	0	0	82	0	0	0	0	0	29	0	0	0	6	0	0	0	0	1
assemblage-810-118	0	0	0	72	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	116	0	154	0	20	12	0	0	0	0	0	0	0	0	0	100	0	0	0	0	5
assemblage-676-292	0	0	0	120	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	77	0	58	0	0	123	0	0	0	0	0	0	0	0	0	78	0	0	0	0	1
assemblage-367-320	0	0	0	0	0	0	28	0	16	0	0	0	29	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6
assemblage-362-487	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	121	0	0	0	124	0	0	0	0	0	0	0	0	0	0	10
assemblage-347-470	12	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	112	0	0	0	177	0	0	0	0	0	4	0	0	0	0	12
assemblage-223-654	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	7	0	89	0	0	0	45	0	0	0	0	0	95	0	0	0	0	4
assemblage-734-991	0	0	0	203	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	24	0	53	0	0	55	0	0	0	0	0	0	0	0	0	68	0	0	34	0	4
assemblage-340-180	0	0	0	0	0	0	48	0	0	0	0	0	35	0	0	0	0	3	0	0	0	301	0	0	47	0	0	0	39	0	0	0	0	0	22	0	0	0	0	5
assemblage-251-956	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	13	0	69	0	0	129	0	0	0	0	0	0	0	0	0	225	0	0	0	0	6
assemblage-632-931	0	0	0	107	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	93	0	53	0	0	107	0	0	0	0	0	0	0	0	0	77	0	0	0	0	1
assemblage-757-602	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	12	0	72	0	0	147	0	0	0	0	0	0	0	0	0	214	0	0	0	0	10
assemblage-610-770	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	6	0	99	0	0	0	45	0	0	0	0	0	117	0	0	0	0	4
assemblage-239-733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	286	0	43	0	0	87	0	0	0	0	0	39	0	0	0	13	0	0	0	0	5
assemblage-226-489	0	0	0	0	0	0	30	105	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	122	0	0	0	53	0	0	0	0	0	80	0	0	0	0	6
assemblage-618-925	0	0	0	271	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	52	0	11	0	0	68	0	0	0	0	0	0	0	0	0	49	0	0	0	0	1
assemblage-103-910	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	351	0	0	0	0	0	0	0	0	0	42	0	0	0	0	9
assemblage-365-492	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	102	0	0	242	0	0	0	59	0	0	0	0	0	39	31	0	0	0	5
assemblage-516-766	0	0	0	10	0	0	10	219	0	0	0	0	0	0	0	0	4	0	0	7	0	104	0	0	37	0	0	0	20	0	0	0	0	0	79	0	0	0	0	10
assemblage-606-504	0	0	0	291	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	47	0	7	0	0	72	0	0	0	0	0	0	0	0	0	39	0	0	0	0	2
assemblage-943-355	0	0	0	0	0	22	47	50	0	0	0	0	0	29	0	0	0	0	0	6	0	154	0	0	133	0	0	0	31	0	0	0	0	0	19	0	0	0	0	9
assemblage-110-907	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	374	0	0	0	0	0	0	0	0	0	28	0	0	0	0	10
assemblage-612-728	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	45	0	0	0	0	0	0	24	0	0	216	0	0	0	0	5
assemblage-222-939	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	17	0	75	0	0	124	0	0	0	0	0	0	0	0	0	218	0	0	0	0	12
assemblage-223-771	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	3	0	105	0	0	0	37	0	0	0	0	0	144	0	0	0	0	3
assemblage-230-174	0	0	0	0	0	0	34	0	20	0	0	0	24	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	6
assemblage-825-627	0	0	0	0	0	0	0	105	0	0	0	0	0	0	12	0	0	0	0	155	0	12	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	6
assemblage-815-115	0	0	0	17	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	196	0	21	0	0	49	0	0	0	0	0	0	0	0	0	157	0	0	0	0	11
assemblage-866-914	0	0	0	93	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	116	0	139	0	21	6	0	0	0	0	0	0	0	0	0	101	0	0	0	0	7
assemblage-943-359	0	0	0	0	0	0	16	19	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	75	0	0	0	87	0	0	0	0	0	152	0	0	0	0	5
assemblage-731-490	0	0	0	40	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	223	0	9	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	10
assemblage-218-462	0	0	0	0	0	0	21	12	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	74	0	0	0	73	0	0	0	0	0	160	0	0	0	0	6
assemblage-236-458	0	0	0	2	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	105	0	0	0	14	0	0	0	0	0	202	0	0	0	0	4
assemblage-358-487	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	120	0	0	225	0	0	0	57	0	0	0	0	0	50	30	0	0	0	2
assemblage-370-248	0	0	0	29	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	84	0	0	0	0	0	0	0	0	0	185	0	0	0	0	6
assemblage-212-161	0	0	0	0	0	0	110	0	92	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	52	0	0	0	46	0	0	0	0	0	0	0	0	0	0	6
assemblage-359-472	12	0	0	0	0	0	43	3	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	90	0	0	0	204	0	0	0	0	0	0	0	0	0	0	11
