Assemblage_Name	2-6183765-3	3-1-4411414	8932667-1-2	4459746-1-3	3785268-1-2	2-1-3	2-1-8708333	2-1-8247714	2-9687264-3	2-8926661-3	3-6226411-4	2-8572631-3	5510473-1-3	2508081-1-3	2-2185816-3	7991151-4-2	2-8114921-3	8785037-1-3	3-1-7890162	3-1-2	3-1-4	1411868-1-3	2-1-7841178	2-1-9182502	2-1543104-3	8322843-1-3	2-6137405-3	5302236-1-3	2-1-4016206	580796-1-2	2-1-1364777	4286564-1-3	6574511-9736504-4	8360297-1-3	2-1266148-3	2-7206789-3	1-4-2	5943145-1-3	2-1-4	6574511-1-4	2-1-9550803	4202352-1-3	2-1-4369226	2-1-924753
assemblage-817-130	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	245	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-228-644	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	93	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-262-660	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	10	1	42	0	0	0	0	0	11	0	0	0	0	29	0	0	0	68	0	0	0	0	0	7	0	0	0
assemblage-261-342	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-224-659	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	73	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-909-972	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	10	0	0	138	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4
assemblage-665-923	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
assemblage-752-603	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-262-104	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	8	0	6
assemblage-858-890	0	0	0	0	0	402	0	0	0	5	0	0	0	0	0	0	0	0	0	64	17	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-583-465	0	0	0	10	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	49	0	0	0	0	0	0	0	0	6
assemblage-258-727	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	5	0	0	0	37	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	41	0	0	0	8
assemblage-680-942	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-594-508	0	0	0	0	0	278	0	6	0	0	0	0	0	0	0	0	0	0	0	100	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	38	0	0	0	11
assemblage-608-915	0	20	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	168	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	10
assemblage-339-716	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	13	0	0	0	110	157	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	10	0	0	0	0	0	0	13
assemblage-111-900	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	42	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-608-767	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	11	2	26	0	0	0	0	0	22	0	0	0	0	37	0	0	0	95	0	0	0	0	0	17	0	0	0
assemblage-211-786	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	83	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-247-716	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	11	0	0	0	31	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	51	0	0	0	3
assemblage-353-255	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-621-771	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	8	4	32	0	0	0	0	0	20	0	0	0	0	27	0	0	0	70	0	0	0	0	0	9	0	0	0
assemblage-814-115	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	248	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-613-289	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-94-905	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	35	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-578-483	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	58	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	13	0	2
assemblage-604-772	0	0	0	2	0	423	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	8	0	0	0	0	0	0	0	4
assemblage-370-702	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	87	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	34	0	0	0	10
assemblage-608-762	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	29	0	4
assemblage-826-115	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	254	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-734-616	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-914-974	0	0	0	0	0	282	0	0	0	20	0	0	0	0	0	0	0	0	0	148	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	12
assemblage-248-353	0	0	0	0	0	349	0	0	0	0	0	10	31	0	0	0	0	0	74	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-492-657	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	87	0	12	0	0	0	0	15
assemblage-818-645	0	16	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	378	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	9
assemblage-262-106	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	121	0	0	0	0	0	0	0	0	8
assemblage-891-868	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-502-119	7	0	0	0	0	437	0	0	0	0	0	0	0	0	12	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-939-363	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-620-507	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	12	0	0	0	100	203	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	13	0	0	0	0	0	0	6
assemblage-845-912	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	264	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-249-343	0	0	0	0	0	374	0	0	0	0	0	4	18	0	0	0	0	0	67	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-113-897	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	34	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-725-980	0	0	0	0	0	374	0	0	0	0	0	0	0	10	0	0	0	0	0	68	40	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3
assemblage-486-668	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	75	0	15	0	0	0	0	10
assemblage-393-317	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	33	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	51	0	0	0	0	0	0	0	0	8
assemblage-868-903	0	0	0	0	0	211	0	0	0	17	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-482-665	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	74	0	20	0	0	0	0	9
assemblage-685-298	0	19	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	165	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	15
assemblage-602-930	0	14	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	54	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	31	0	0	0	9
assemblage-243-471	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-746-471	0	0	0	0	0	301	0	0	0	13	0	0	0	0	0	0	0	0	0	144	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	8
assemblage-104-339	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-748-479	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	6	0	0	124	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	3
assemblage-726-586	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-523-751	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-901-855	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-247-99	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	11	0	3
assemblage-828-627	0	15	7	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	368	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	8
assemblage-613-755	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	16
assemblage-227-792	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	32	0	1
assemblage-497-751	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-618-292	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-344-184	0	0	0	5	0	417	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	9
assemblage-461-403	0	0	0	0	0	230	0	0	0	4	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-928-974	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	5	0	0	136	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	2
assemblage-114-348	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-689-310	0	4	0	0	0	145	0	0	0	0	0	0	0	0	0	2	0	0	0	107	181	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	23	0	0	0	0	0	0	9
assemblage-937-366	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-597-286	0	0	0	0	0	322	6	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-358-189	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	70	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-503-748	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	103	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-685-929	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-365-269	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-357-276	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
