Assemblage_Name	6290413-1-3	2-1-4906320	3161732-4909081-3	1-1-3	1-3209183-2	2-1-3964141	2-9773636-3	8264813-1-3	2-9535959-3	9768954-1-3	2-3317885-3	2-6548283-3	2-1-6533622	2-1-2566252	2-2749007-3	3-3-4	3161732-1-5802280	2-1-2468600	1-8624112-3	761287-1-3	2-964588-3	2-1-2837728	2-1-9056444	4978560-1-3	2-8319691-2842134	2-3112801-3	3-0-2875948	2-9773636-1207564	1-6966266-3	2-9926987-3	3-4376950-1027248	2-1-3308226	2-9773636-3837878	4868342-9773636-3	2-7878283-3	2-1-4090145	4978560-9273298-3	2-9828770-3	9750768-1-3	3-1294847-1027248	1-1-6657801	3-0-2	203575-1-3	2-1-8021360	2-1-567073	1-1-1824995	4978560-6612540-3	2-5007114-3	1-4-1	4978560-938307-3	7234984-1-3	8620603-1-3	2-1-3	7083692-1-3	3-0-4	2-8319691-3	6148673-1-2	2-1-7850186	6290413-1-742969	8053996-9077459-2	3161732-1-3	8053996-1-2	1-1-6599179	2-1549192-3
assemblage-724-995	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	6	0	0	0	0	0	0	0	0	0	10	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	43	98	0	16
assemblage-393-321	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	10
assemblage-728-992	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	147	0	0	0	0	0	0	0	59	80	0	16
assemblage-597-731	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	21	0	0	0	0	0	0	0	0	0	8	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	21	14	32	0	6
assemblage-605-717	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	148	0	0	0	0	0	0	0	69	65	0	24
assemblage-668-930	0	0	0	81	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	8	0	0	2
assemblage-405-318	0	88	0	13	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	14
assemblage-121-343	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	62	0	0	15
assemblage-576-485	0	86	0	6	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	11
assemblage-387-847	0	0	0	81	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	12	0	0	10
