Assemblage_Name	2881137-6559822-2	3-3453359-0	1-3-1892985	1-3-9874775	1-2-4914436	3-8317227-0	2881137-9097813-2	1-2-109018	1-8381628-4333895	1-3-6029895	9597720-2-4	1-9229081-4	1-404082-1391695	1-1297367-4	3879476-3-4	1-404082-4	1-1297367-4333895	9668005-2-108315	1-3-2091015	1-2-8372530	4-3-4888263	5216729-2-0	850867-2-8500109	1-2-6415750	1-3-2883286	6250280-2-4	4-3-6754189	0-2-2	1-3604282-4	1-1287681-4	1-3925783-4	1-3-4	1-2457013-4	1-5182728-4	1-3-7030052	1-3390951-4	1-5194295-7593712	2881137-3-8660057	9668005-2-4597127	2881137-4023061-2	850867-2-4	1-404082-5641564	1-3-8012765	1-2-4	150551-3-4888263	1-7640458-4	7817750-2-2	39780-3-4	8232422-3-4	9668005-2-4	4393956-3-4	0-3859808-2	2424594-2-4	9668005-2-5115001	4347528-404082-4	1-404082-9676531	4-3-3	1-3-5973779	3-2-0	1475185-2-4	1-5194295-4	9668005-2-6432755	3487435-4023061-2	1-2-8639527	1-3-2658722
assemblage-925-970	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	55	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-849-911	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	60	0	0	0	0	99	0	0	0	0	0	0	62	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-341-187	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-227-460	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	42	0	0	0	0	0	0	0	0	0	8	92	0	0	0	0	0	0	0	0	26	0	0	101	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	6	0	0	0	11
assemblage-885-866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	39	0	0	0	0	0	0	0	0	0	14	103	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	11	118	0	0	0	1
assemblage-343-696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	53	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	113	0	0	4	0	0	0	0	0	0	0	0	65	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	48	0	0	0	4
assemblage-581-731	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	6	0	47	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	171	0	6	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-897-857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	34	0	0	0	0	0	0	0	0	0	23	106	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	9	110	0	0	0	12
assemblage-474-671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	94	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-262-640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	20	0	0	0	0	0	0	0	176	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
